SSC_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SSC40139,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,4,5,5,0,0,0,5,7,17
SSC40140,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,3,0,7,0,0,0,10,3,17
SSC40141,27,23,50,0,0,3,0,0,0,0,0,0,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,0,0,0,0,0,0,6,9,11,0,0,4,34,31,63
SSC40142,755,749,1498,213,222,438,11,7,16,37,34,67,6,9,17,86,84,167,10,0,8,0,0,0,0,0,3,0,0,0,0,0,0,156,126,279,140,64,202,8,3,10,516,416,933,186,152,332,1448,1313,2762
SSC40143,15,21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,17,25,40
SSC40144,12,11,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,3,3,0,0,0,5,3,10,0,0,5,25,20,42
SSC40145,217,217,438,129,116,245,4,0,7,0,0,0,7,7,11,71,67,134,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,85,79,166,3,4,7,0,0,0,214,203,416,23,12,38,457,435,894
SSC40146,157,135,289,6,13,25,4,4,8,7,6,16,3,11,14,172,156,330,8,0,9,0,0,0,3,0,7,0,0,0,0,0,0,198,181,380,42,39,81,4,4,7,256,247,498,56,41,93,463,415,878
SSC40147,13,16,30,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,13,0,0,0,0,0,0,3,5,13,0,0,0,24,21,41
SSC40148,53,44,98,8,7,16,0,0,0,0,0,0,0,0,0,7,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,21,0,3,4,0,0,0,18,15,34,5,3,6,82,59,141
SSC40149,13,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,30
SSC40150,15,7,24,3,4,6,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,8,15,0,0,0,0,0,0,14,8,18,3,0,4,34,18,47
SSC40151,61,61,122,3,7,10,0,0,0,0,0,0,0,0,0,11,9,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,10,26,0,5,9,0,0,0,18,21,43,6,4,15,83,90,180
SSC40152,6,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,8,21
SSC40153,936,883,1820,66,70,134,7,7,17,0,0,0,3,4,12,294,347,640,5,3,7,0,0,0,5,7,11,0,0,0,0,0,0,316,367,685,105,113,219,13,11,24,498,557,1056,115,114,227,1546,1558,3107
SSC40154,4,4,16,0,0,3,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,0,0,0,0,0,0,3,5,12,0,0,0,13,12,21
SSC40155,21,18,30,0,0,0,0,0,0,0,0,0,0,0,0,9,10,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,8,13,0,0,0,0,0,0,11,8,17,0,0,0,26,28,49
SSC40156,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,3,4
SSC40157,33,22,57,3,0,3,0,0,0,0,0,0,0,0,0,3,5,10,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,4,10,14,0,0,0,0,0,0,11,7,14,3,4,6,40,35,78
SSC40158,1053,1105,2161,101,115,212,9,19,29,17,22,39,9,11,24,287,310,595,3,3,9,0,0,0,4,7,16,3,4,6,3,0,3,339,372,718,25,29,60,16,6,21,481,524,1011,73,66,137,1609,1699,3309
SSC40159,8,12,23,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,3,3,18,17,39
SSC40160,909,1062,1975,91,94,185,21,23,44,15,16,34,8,15,21,359,414,774,7,10,19,0,0,0,7,3,9,3,3,8,0,0,0,416,489,904,92,90,183,8,8,19,610,681,1287,72,84,155,1594,1825,3417
SSC40161,27,24,49,0,3,3,0,0,0,0,0,0,0,0,4,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,0,0,0,0,0,0,7,7,15,0,0,0,37,27,69
