SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC40268,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40269,..,60,60,71,0,76,3,0,3,3,0,3,0,0,0,0,0,0,79,58,143
SSC40270,..,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,6
SSC40271,..,357,357,370,62,429,214,28,241,160,7,164,58,6,67,26,0,27,829,461,1286
SSC40272,..,26,26,59,0,61,19,0,19,16,0,16,9,0,9,3,0,3,114,30,140
SSC40273,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40274,..,5,5,3,0,3,0,0,0,11,0,11,8,0,8,0,0,0,19,5,24
SSC40275,..,24,24,74,4,74,34,0,34,56,0,56,20,0,20,11,0,11,194,24,218
SSC40276,..,9,9,4,0,4,5,0,5,0,0,0,0,0,0,0,0,0,8,7,16
SSC40277,..,80,80,110,5,114,29,0,24,22,0,22,6,0,6,0,0,0,161,89,249
SSC40278,..,4,4,14,0,14,4,0,4,0,0,0,6,0,6,0,0,0,18,4,26
SSC40279,..,3,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,3,14
SSC40280,..,68,68,87,8,99,41,5,44,46,4,47,20,0,20,4,0,4,200,81,281
SSC40281,..,3,3,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,12,3,11
SSC40282,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40283,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40284,..,200,200,174,20,192,80,4,82,71,4,74,21,0,24,9,0,9,350,237,583
SSC40285,..,185,185,318,12,325,205,5,206,298,4,300,96,0,96,14,0,14,926,200,1128
SSC40286,..,3,3,10,0,10,3,0,3,0,0,0,0,0,0,0,0,0,8,3,15
SSC40287,..,0,0,6,0,6,0,0,0,3,0,3,0,0,0,0,0,0,15,0,15
SSC40288,..,25,25,45,0,47,7,0,7,3,0,3,0,0,0,0,0,0,54,31,87
SSC40289,..,30,30,84,3,95,31,0,32,55,0,55,20,0,20,7,0,7,194,42,236
SSC40290,..,10,10,24,0,24,9,0,9,3,0,3,3,0,3,4,0,4,43,10,59
SSC40291,..,4,4,4,0,4,3,0,3,3,0,3,0,0,0,3,0,3,14,4,22
SSC40292,..,3,3,6,0,10,3,0,3,3,0,3,0,0,0,0,0,0,15,7,18
SSC40293,..,329,329,190,11,196,64,4,69,55,0,55,16,0,16,15,0,15,351,347,694
SSC40294,..,33,33,41,0,41,9,0,9,10,0,10,3,0,3,4,0,4,69,33,103
SSC40295,..,3,3,5,0,10,3,0,3,3,0,3,3,0,3,0,0,0,20,6,26
SSC40296,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40297,..,24,24,45,5,52,17,0,17,16,0,16,12,0,12,4,0,4,91,30,120
SSC40298,..,8,8,10,0,10,3,0,3,8,0,8,3,0,3,0,0,0,30,8,38
SSC40299,..,5,5,5,0,11,3,0,3,3,0,3,3,0,3,0,0,0,21,6,22
SSC40300,..,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,8,0,8
SSC40301,..,0,0,16,0,13,8,0,8,8,0,8,4,0,4,3,0,3,37,3,35
SSC40302,..,44,44,46,0,47,14,0,14,19,0,19,5,0,5,4,0,4,93,50,137
SSC40303,..,11,11,13,0,18,4,0,4,10,0,10,3,0,3,0,0,0,31,11,43
SSC40304,..,10,10,15,0,15,12,0,12,6,0,6,0,0,0,0,0,0,33,10,48
