SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC40499,0,0,0,0,0
SSC40500,371,307,155,77,1985
SSC40501,390,206,107,29,2035
SSC40502,571,377,164,65,3472
SSC40503,254,187,84,119,1348
SSC40504,421,283,176,163,2715
SSC40505,4,0,0,0,33
SSC40506,148,162,137,110,1337
SSC40507,210,166,86,23,1100
SSC40508,22,21,0,0,123
SSC40509,64,38,13,3,373
SSC40510,81,75,89,76,868
SSC40511,831,497,273,104,4802
SSC40512,16,25,4,0,109
SSC40513,15,0,0,0,27
SSC40514,4,0,0,0,11
SSC40515,275,149,65,48,1800
SSC40516,184,289,195,108,1118
SSC40517,183,187,124,39,945
SSC40518,114,158,53,9,507
SSC40519,125,115,60,20,511
SSC40520,4,0,0,0,19
SSC40521,24,13,3,3,113
SSC40522,0,0,0,0,8
SSC40523,3,3,0,0,15
SSC40524,522,416,218,124,3027
SSC40525,11,9,0,0,52
SSC40526,11,9,0,0,41
SSC40527,8,3,0,0,24
SSC40528,137,65,43,8,1345
SSC40529,37,35,8,0,233
SSC40530,110,42,16,3,516
SSC40531,4,0,0,0,20
SSC40532,622,280,105,21,4017
SSC40533,296,161,49,8,1629
SSC40534,6,3,3,0,43
SSC40535,0,0,0,0,5
SSC40536,81,44,28,19,426
SSC40537,4,5,0,0,37
SSC40538,261,243,106,58,1661
SSC40539,248,183,63,23,1397
SSC40540,0,0,0,0,7
SSC40541,59,52,24,27,322
SSC40542,270,221,124,92,1395
SSC40543,12,6,4,0,65
SSC40544,20,14,3,0,82
SSC40545,3,0,0,0,9
SSC40546,0,0,0,0,0
SSC40547,13,6,8,0,63
SSC40548,1282,685,212,61,6258
SSC40549,0,0,0,0,0
SSC40550,10,4,0,0,34
SSC40551,0,0,0,0,6
SSC40552,65,50,24,20,318
SSC40553,0,0,0,0,5
SSC40554,4,3,0,0,29
SSC40555,96,36,21,11,718
SSC40556,4,0,0,0,16
SSC40557,7,0,0,0,11
SSC40558,945,649,281,114,5428
SSC40559,24,12,3,3,67
SSC40560,0,3,0,0,3
SSC40561,42,21,3,0,219
SSC40562,6,3,0,0,17
SSC40563,10,9,0,0,64
SSC40564,7,0,0,0,23
SSC40565,11,9,3,0,52
SSC40566,32,21,0,3,158
SSC40567,13,15,0,0,60
SSC40568,248,174,43,26,1211
SSC40569,340,271,79,32,1837
SSC40570,10,0,0,0,26
SSC40571,0,0,0,0,8
SSC40572,193,190,67,25,1024
SSC40573,181,144,78,22,1059
SSC40574,134,66,30,18,540
SSC40575,68,47,22,13,296
SSC40576,213,137,90,15,1763
SSC40577,63,27,26,40,507
SSC40578,593,306,138,41,3137
SSC40579,244,121,54,20,1435
SSC40580,149,61,17,0,1187
SSC40581,540,483,150,24,3306
SSC40582,156,90,24,15,896
SSC40583,40,40,11,0,184
SSC40584,14,4,0,0,42
SSC40585,327,161,78,10,1998
SSC40586,163,95,52,24,1591
SSC40587,34,84,65,25,287
SSC40588,0,5,0,0,20
SSC40589,38,22,9,9,435
SSC40590,0,0,0,0,0
SSC40591,7,6,3,0,122
SSC40592,184,214,57,9,744
SSC40593,12,6,3,3,44
SSC40594,55,43,9,0,239
SSC40595,190,132,79,19,1538
SSC40596,15,0,6,0,43
SSC40597,0,3,0,0,7
SSC40598,0,3,0,0,17
SSC40599,7,9,3,0,81
SSC40600,0,0,0,0,0
SSC40601,481,480,340,230,3625
SSC40602,0,0,0,0,7
SSC40603,0,0,0,0,6
SSC40604,0,0,0,0,8
SSC40605,65,39,9,0,261
SSC40606,287,258,172,129,1635
SSC40607,13,6,3,0,57
SSC40608,0,3,0,0,8
SSC40609,57,43,10,0,235
SSC40610,246,153,66,22,1665
SSC40611,190,118,45,10,925
SSC40612,7,5,3,0,60
SSC40613,455,517,199,71,3687
SSC40614,46,34,7,3,206
SSC40615,4,0,0,0,47
SSC40616,0,3,0,0,6
SSC40617,0,0,0,0,3
SSC40618,38,35,3,0,162
SSC40619,7,0,3,0,23
SSC40620,0,0,0,0,0
SSC40621,4,18,6,0,47
SSC40622,73,23,8,3,291
SSC40623,3,0,0,0,4
SSC40624,0,5,0,0,24
SSC40625,0,0,0,0,0
SSC40626,12,3,0,0,83
SSC40627,0,0,0,0,22
SSC40628,11,8,3,0,25
SSC40629,111,62,35,45,637
SSC40630,0,0,0,0,0
SSC40631,4,0,0,0,5
SSC40632,21,7,4,3,158
SSC40633,21,14,0,0,108
SSC40634,14,3,0,0,44
SSC40635,4,0,0,0,4
SSC40636,117,69,16,25,587
SSC40637,0,0,0,0,0
SSC40638,3,0,0,0,12
SSC40639,27,16,3,0,106
SSC40640,198,172,86,60,1209
SSC40641,0,7,3,0,23
SSC40642,0,0,0,0,11
SSC40643,0,0,0,0,8
SSC40644,37,19,8,0,185
SSC40645,55,23,6,4,182
SSC40646,4,0,0,0,9
SSC40647,3,0,0,0,30
SSC40648,0,3,0,0,8
SSC40649,4,0,0,0,52
SSC40650,131,73,13,6,475
SSC40651,12,3,0,0,52
SSC40652,3,3,0,0,14
SSC40653,0,0,0,0,0
SSC40654,47,16,7,3,319
SSC40655,0,3,0,0,17
SSC40656,0,0,0,0,6
SSC40657,0,0,0,0,0
SSC40658,4,0,0,0,17
SSC40659,0,0,0,0,0
SSC40660,215,196,72,16,1195
SSC40661,12,0,3,6,56
SSC40662,0,0,0,0,5
SSC40663,4,0,0,0,25
SSC40664,37,28,12,6,183
SSC40665,0,0,0,0,3
SSC40666,0,0,0,0,0
SSC40667,8,0,0,0,34
SSC40668,83,63,18,12,520
SSC40669,0,0,0,0,7
SSC40670,5,7,0,0,38
SSC40671,161,110,66,35,1040
SSC40672,220,178,106,64,1402
SSC40673,248,164,83,33,1372
SSC40674,82,65,39,4,701
SSC40675,26,17,3,0,131
SSC40676,0,4,0,0,19
SSC40677,0,3,0,0,22
SSC40678,124,61,26,4,555
SSC40679,24,22,5,0,409
SSC40680,0,0,0,0,0
SSC40681,31,20,6,0,159
SSC40682,3,0,0,0,18
SSC40683,3,0,0,0,9
SSC40684,228,183,114,31,1498
SSC40685,0,0,0,0,19
SSC40686,213,153,75,13,2119
SSC40687,80,44,42,32,727
SSC40688,41,21,24,9,232
SSC40689,0,0,3,0,8
SSC40690,59,43,18,14,293
SSC40691,192,100,63,28,834
SSC40692,0,0,0,0,18
SSC40693,33,21,10,0,125
SSC40694,82,60,10,6,316
SSC40695,93,96,48,21,563
SSC40696,217,184,79,53,1306
SSC40697,360,219,170,110,3250
SSC40698,5,0,0,0,25
SSC40699,0,0,0,0,0
SSC40700,0,0,0,0,0
SSC40701,0,0,0,0,6
SSC40702,6,0,0,0,73
SSC40703,0,0,0,0,0
SSC40704,10,4,3,0,74
SSC40705,5,3,0,0,38
SSC40706,0,0,0,0,15
SSC40707,5,0,0,0,57
SSC40708,0,0,0,0,3
SSC40709,3,0,0,0,20
SSC40710,5,3,0,0,23
SSC40711,0,0,3,0,4
SSC40712,4,0,0,0,21
SSC40713,3,3,0,0,23
SSC40714,13,14,3,0,96
SSC40715,0,0,0,0,0
SSC40716,4,7,3,0,37
SSC40717,0,0,0,0,3
SSC40718,39,22,11,4,216
SSC40719,36,22,8,0,116
SSC40720,3,0,0,0,13
SSC40721,4,3,0,0,19
SSC40722,115,74,30,16,1484
SSC40723,3,0,0,0,32
SSC40724,5,3,0,0,28
SSC40725,3,3,3,0,33
