SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC40082,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
SSC40083,24,0,0,0,0,24,3,0,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,28
SSC40084,736,94,3,0,3,831,54,8,0,0,0,59,12,8,0,0,0,19,797,108,4,0,3,911
SSC40085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40086,287,69,53,0,0,411,48,9,7,0,0,71,3,64,0,0,0,63,337,139,69,3,3,547
SSC40087,22,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,26
SSC40088,1359,48,5,6,0,1418,98,25,0,0,0,127,30,6,0,0,0,38,1490,78,5,6,4,1574
SSC40089,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
SSC40090,25,0,0,0,0,25,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,29
SSC40091,805,52,6,0,0,864,87,20,0,0,0,111,15,0,0,0,0,21,911,81,6,0,0,1002
SSC40092,6,0,0,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,9
SSC40093,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40094,35,0,0,0,0,36,5,0,0,0,0,5,0,0,0,0,0,0,40,0,0,0,0,46
SSC40095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40096,990,104,56,7,10,1160,282,81,61,3,3,432,58,18,3,0,3,86,1330,206,120,12,14,1679
SSC40097,43,0,0,0,0,43,11,0,0,0,0,11,0,0,0,0,0,0,51,0,0,0,0,51
SSC40098,18,0,0,0,0,20,4,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,23
SSC40099,401,97,38,0,0,541,60,11,5,0,0,70,6,9,3,0,0,17,463,106,51,0,0,625
SSC40100,362,63,22,0,0,451,86,15,13,0,0,115,17,0,0,0,0,19,472,80,33,0,0,589
SSC40101,76,0,0,0,0,76,6,0,0,0,0,6,0,0,0,0,0,0,84,0,0,0,0,84
SSC40102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40103,26,0,0,0,0,26,3,0,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,27
SSC40104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40105,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27
SSC40106,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC40107,403,3,3,5,3,416,46,3,4,0,0,49,0,0,0,0,0,0,449,7,8,5,3,471
