SSC_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SSC41211,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,136,..,147,26
SSC41212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC41213,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,40,29,..,49,40
SSC41214,53,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,141,7,..,60,141
SSC41215,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,3,..,15,33
SSC41216,22,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,61,0,..,25,61
SSC41217,16,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,5,9,0,0,26,58,8,..,33,58
SSC41218,488,1156,279,450,74,136,349,582,23,33,0,0,0,0,0,0,24,36,0,0,0,0,0,0,0,0,0,0,0,0,857,1775,83,..,944,1775
SSC41219,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,..,0,8
SSC41220,497,1038,16,34,0,0,16,34,9,14,0,0,0,0,0,0,9,14,0,0,0,0,0,0,3,4,0,7,0,0,532,1089,115,..,649,1089
SSC41221,18,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,34,6,..,24,34
SSC41222,61,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,60,153,11,..,75,153
SSC41223,43,131,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,47,132,7,..,55,132
SSC41224,26,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,3,..,27,65
SSC41225,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,0,0,9,12,27,..,35,12
SSC41226,36,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,114,3,..,43,114
SSC41227,68,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,172,0,..,69,172
SSC41228,67,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,147,19,..,83,147
SSC41229,1901,5047,54,102,0,0,54,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1959,5155,118,..,2075,5155
SSC41230,35,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,97,13,..,48,97
SSC41231,52,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,126,6,..,54,126
SSC41232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC41233,138,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,383,3,..,142,383
SSC41234,80,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,79,206,14,..,95,206
SSC41235,1541,3608,146,249,0,0,147,249,166,254,0,0,0,0,0,0,166,254,0,3,8,22,0,0,0,0,11,21,11,20,1879,4147,241,..,2117,4147
SSC41236,232,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,233,607,31,..,263,607
SSC41237,129,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,132,330,24,..,150,330
SSC41238,442,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,5,4,16,0,0,453,1151,44,..,500,1151
SSC41239,312,771,263,516,88,188,348,705,34,83,0,0,0,0,0,0,34,83,0,0,0,0,0,3,0,6,0,5,0,5,699,1580,69,..,767,1580
SSC41240,1748,4298,140,228,4,18,142,241,15,36,0,0,0,0,0,0,15,36,0,0,0,0,0,3,0,0,0,3,0,0,1911,4576,121,..,2031,4576
SSC41241,710,1780,90,120,4,11,94,127,20,22,0,0,0,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0,0,3,827,1930,80,..,906,1930
SSC41242,61,132,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,130,7,..,72,130
SSC41243,832,2143,237,414,109,221,341,643,148,249,60,67,0,0,0,0,208,318,0,0,0,0,0,0,6,8,6,8,3,5,1390,3114,159,..,1550,3114
SSC41244,1377,3248,97,195,9,10,104,209,165,249,0,0,0,0,0,0,165,249,0,0,0,0,0,0,7,13,7,13,5,18,1654,3739,141,..,1797,3739
SSC41245,142,380,174,307,160,376,333,682,8,5,0,0,0,0,0,0,8,5,0,0,0,0,0,3,4,7,4,11,0,0,483,1087,41,..,526,1087
SSC41246,1181,2807,278,516,7,20,287,537,101,125,0,0,0,0,0,0,101,125,0,0,0,0,0,0,0,0,0,0,5,13,1580,3480,222,..,1802,3480
SSC41247,681,1766,148,283,0,3,149,284,3,3,0,0,0,0,0,0,3,3,9,6,0,0,0,0,0,0,4,6,3,10,843,2065,103,..,944,2065
