SSC_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SSC41050,..,0,0,0,6,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,6,..,..,..,..,..,..,..,..,6,..,3,..,..,..,..,..,..,..,3,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,6,0,0,0,0,19,..,0,0,0,4,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC41051,..,0,0,3,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,0,0,0,17,..,0,0,3,3,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC41052,..,0,58,105,103,88,106,49,8,518,..,9,30,20,19,3,8,0,0,95,..,0,4,10,11,0,0,0,0,25,237,..,..,..,..,..,..,..,..,237,..,52,..,..,..,..,..,..,..,52,..,52,26,6,4,0,0,0,0,95,..,11,3,0,0,3,0,0,0,17,..,0,4,3,0,0,0,0,0,10,..,3,12,3,4,0,0,0,0,29,..,4,18,23,21,24,18,8,4,119,0,13,6,3,3,0,3,0,0,22,238,143,161,177,169,122,144,56,14,1215,..,0,80,105,94,104,102,28,0,524,..,10,38,26,18,10,0,0,0,100,..,3,13,30,27,17,3,0,0,108,223,..,..,..,..,..,..,..,..,223,..,66,..,..,..,..,..,..,..,66,..,38,20,3,7,3,0,0,0,66,..,3,5,0,0,3,4,0,0,15,..,0,0,3,0,0,0,0,0,3
SSC41053,..,0,20,30,40,54,78,36,3,263,..,5,36,19,14,15,3,0,0,92,..,0,0,8,16,5,3,0,0,38,149,..,..,..,..,..,..,..,..,149,..,33,..,..,..,..,..,..,..,33,..,33,23,16,7,0,0,0,0,79,..,9,3,3,3,3,0,0,0,15,..,3,0,0,4,0,0,0,0,13,..,7,13,3,6,6,3,3,0,34,..,0,19,18,33,34,29,12,3,149,12,4,3,0,4,0,0,0,0,28,158,98,115,104,120,121,123,46,12,895,..,3,25,38,37,56,81,21,0,267,..,20,35,11,22,10,4,0,0,93,..,3,23,25,22,11,7,3,0,105,117,..,..,..,..,..,..,..,..,117,..,32,..,..,..,..,..,..,..,32,..,19,6,0,3,0,0,0,0,38,..,3,0,0,0,0,3,3,0,17,..,5,7,3,0,0,0,0,0,10
SSC41054,..,0,5,23,36,48,38,14,3,169,..,0,6,8,7,5,4,0,0,28,..,0,0,0,0,0,0,0,0,3,54,..,..,..,..,..,..,..,..,54,..,25,..,..,..,..,..,..,..,25,..,16,15,0,0,0,0,0,0,31,..,0,0,3,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,5,..,0,3,0,0,0,0,0,0,8,..,0,0,4,10,9,12,3,0,29,3,3,0,0,0,0,0,0,0,5,53,46,28,36,56,58,52,18,4,368,..,0,17,25,48,43,31,13,0,175,..,3,6,8,8,4,0,0,0,27,..,0,6,5,8,3,0,0,0,29,58,..,..,..,..,..,..,..,..,58,..,29,..,..,..,..,..,..,..,29,..,13,6,0,0,0,0,0,0,21,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0
SSC41055,..,0,73,132,158,117,108,54,16,654,..,4,39,20,20,18,4,0,0,101,..,0,0,3,10,8,4,0,0,29,282,..,..,..,..,..,..,..,..,282,..,103,..,..,..,..,..,..,..,103,..,43,42,6,7,3,0,0,0,101,..,5,7,0,0,0,0,0,0,20,..,9,4,0,4,0,0,0,0,19,..,9,23,5,6,4,3,0,0,44,..,3,23,24,27,17,23,5,0,129,3,3,5,3,0,0,0,0,0,20,284,176,213,193,240,171,145,64,20,1500,..,3,104,143,163,125,91,33,10,672,..,7,46,22,17,11,9,0,0,110,..,3,12,33,57,19,12,5,6,135,280,..,..,..,..,..,..,..,..,280,..,108,..,..,..,..,..,..,..,108,..,46,28,10,0,3,3,0,0,92,..,13,10,0,3,7,0,6,0,35,..,10,3,0,3,3,0,0,0,18
SSC41056,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC41057,..,14,94,110,63,77,98,55,20,522,..,16,60,20,12,11,9,0,0,136,..,0,3,9,5,11,0,0,0,39,212,..,..,..,..,..,..,..,..,212,..,59,..,..,..,..,..,..,..,59,..,46,29,11,14,3,0,0,0,100,..,27,15,6,4,0,0,0,0,56,..,15,17,3,0,0,0,0,0,32,..,59,43,12,9,8,3,0,0,127,..,23,44,40,66,61,42,20,14,306,5,5,5,3,6,3,0,0,3,39,219,261,305,214,174,174,161,75,40,1618,..,20,131,88,72,79,75,44,11,525,..,25,51,23,13,11,6,0,0,127,..,0,17,36,41,25,7,13,11,147,199,..,..,..,..,..,..,..,..,199,..,52,..,..,..,..,..,..,..,52,..,30,16,5,3,3,0,0,0,64,..,32,17,0,4,6,6,0,0,68,..,18,8,0,0,0,0,0,0,28
SSC41058,..,0,8,16,27,20,26,3,0,101,..,0,3,0,3,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,29,..,..,..,..,..,..,..,..,29,..,10,..,..,..,..,..,..,..,10,..,13,6,0,0,0,0,0,0,16,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,5,29,28,14,17,37,24,40,8,3,194,..,0,11,15,28,21,22,5,0,100,..,0,0,3,0,0,0,0,0,6,..,0,0,3,0,0,0,0,0,3,30,..,..,..,..,..,..,..,..,30,..,6,..,..,..,..,..,..,..,6,..,4,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
SSC41059,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC41060,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC41061,..,0,27,43,44,51,54,12,6,244,..,8,20,21,16,10,0,0,0,74,..,0,0,0,8,3,3,0,0,15,141,..,..,..,..,..,..,..,..,141,..,25,..,..,..,..,..,..,..,25,..,40,22,7,0,0,0,0,0,65,..,3,0,0,0,3,0,0,0,7,..,7,0,0,0,0,0,0,0,5,..,0,5,4,0,0,0,3,0,15,..,0,14,10,24,13,5,5,0,69,3,8,9,4,0,0,3,0,0,27,149,81,91,93,88,80,73,22,8,688,..,7,32,54,51,57,42,9,3,250,..,12,18,16,13,9,0,0,0,75,..,0,15,13,9,11,0,0,0,49,121,..,..,..,..,..,..,..,..,121,..,27,..,..,..,..,..,..,..,27,..,15,6,3,0,0,0,0,0,25,..,3,0,0,3,4,0,0,0,14,..,3,0,0,0,0,0,0,0,4
SSC41062,..,4,87,117,116,133,98,59,22,634,..,17,49,26,19,11,3,0,0,114,..,0,0,5,8,3,0,0,3,24,310,..,..,..,..,..,..,..,..,310,..,89,..,..,..,..,..,..,..,89,..,82,42,14,5,3,0,0,0,147,..,3,0,0,4,4,0,0,0,18,..,3,3,0,0,0,0,0,0,9,..,12,18,8,9,6,0,0,0,53,..,0,22,21,36,25,20,9,6,141,0,3,6,6,7,0,0,0,0,21,310,221,229,194,199,185,123,70,32,1558,..,8,109,113,135,130,74,50,8,638,..,21,51,25,20,3,3,0,0,121,..,3,18,41,49,25,9,7,0,153,270,..,..,..,..,..,..,..,..,270,..,78,..,..,..,..,..,..,..,78,..,46,14,7,3,0,0,0,0,78,..,0,0,0,0,8,0,3,4,21,..,3,3,0,0,0,0,0,0,9
SSC41063,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC41064,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC41065,..,0,17,32,77,68,48,13,4,258,..,0,5,6,8,6,3,0,0,28,..,0,0,0,3,0,0,0,0,7,92,..,..,..,..,..,..,..,..,92,..,41,..,..,..,..,..,..,..,41,..,27,13,4,0,3,0,0,0,46,..,3,0,0,0,0,0,0,0,4,..,3,3,3,0,0,0,0,0,10,..,0,0,0,0,3,0,0,0,9,..,0,0,4,3,10,6,3,4,26,0,4,0,5,0,3,0,0,0,13,92,87,43,47,91,83,56,14,11,533,..,0,16,39,80,75,35,11,3,256,..,0,3,8,9,4,3,0,0,32,..,0,0,3,5,0,0,0,0,13,83,..,..,..,..,..,..,..,..,83,..,44,..,..,..,..,..,..,..,44,..,17,7,3,0,0,0,0,0,30,..,5,0,0,0,0,3,3,0,7,..,0,0,0,0,0,0,0,0,0
SSC41066,..,0,34,103,182,144,102,28,3,590,..,3,11,13,17,21,9,0,0,66,..,0,0,3,8,7,0,0,0,20,201,..,..,..,..,..,..,..,..,201,..,73,..,..,..,..,..,..,..,73,..,85,39,12,3,0,0,0,0,133,..,6,0,0,0,3,0,0,0,12,..,5,9,0,0,3,0,0,0,13,..,0,3,0,0,3,0,0,0,7,..,0,3,10,6,10,10,4,0,40,0,6,9,0,0,3,0,0,0,24,204,181,103,137,218,190,121,36,3,1194,..,3,39,127,182,147,103,9,0,609,..,4,16,13,27,9,4,0,0,74,..,0,8,6,18,9,4,0,0,46,211,..,..,..,..,..,..,..,..,211,..,101,..,..,..,..,..,..,..,101,..,45,15,9,7,0,0,0,0,69,..,6,0,0,0,0,0,0,4,9,..,5,0,3,0,0,0,0,0,13
SSC41067,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC41068,..,0,7,3,3,6,0,0,0,18,..,0,3,0,6,0,0,0,0,8,..,0,0,0,0,0,0,0,0,3,19,..,..,..,..,..,..,..,..,19,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,10,4,3,0,19,0,0,0,0,0,0,0,0,0,3,19,11,8,8,9,12,3,3,0,79,..,0,4,7,3,3,0,0,0,19,..,0,3,3,3,3,0,0,0,11,..,0,0,0,3,0,0,0,0,7,22,..,..,..,..,..,..,..,..,22,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
SSC41069,..,0,10,13,22,25,24,17,3,115,..,0,0,0,0,3,3,0,0,14,..,0,0,0,0,0,0,0,0,7,53,..,..,..,..,..,..,..,..,53,..,4,..,..,..,..,..,..,..,4,..,4,5,0,0,0,0,0,0,15,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,4,7,3,3,7,13,3,3,38,0,0,0,0,0,0,0,0,0,8,53,21,23,25,35,43,37,18,7,256,..,0,15,23,25,28,19,8,0,117,..,0,3,3,0,3,0,0,0,9,..,0,4,0,3,0,0,3,0,11,42,..,..,..,..,..,..,..,..,42,..,6,..,..,..,..,..,..,..,6,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC41070,..,3,28,49,53,58,57,35,4,288,..,7,27,19,17,9,10,0,0,94,..,0,0,9,5,3,0,3,0,18,135,..,..,..,..,..,..,..,..,135,..,44,..,..,..,..,..,..,..,44,..,53,30,18,7,3,0,0,0,104,..,3,0,3,0,3,3,0,0,15,..,0,0,0,0,0,0,0,0,8,..,7,0,4,3,5,4,3,0,30,..,3,5,22,15,29,24,9,3,112,3,6,3,8,0,0,0,0,0,23,139,125,99,129,113,115,95,49,13,875,..,5,35,46,67,55,56,27,3,292,..,11,29,24,17,10,3,0,0,93,..,3,15,35,28,11,5,7,3,114,136,..,..,..,..,..,..,..,..,136,..,36,..,..,..,..,..,..,..,36,..,42,10,8,3,3,0,0,0,63,..,0,0,0,0,4,0,0,0,12,..,4,0,3,0,0,0,0,0,8
SSC41071,..,3,50,62,74,74,48,25,4,345,..,5,29,16,13,12,9,0,0,83,..,0,4,3,14,7,0,0,0,30,208,..,..,..,..,..,..,..,..,208,..,62,..,..,..,..,..,..,..,62,..,44,62,24,16,0,3,0,0,143,..,9,5,3,7,9,0,3,0,37,..,3,3,3,3,0,0,0,0,16,..,4,18,15,13,10,4,0,0,67,..,6,17,27,40,36,29,3,7,177,4,7,3,3,4,3,0,0,0,30,212,149,197,158,172,146,96,40,23,1193,..,11,64,76,77,58,42,23,0,346,..,12,31,13,16,15,3,0,0,83,..,11,28,33,50,28,11,7,11,166,183,..,..,..,..,..,..,..,..,183,..,67,..,..,..,..,..,..,..,67,..,36,26,11,10,7,0,0,0,84,..,13,3,5,3,9,5,6,3,48,..,5,4,0,0,0,0,0,0,7
SSC41072,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC41073,..,0,0,0,0,3,9,0,0,10,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,9,0,0,23,..,0,0,0,0,7,3,0,0,13,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,8,..,..,..,..,..,..,..,..,8,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC41074,..,0,21,18,18,17,8,5,3,88,..,3,12,0,11,7,3,0,0,33,..,0,0,0,0,0,0,0,0,7,42,..,..,..,..,..,..,..,..,42,..,17,..,..,..,..,..,..,..,17,..,0,3,6,0,0,0,0,0,8,..,4,0,0,0,0,0,0,0,4,..,3,0,0,0,0,0,0,0,3,..,7,18,3,0,0,0,0,0,30,..,5,8,12,12,11,7,7,3,72,3,3,3,0,0,3,0,0,0,11,49,44,66,42,49,39,22,5,6,318,..,0,19,28,16,19,4,3,0,86,..,4,4,0,3,4,0,0,0,27,..,0,3,4,3,5,4,0,3,19,41,..,..,..,..,..,..,..,..,41,..,13,..,..,..,..,..,..,..,13,..,8,3,0,0,0,0,0,0,10,..,0,3,0,0,0,0,0,0,11,..,3,0,0,0,0,0,0,0,3
SSC41075,..,0,5,13,19,16,28,6,0,91,..,0,3,5,3,3,3,0,0,17,..,0,0,0,0,0,0,0,0,0,44,..,..,..,..,..,..,..,..,44,..,12,..,..,..,..,..,..,..,12,..,15,3,0,0,0,0,0,0,21,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,3,9,5,6,3,4,33,4,3,0,0,0,0,0,0,0,10,47,35,14,20,35,27,33,14,3,229,..,3,12,18,21,19,17,4,0,95,..,0,3,3,3,3,0,0,0,11,..,0,5,5,5,3,0,0,0,22,46,..,..,..,..,..,..,..,..,46,..,20,..,..,..,..,..,..,..,20,..,8,0,0,0,0,0,0,0,8,..,0,0,0,0,3,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC41076,..,0,0,13,13,17,15,10,0,60,..,0,3,4,0,3,0,0,0,13,..,0,0,0,3,0,0,0,0,4,31,..,..,..,..,..,..,..,..,31,..,7,..,..,..,..,..,..,..,7,..,8,3,0,0,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,3,0,3,0,7,0,0,0,19,3,3,0,0,0,4,0,0,0,9,35,23,9,24,26,26,15,10,3,162,..,0,3,11,24,8,6,7,0,66,..,3,4,3,0,0,0,0,0,14,..,0,0,3,3,0,0,0,0,8,25,..,..,..,..,..,..,..,..,25,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC41077,..,0,0,3,8,12,11,3,0,36,..,0,0,0,0,3,0,0,0,11,..,0,0,0,0,0,0,0,0,0,25,..,..,..,..,..,..,..,..,25,..,8,..,..,..,..,..,..,..,8,..,9,3,0,0,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,0,0,0,0,4,..,0,0,0,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,3,27,18,11,8,12,18,11,3,0,109,..,0,0,4,12,20,4,0,0,39,..,0,4,0,3,0,0,0,0,7,..,0,0,0,0,0,0,0,0,3,16,..,..,..,..,..,..,..,..,16,..,4,..,..,..,..,..,..,..,4,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
