SSC_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
SSC40302,9,0,3,0,0,0,0,3,0,13,0,0,0,0,3,3,0,0,0,8,0,0,3,3,3,0,3,0,0,8,0,0,0,3,4,8,3,3,0,20,0,0,0,0,3,0,9,3,0,16,0,0,3,0,0,0,0,0,0,7,0,3,3,0,0,3,0,0,0,9,0,0,6,4,3,5,0,0,0,14,0,0,3,3,0,7,0,0,0,17,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,4,0,3,0,7,0,0,0,0,9,11,9,27,19,27,34,19,8,0,152,3,0,0,0,0,0,3,0,0,8,3,0,0,0,3,0,0,0,0,6,0,0,3,4,0,0,3,0,0,14,0,0,3,3,3,5,4,3,3,21
SSC40303,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,0,8,9,17,8,3,0,0,47,0,0,0,0,0,0,0,0,0,7,3,0,0,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6
SSC40304,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,10,3,4,3,9,19,8,11,0,0,60,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
SSC40305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,4,0,14,8,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SSC40308,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,3,4,7,9,9,6,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,8
SSC40309,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,3,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,8,15,11,14,9,0,53,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
SSC40310,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,0,13,0,0,0,0,3,0,3,0,0,11,0,0,0,3,3,3,4,0,0,12,0,0,0,0,3,3,3,0,0,18,0,0,0,0,3,0,0,0,0,9,0,0,0,0,4,5,3,0,0,12,0,0,0,0,3,7,0,0,0,12,0,0,0,0,6,3,0,0,0,10,0,0,0,0,13,6,0,0,0,16,4,0,0,0,0,3,3,0,0,11,14,9,4,11,39,28,34,3,0,147,10,0,0,0,4,5,3,0,0,24,3,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,10,0,0,13,0,0,0,0,0,0,3,0,0,8
SSC40311,86,8,7,5,12,5,4,0,0,135,43,12,0,0,7,4,7,0,0,70,4,18,9,3,9,13,11,3,3,68,3,10,3,5,11,8,16,15,3,80,5,11,8,3,3,6,24,13,0,72,3,18,8,7,8,11,29,9,0,100,3,18,9,9,13,17,29,8,0,108,0,11,20,21,17,26,30,9,0,135,0,3,28,32,36,38,27,3,0,166,0,3,25,40,22,34,12,3,0,133,0,0,24,44,36,28,11,0,0,144,0,0,15,37,22,22,5,0,0,105,0,0,17,54,50,33,3,0,0,169,0,0,3,25,30,20,0,0,0,76,3,3,16,17,9,11,12,3,3,77,159,110,192,309,295,276,217,71,16,1647,54,7,18,22,13,24,8,0,0,143,37,10,3,13,16,10,13,4,0,107,19,16,7,12,24,12,15,3,0,110,6,14,10,16,12,21,35,14,0,125
SSC40312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,6,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SSC40313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40314,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,0,4,0,0,9,0,0,0,3,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,5,6,3,5,11,8,19,11,0,0,70,4,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,9
SSC40315,24,15,5,0,3,0,0,0,0,52,10,10,0,5,3,3,0,0,0,26,3,7,4,3,13,3,6,3,0,45,0,9,14,9,4,9,22,18,8,91,0,7,6,13,3,6,11,4,6,53,0,7,7,14,5,7,3,0,0,48,0,5,11,7,9,7,0,3,0,43,0,0,15,10,12,4,3,0,0,50,0,3,14,14,7,6,3,0,0,49,0,0,19,8,10,3,0,0,0,39,0,0,6,9,7,0,0,0,0,28,0,0,5,3,3,4,0,0,0,13,0,0,3,8,5,0,0,0,0,17,0,0,0,4,3,7,0,0,0,11,4,8,5,5,13,4,4,0,7,51,41,70,117,100,101,67,52,33,24,608,26,13,12,8,4,12,4,0,0,75,3,3,3,6,3,0,3,0,0,24,8,6,12,9,9,10,4,3,3,56,0,8,7,3,6,13,24,22,17,98
SSC40316,4,3,0,0,4,4,0,0,3,24,3,3,3,0,3,0,0,0,0,14,3,0,3,3,0,6,9,4,0,34,0,3,0,3,7,3,25,14,0,60,0,6,0,3,3,11,22,0,3,47,0,4,5,7,3,8,9,5,0,35,0,3,4,5,4,5,16,0,3,40,0,0,3,10,12,19,4,0,0,48,0,3,5,7,12,8,3,0,0,36,0,0,0,6,5,7,0,0,0,12,0,0,3,3,4,5,0,0,0,16,0,3,0,7,3,0,3,0,0,17,0,0,3,4,7,9,3,0,0,28,0,0,0,6,3,0,0,0,0,15,5,5,0,3,7,4,14,4,4,52,24,33,38,65,80,89,115,33,15,475,4,0,0,6,3,7,4,0,0,31,3,0,8,3,6,0,0,0,0,17,3,0,8,0,5,10,11,0,0,48,0,3,3,6,3,13,27,11,3,61
SSC40317,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,8,0,0,14,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,4,0,9,9,9,11,18,3,0,61,3,0,0,3,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,4,0,0,0,0,6,3,0,0,0,8,0,0,0,0,0,0,3,0,0,8
SSC40318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40319,34,11,0,0,6,7,4,0,0,65,11,12,0,0,0,8,3,0,0,33,9,3,5,3,5,3,10,0,0,42,4,8,0,3,0,4,15,9,3,43,6,10,3,3,4,0,8,9,4,39,0,6,0,7,5,3,9,5,0,42,0,3,4,4,6,12,17,4,0,43,0,4,4,3,9,11,7,3,0,39,0,3,3,9,17,13,20,5,0,60,0,3,7,10,13,10,10,3,0,58,0,0,11,4,22,19,12,0,0,63,0,0,3,15,15,18,5,0,0,55,0,0,4,25,30,16,9,0,0,86,0,0,7,25,22,19,8,3,0,87,4,0,4,3,10,14,7,0,3,48,68,59,62,115,156,156,141,40,16,804,23,4,6,9,10,21,6,0,0,75,13,7,3,4,6,9,3,0,0,45,4,7,3,3,4,12,12,3,0,47,0,4,3,9,4,10,16,4,0,48
SSC40320,25,4,3,3,3,6,0,0,0,48,12,3,0,0,0,5,0,0,0,26,0,3,3,0,0,3,3,0,0,15,0,3,0,0,3,3,3,7,0,20,0,3,0,3,3,7,4,5,3,23,0,4,0,0,3,0,9,3,0,21,0,0,3,3,6,11,10,3,0,31,0,3,0,0,6,7,11,3,0,26,0,0,4,9,8,12,7,0,0,39,0,0,6,7,10,3,9,0,0,37,0,0,0,13,10,3,8,0,0,39,0,0,4,10,13,8,6,0,0,39,0,0,3,17,16,9,5,0,0,55,0,0,3,13,20,13,4,0,0,47,0,0,0,7,3,0,3,0,0,15,45,26,40,85,100,82,74,19,3,473,26,0,0,10,6,9,3,0,0,63,9,3,0,3,0,4,0,0,0,22,4,5,7,4,5,3,5,0,0,33,0,3,0,4,0,4,12,3,0,27
SSC40321,44,13,5,3,3,3,4,0,0,73,21,6,0,0,3,0,3,0,0,37,7,13,0,3,0,6,5,5,0,41,3,10,3,3,0,3,9,4,0,48,0,7,3,3,0,0,10,7,0,36,7,5,5,3,0,5,8,7,0,34,0,8,3,9,4,11,16,3,0,51,0,5,6,9,9,13,8,0,0,59,0,5,11,18,15,14,12,3,0,74,0,4,4,14,12,10,6,8,0,57,0,0,16,32,25,17,3,3,0,87,0,0,3,25,17,13,3,0,0,56,0,0,12,46,53,32,5,0,0,148,0,0,8,29,31,20,9,0,0,91,0,5,4,0,11,3,0,0,0,31,91,69,76,192,182,163,100,43,5,916,46,12,8,12,5,15,3,4,0,107,31,9,3,10,3,9,4,3,0,76,12,17,6,8,5,14,14,5,0,74,3,3,8,10,7,10,23,12,0,70
SSC40322,201,50,29,30,20,24,8,0,4,368,89,30,4,3,8,13,12,3,0,164,42,51,45,32,30,54,35,9,0,300,19,25,31,24,37,53,94,65,25,374,14,30,25,18,24,31,51,22,10,228,17,40,33,20,29,47,37,16,0,235,11,68,58,51,67,48,27,11,7,346,3,34,109,116,113,61,18,3,3,462,0,25,126,130,137,108,21,0,0,549,0,4,66,108,102,51,5,0,0,342,0,6,58,56,65,33,0,0,0,222,0,3,20,37,62,29,0,0,0,155,0,0,8,36,49,33,3,0,0,133,0,0,7,11,13,3,0,0,0,29,22,18,42,32,35,31,25,17,16,241,422,374,663,712,780,622,347,158,75,4150,181,27,52,51,68,79,20,3,3,482,89,21,27,35,29,30,9,0,0,242,54,53,61,61,68,69,43,15,4,422,22,26,47,48,66,60,119,82,60,535
SSC40323,7,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,9,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,3,0,4,3,0,0,0,0,11,0,0,0,3,4,3,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,16,3,8,11,18,10,16,0,0,83,5,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,3,0,6
SSC40324,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,11,0,0,0,0,3,4,3,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,0,3,15,20,16,22,3,0,79,0,0,0,0,4,0,3,0,0,10,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,7
SSC40325,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,3,8,3,0,8,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,3,5,3,8,11,15,15,4,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,3,3,10,3,0,13
SSC40326,13,4,0,4,3,0,3,0,0,26,14,9,3,3,0,0,0,0,0,23,9,7,0,4,6,5,5,12,0,46,0,5,3,3,8,7,8,16,3,44,3,5,7,3,10,0,3,4,3,31,3,7,4,3,3,7,3,0,0,29,0,7,12,6,10,9,0,0,0,36,0,0,12,11,3,6,3,0,0,34,0,0,9,13,15,8,3,0,0,42,0,0,10,3,4,9,0,0,0,25,0,0,5,13,14,0,0,0,0,36,0,0,3,5,5,4,0,0,0,23,0,0,3,9,15,3,0,0,0,33,0,0,3,3,5,0,0,0,0,14,5,3,0,7,8,4,3,3,0,46,43,38,69,91,112,68,32,36,7,493,10,3,3,6,3,6,0,0,0,35,13,3,0,3,0,5,0,0,0,24,0,9,3,4,4,9,9,7,0,48,0,3,0,3,3,8,15,20,0,58
SSC40327,65,28,40,12,15,8,6,0,3,185,42,20,7,3,3,3,4,0,0,89,20,22,36,21,33,29,18,13,8,199,3,8,24,22,18,24,32,27,13,172,4,16,24,10,23,30,32,24,17,187,0,11,24,15,18,10,4,3,4,89,3,14,47,30,27,16,4,0,0,142,0,18,51,30,31,18,12,4,3,174,0,5,37,32,28,16,7,0,0,125,0,4,21,13,18,17,0,0,0,80,0,0,16,21,9,3,0,0,0,49,0,0,14,6,9,10,0,0,0,39,0,0,7,12,9,4,0,0,0,33,0,0,3,6,3,5,0,0,0,15,11,12,39,25,26,16,13,10,3,151,148,167,387,258,263,211,148,85,61,1732,44,30,42,28,19,13,5,9,3,199,21,24,13,4,11,3,0,0,0,80,13,24,27,30,26,33,28,13,8,198,3,19,22,16,20,18,51,27,22,197
SSC40328,11,3,0,0,7,3,6,3,3,35,6,0,0,0,5,0,3,0,0,17,0,0,8,0,5,4,6,9,0,42,0,3,0,3,4,10,33,8,0,73,0,0,3,6,4,16,14,6,8,54,0,3,3,4,8,10,7,5,4,42,3,0,3,3,3,5,8,3,0,34,0,12,10,4,3,12,15,5,0,58,0,0,13,9,8,6,0,3,0,43,0,6,7,9,5,11,3,0,0,41,0,0,3,3,11,7,0,0,0,28,0,0,3,5,11,7,0,0,0,25,0,3,8,10,6,6,0,0,0,38,0,0,0,3,3,4,0,0,0,14,4,0,0,0,5,7,13,8,6,45,27,39,72,64,85,110,112,54,24,584,16,0,6,8,4,13,3,0,7,55,18,0,5,0,0,0,4,0,0,30,0,6,5,5,4,11,17,6,3,55,0,3,8,3,15,17,31,11,0,89
