SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC41545,21,26,48,16,8,22,3,9,15,0,0,0,0,3,3,19,14,36,3,9,11,0,21.4,8.3,90.5,53.8,75,90.5,65.4,77.1,0,0,0,0,0,0,0,4,8,4,4,6,4,6,8,0,0,0,0,0,0,5,4,11,31,37,68,0,3,3,21,23,44,3,9,17
SSC41546,356,377,732,129,83,215,50,105,156,12,16,29,10,12,15,204,217,420,135,139,272,4.9,5.5,3.6,57.3,57.6,57.4,53.7,54.1,54.6,13,16,22,7,5,17,52,65,114,28,34,67,81,30,111,3,0,3,5,3,15,86,39,124,350,351,703,36,43,85,263,282,542,113,114,221
SSC41547,107,81,191,35,15,52,6,20,26,3,3,7,5,0,8,53,37,91,36,31,67,9.4,0,8.8,49.5,45.7,47.6,41.1,46.9,44.5,0,0,0,0,0,0,4,3,9,3,6,14,24,10,31,0,0,0,4,3,4,25,9,37,78,63,145,14,13,27,62,48,108,35,31,67
SSC41548,87,72,155,24,11,33,10,17,21,3,3,3,0,0,3,39,30,62,41,30,76,0,0,4.8,44.8,41.7,40,42.5,43.1,36.8,0,0,0,0,0,0,10,5,10,6,8,15,20,6,27,0,0,0,3,3,7,19,8,29,76,62,134,10,4,15,55,41,97,28,25,53
SSC41549,14,12,30,6,3,8,3,9,7,0,0,3,0,0,0,11,11,23,3,3,9,0,0,0,78.6,91.7,76.7,64.3,100,60,0,0,0,0,0,0,0,3,4,0,3,4,0,3,0,0,0,0,0,0,0,3,3,3,16,15,30,3,4,3,14,15,28,3,0,4
SSC41550,2055,2170,4224,902,506,1415,307,670,970,53,64,121,85,68,152,1349,1309,2658,603,785,1393,6.3,5.2,5.7,65.6,60.3,62.9,61.4,57.1,59.3,99,104,198,31,60,92,359,412,770,188,231,420,470,208,677,22,21,40,37,49,89,526,279,806,1898,2032,3932,335,351,688,1294,1373,2668,903,953,1853
SSC41551,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,100,100,0,100,100,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3
SSC41552,1656,1687,3349,706,441,1145,255,449,702,44,46,91,98,64,155,1094,998,2085,492,623,1111,9,6.4,7.4,66.1,59.2,62.3,60.7,55.5,57.9,53,74,128,31,56,87,274,329,603,102,169,274,347,143,489,17,18,35,19,19,45,382,181,566,1660,1657,3315,239,246,488,1243,1234,2474,590,594,1189
SSC41553,639,651,1287,277,186,463,107,171,279,15,14,31,32,27,60,430,401,830,181,226,406,7.4,6.7,7.2,67.3,61.6,64.5,62.4,57,60.1,27,58,88,16,23,38,117,127,245,51,71,124,122,53,180,7,3,9,10,10,17,140,64,204,578,613,1196,112,111,222,401,428,824,276,270,539
SSC41554,2470,2671,5140,943,560,1502,331,616,947,57,65,122,65,56,125,1400,1300,2696,979,1261,2242,4.6,4.3,4.6,56.7,48.7,52.5,53.9,46.5,50,103,101,199,37,45,88,332,345,676,245,267,515,606,209,813,19,29,47,49,69,118,671,304,983,2315,2460,4770,312,323,635,1749,1856,3608,860,912,1768
