SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC40289,279,268,545,159,64,221,40,103,139,12,10,27,5,7,11,212,181,392,58,73,135,2.4,3.9,2.8,76,67.5,71.9,75.6,66,71,4,3,5,3,4,8,9,19,32,20,30,42,103,37,140,3,13,21,8,3,13,116,57,172,311,282,594,29,29,60,232,200,429,100,93,192
SSC40290,78,72,152,36,10,40,8,14,22,5,3,5,0,3,5,45,36,78,23,25,51,0,8.3,6.4,57.7,50,51.3,62.8,37.5,44.1,3,5,7,0,0,0,4,4,9,7,4,10,20,3,24,4,0,3,0,0,0,20,9,28,73,56,130,6,6,13,59,45,107,16,15,35
SSC40291,23,23,45,13,3,15,3,4,6,0,3,3,0,0,0,19,16,27,5,9,9,0,0,0,82.6,69.6,60,69.6,43.5,53.3,0,0,0,0,0,0,3,4,12,0,4,4,8,0,8,0,0,0,0,0,0,8,0,5,21,19,47,4,4,9,19,20,37,5,7,8
SSC40292,17,13,35,14,10,23,0,7,8,0,0,0,0,0,0,17,13,33,0,3,3,0,0,0,100,100,94.3,82.4,130.8,88.6,0,0,0,0,0,0,0,7,3,3,0,4,0,8,8,0,0,0,0,0,0,0,8,10,15,20,36,6,3,9,17,15,29,6,6,8
SSC40293,823,661,1485,220,180,401,79,91,171,36,35,67,55,16,70,385,322,707,308,213,519,14.3,5,9.9,46.8,48.7,47.6,40.7,46.3,43,14,15,35,0,13,11,51,68,117,39,60,97,177,62,235,7,6,13,3,16,19,190,77,270,699,544,1241,115,101,213,503,344,842,260,256,518
SSC40294,116,94,209,29,19,41,10,26,32,3,0,3,3,0,3,39,43,80,61,50,114,7.7,0,3.8,33.6,45.7,38.3,36.2,47.9,36.4,0,0,3,0,0,0,7,8,12,6,6,11,31,12,49,0,0,3,0,0,4,33,20,52,105,101,204,19,8,25,81,80,160,31,23,57
SSC40295,28,30,56,12,3,17,3,9,16,0,0,0,0,0,3,19,13,30,5,8,16,0,0,10,67.9,43.3,53.6,53.6,40,58.9,0,0,0,0,0,0,0,4,3,0,4,4,7,6,13,0,0,0,0,0,0,7,8,15,32,35,60,0,0,5,26,33,55,0,0,0
SSC40296,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,0,0,0,3,7,5,0,0,0
SSC40297,134,126,261,66,35,96,18,37,53,6,4,13,4,0,7,98,73,173,29,47,74,4.1,0,4,73.1,57.9,66.3,67.2,60.3,62.1,0,0,0,3,0,3,0,10,13,6,9,18,23,19,44,4,0,10,0,3,6,30,26,58,145,139,286,12,7,16,115,103,212,40,37,78
SSC40298,44,45,88,23,9,31,3,11,14,3,4,8,0,0,0,34,23,53,11,17,33,0,0,0,77.3,51.1,60.2,65.9,53.3,60.2,0,0,0,0,0,0,3,3,9,4,3,3,4,10,11,0,0,0,0,0,3,5,8,16,57,43,104,3,0,3,49,37,82,9,9,17
SSC40299,27,25,50,24,7,29,0,4,5,0,0,0,0,0,0,24,18,41,0,6,11,0,0,0,88.9,72,82,88.9,44,68,0,0,0,0,0,0,3,3,4,0,6,9,5,0,7,0,0,0,0,0,0,11,0,13,23,29,58,4,3,4,17,20,38,10,12,25
SSC40300,8,4,11,4,0,3,0,3,4,0,0,0,0,0,0,8,0,7,0,3,3,0,0,0,100,0,63.6,50,75,63.6,0,0,0,0,0,0,0,0,0,0,3,3,3,0,4,0,0,0,0,0,0,3,0,4,9,9,14,0,0,0,7,6,11,3,0,4
SSC40301,48,45,94,20,18,37,8,13,17,4,3,9,0,0,3,31,33,64,16,15,30,0,0,4.7,64.6,73.3,68.1,66.7,75.6,67,0,3,4,0,4,4,4,3,8,0,10,6,12,8,21,0,0,0,3,0,4,16,9,26,59,46,100,4,11,10,37,32,72,19,21,37
SSC40302,152,130,280,78,27,98,15,40,53,4,0,3,5,0,5,95,66,161,51,46,96,5.3,0,3.1,62.5,50.8,57.5,63.8,51.5,55,0,4,4,0,3,3,4,13,16,3,17,17,25,20,49,3,3,10,0,0,3,33,29,61,170,135,306,8,9,23,132,104,234,38,31,71
SSC40303,47,43,91,20,6,25,3,14,18,3,0,3,3,0,3,33,24,50,10,17,32,9.1,0,6,70.2,55.8,54.9,55.3,46.5,50.5,0,0,0,0,0,0,0,0,0,0,6,7,11,4,16,3,0,3,0,0,0,17,9,25,48,39,87,10,3,10,36,33,72,14,9,22
SSC40304,60,58,122,45,19,63,5,18,18,0,5,4,0,0,0,51,40,87,10,10,24,0,0,0,85,69,71.3,83.3,72.4,69.7,4,0,3,0,0,0,6,12,18,3,4,9,10,4,17,4,0,0,0,0,0,12,6,21,61,48,104,12,12,19,53,45,97,13,13,28
SSC40305,31,28,57,13,8,22,0,8,12,0,0,0,0,0,0,16,13,32,9,9,10,0,0,0,51.6,46.4,56.1,41.9,57.1,59.6,0,0,0,0,0,0,3,0,3,3,3,5,3,4,5,0,0,0,0,0,0,3,4,5,29,29,57,0,0,0,20,23,45,6,6,13
SSC40306,10,3,16,6,5,6,0,3,3,0,0,0,0,0,0,10,3,16,0,0,0,0,0,0,100,100,100,60,266.7,56.3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,3,0,5,8,12,18,6,4,6,4,4,10,7,4,10
SSC40307,15,10,30,12,3,14,0,5,5,0,0,0,0,0,0,12,4,20,0,8,4,0,0,0,80,40,66.7,80,80,63.3,0,0,0,0,0,0,0,6,4,0,0,0,3,3,6,0,0,0,0,0,0,3,3,5,16,11,33,0,0,3,14,5,16,7,10,16
SSC40308,32,27,60,9,3,11,3,0,3,0,0,0,7,3,13,18,13,31,10,14,24,38.9,23.1,41.9,56.3,48.1,51.7,37.5,11.1,23.3,0,0,0,0,0,0,0,5,5,0,0,0,9,3,16,0,0,3,0,0,0,14,3,16,33,28,54,0,0,0,21,17,45,9,8,16
SSC40309,53,32,87,17,5,28,3,7,12,0,0,0,0,0,3,25,21,48,27,16,41,0,0,6.3,47.2,65.6,55.2,37.7,37.5,46,0,0,0,0,0,3,0,8,8,4,0,4,12,9,18,0,0,0,0,0,0,16,9,20,51,33,88,7,7,10,40,27,72,15,9,25
SSC40310,147,148,293,59,26,84,27,49,80,3,4,12,0,3,6,97,85,179,43,53,105,0,3.5,3.4,66,57.4,61.1,60.5,53.4,60.1,6,11,17,3,8,11,35,31,68,19,24,40,33,8,38,3,0,5,3,5,10,38,16,54,145,148,290,12,12,25,127,117,242,35,38,74
SSC40311,1647,1668,3310,780,436,1220,289,584,869,45,66,107,62,48,115,1178,1133,2310,403,485,894,5.3,4.2,5,71.5,67.9,69.8,67.6,65.1,66.3,128,117,243,39,90,131,288,421,710,177,205,384,379,158,531,13,18,33,23,48,69,411,226,629,1822,1787,3610,165,157,326,1361,1344,2707,547,526,1069
SSC40312,23,18,38,14,3,18,3,13,15,0,0,0,0,0,0,16,11,28,0,3,3,0,0,0,69.6,61.1,73.7,73.9,88.9,86.8,0,0,0,0,0,0,4,0,4,0,3,5,4,4,6,0,0,0,0,0,0,4,3,11,24,20,44,3,7,7,15,16,36,4,8,10
SSC40313,5,11,13,8,6,7,0,0,0,0,0,0,0,0,0,8,6,10,0,3,3,0,0,0,160,54.5,76.9,160,54.5,53.8,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,3,8,7,17,3,6,3,7,3,13,3,7,13
SSC40314,70,65,134,32,6,34,5,31,35,3,0,6,0,3,5,41,41,83,17,24,39,0,7.3,6,58.6,63.1,61.9,57.1,56.9,56,0,0,3,0,0,0,4,7,11,3,10,12,13,8,25,0,0,3,3,8,9,18,16,32,90,70,166,3,11,10,64,48,114,19,25,52
SSC40315,608,638,1249,211,122,334,83,151,238,15,9,24,41,27,73,356,316,670,209,287,496,11.5,8.5,10.9,58.6,49.5,53.6,50.8,44.2,47.7,20,33,53,7,12,20,85,130,214,52,49,102,107,57,160,6,11,14,7,14,20,118,74,193,521,548,1065,113,116,228,333,351,685,281,292,575
SSC40316,475,459,932,182,76,261,51,108,160,19,23,40,28,11,36,274,219,493,156,195,351,10.2,5,7.3,57.7,47.7,52.9,53.1,45.1,49.5,0,3,6,0,3,10,7,30,40,14,35,50,128,53,183,6,13,21,6,9,16,146,75,219,458,429,888,54,49,106,322,296,619,179,158,342
SSC40317,61,57,120,20,7,24,0,8,9,0,3,3,4,7,7,26,21,47,30,26,57,15.4,33.3,14.9,42.6,36.8,39.2,32.8,31.6,30,0,0,0,0,3,3,0,0,0,3,4,5,25,4,27,0,0,0,0,3,3,21,10,35,59,46,104,3,12,14,47,39,93,5,11,24
SSC40318,18,21,32,10,8,19,0,4,3,0,0,0,0,0,0,13,12,23,3,3,7,0,0,0,72.2,57.1,71.9,55.6,57.1,68.8,0,0,0,0,0,0,0,3,3,0,0,0,3,3,3,0,0,0,0,0,0,3,5,4,15,17,36,0,0,0,14,11,25,3,8,9
SSC40319,804,758,1561,363,195,555,145,256,401,27,19,43,26,20,46,554,486,1043,209,241,444,4.7,4.1,4.4,68.9,64.1,66.8,66.5,62,64,80,63,142,27,38,66,200,222,423,75,95,173,126,56,181,8,7,13,14,25,38,142,90,235,837,790,1620,73,74,149,647,609,1256,243,250,493
SSC40320,473,477,952,241,131,371,67,164,231,6,13,22,18,15,32,331,320,656,127,149,273,5.4,4.7,4.9,70,67.1,68.9,66.4,64.6,65.5,51,48,92,21,32,54,117,146,268,49,56,102,68,33,107,3,3,6,7,3,17,75,43,120,514,529,1035,43,67,110,396,402,801,148,168,316
SSC40321,916,942,1862,495,248,744,133,332,464,23,31,47,21,26,55,679,633,1309,223,298,519,3.1,4.1,4.2,74.1,67.2,70.3,71.1,64.9,67.4,76,66,145,35,50,82,169,229,397,117,101,221,161,66,229,8,11,14,13,16,36,186,93,277,985,975,1955,150,174,320,587,583,1167,499,533,1030
SSC40322,4150,4397,8548,1974,1013,2983,521,1174,1694,110,141,253,270,209,475,2871,2535,5407,1094,1654,2755,9.4,8.2,8.8,69.2,57.7,63.3,62.8,52.9,57.7,38,35,68,19,42,56,156,302,463,273,399,671,1171,697,1866,61,105,165,57,124,185,1287,929,2223,4410,4502,8917,546,574,1124,3288,3248,6538,1447,1617,3060
SSC40323,83,82,163,46,17,62,8,30,38,4,0,4,0,3,3,57,46,110,21,33,55,0,6.5,2.7,68.7,56.1,67.5,69.9,57.3,63.8,0,0,0,0,4,0,3,8,8,7,3,12,19,8,27,0,0,0,0,3,4,22,14,34,88,87,175,6,12,16,67,75,146,21,22,48
SSC40324,79,75,152,31,15,50,18,23,36,4,4,12,5,3,10,58,48,104,21,27,48,8.6,6.3,9.6,73.4,64,68.4,67.1,56,64.5,3,4,10,0,3,5,8,15,22,6,3,12,23,11,28,0,0,0,4,3,9,22,14,37,88,77,165,8,8,9,70,69,141,22,15,33
SSC40325,59,48,108,8,3,18,6,10,18,0,0,0,0,0,0,19,19,36,27,23,52,0,0,0,32.2,39.6,33.3,23.7,27.1,33.3,0,0,0,0,0,0,0,0,0,0,3,4,21,3,24,0,0,0,5,0,5,24,3,28,57,45,103,5,3,9,37,36,72,18,12,34
SSC40326,493,518,1006,199,135,332,86,118,203,16,24,36,26,21,49,322,299,618,140,180,321,8.1,7,7.9,65.3,57.7,61.4,61.1,53.5,56.8,22,30,58,17,21,32,75,106,179,42,39,82,84,44,127,0,3,3,13,4,19,96,54,149,465,496,961,77,50,127,361,407,775,169,131,300
SSC40327,1732,1674,3410,548,326,870,251,322,574,49,41,94,157,75,228,1005,768,1766,609,783,1396,15.6,9.8,12.9,58,45.9,51.8,49,41.2,45.1,50,51,104,7,17,19,205,207,412,111,102,216,268,153,427,22,19,35,20,22,39,307,193,498,1473,1453,2922,365,299,663,1018,1034,2045,753,647,1403
SSC40328,584,642,1228,222,101,322,51,162,208,18,28,41,26,22,41,307,304,613,248,310,563,8.5,7.2,6.7,52.6,47.4,49.9,49.8,45.3,46.5,3,3,6,4,7,13,32,75,106,28,64,91,169,76,247,16,8,21,15,19,31,196,104,300,610,648,1262,66,96,155,433,463,900,202,229,431
SSC40329,182,179,363,88,48,133,33,65,94,11,6,17,3,11,13,132,129,260,37,44,81,2.3,8.5,5,72.5,72.1,71.6,72.5,66.5,67.2,7,4,15,4,3,8,18,30,43,24,20,43,39,13,55,0,5,5,7,3,12,43,18,63,201,178,377,6,11,14,169,154,323,33,34,62
SSC40330,31,28,64,24,9,39,0,9,9,3,0,3,0,0,0,31,21,51,0,4,11,0,0,0,100,75,79.7,87.1,64.3,79.7,0,0,0,0,0,0,0,0,3,0,4,4,5,0,4,0,0,0,3,0,3,9,4,9,42,29,71,3,0,0,30,22,55,4,6,13
SSC40331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40332,938,1080,2019,474,283,756,131,359,492,29,34,54,42,35,76,669,710,1376,243,338,578,6.3,4.9,5.5,71.3,65.7,68.2,67.6,62.6,64.5,66,76,138,35,52,82,215,276,486,82,119,201,167,83,248,4,16,22,17,24,41,188,121,311,990,1123,2113,117,146,261,757,817,1579,307,407,712
SSC40333,360,403,762,183,84,267,47,129,172,10,16,29,3,12,15,247,232,479,86,140,223,1.2,5.2,3.1,68.6,57.6,62.9,66.7,56.8,61.4,0,4,9,0,6,10,15,39,54,22,41,58,89,48,136,0,3,10,6,15,20,101,73,167,370,396,766,51,52,106,259,284,540,140,141,283
SSC40334,13,8,23,4,4,9,3,3,6,0,0,0,0,0,0,12,6,13,3,0,5,0,0,0,92.3,75,56.5,53.8,87.5,65.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,3,3,15,13,24,0,0,0,14,11,24,0,0,3
SSC40335,20,21,46,13,10,17,7,8,8,0,0,0,0,0,0,13,16,33,3,5,8,0,0,0,65,76.2,71.7,100,85.7,54.3,0,0,0,0,0,3,3,4,8,3,0,5,4,4,8,0,0,0,0,0,0,4,4,13,23,22,46,0,3,4,19,21,44,3,6,11
SSC40336,27,23,47,15,7,27,0,7,7,0,0,0,0,0,0,23,17,40,3,9,14,0,0,0,85.2,73.9,85.1,55.6,60.9,72.3,0,0,0,0,0,0,0,3,4,3,7,8,6,3,17,0,0,0,0,0,0,12,3,15,32,24,59,0,0,3,26,16,41,3,4,12
SSC40337,3,3,8,4,0,4,0,0,0,0,0,0,0,0,0,4,0,5,0,3,3,0,0,0,133.3,0,62.5,133.3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,3,7,0,0,0,3,3,5,0,0,0
SSC40338,131,116,247,65,22,83,16,35,54,3,4,7,9,3,5,96,63,155,31,49,84,9.4,4.8,3.2,73.3,54.3,62.8,64.1,52.6,58.3,0,0,0,0,0,0,7,14,17,4,7,18,32,17,46,4,3,6,0,0,0,40,24,56,141,142,279,3,0,8,120,116,235,22,18,35
SSC40339,173,164,335,75,39,116,21,62,82,3,8,12,5,3,7,108,106,217,51,43,94,4.6,2.8,3.2,62.4,64.6,64.8,57.2,66.5,62.7,0,4,7,0,4,7,14,21,32,13,25,36,45,26,73,3,8,11,3,9,11,50,36,89,175,158,334,17,11,28,139,125,264,53,44,95
SSC40340,4,7,11,3,3,7,0,0,0,0,0,3,0,0,0,9,3,6,0,0,0,0,0,0,225,42.9,54.5,75,42.9,90.9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,5,6,9,0,0,3,5,0,11,0,0,3
SSC40341,4,4,10,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,75,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,3,3,9,0,0,0
SSC40342,32,34,63,13,3,22,9,14,19,0,0,0,0,0,4,20,20,41,6,6,17,0,0,9.8,62.5,58.8,65.1,68.8,50,65.1,0,3,3,0,0,0,4,3,5,6,6,5,8,0,11,0,0,0,0,0,0,8,3,9,32,35,67,3,4,6,17,23,47,10,12,20
SSC40343,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,3,3,4,0,0,0
SSC40344,3,3,7,3,0,3,0,0,3,0,0,0,0,0,0,4,0,6,0,3,8,0,0,0,133.3,0,85.7,100,0,85.7,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,0,0,0,3,0,4,3,3,6,0,0,0,4,0,3,0,0,3
SSC40345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40346,38,24,58,25,10,31,3,9,14,0,0,0,0,0,0,29,20,44,10,4,11,0,0,0,76.3,83.3,75.9,73.7,79.2,77.6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,13,0,0,0,0,0,4,10,4,17,46,27,72,3,0,3,31,23,53,13,9,19
SSC40347,473,529,1007,211,122,330,68,138,206,7,19,30,22,22,43,310,299,614,135,196,333,7.1,7.4,7,65.5,56.5,61,60.5,52.7,56.2,27,29,54,9,16,20,58,104,162,45,45,91,104,43,143,7,6,15,8,13,15,121,60,175,449,466,918,93,102,194,325,331,650,208,221,429
SSC40348,56,76,129,3,3,9,0,0,6,0,0,4,9,5,20,19,15,30,26,36,64,47.4,33.3,66.7,33.9,19.7,23.3,5.4,3.9,14.7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,3,0,0,0,3,3,6,37,40,82,8,16,31,35,39,75,8,17,25
SSC40349,31,22,51,19,0,16,6,8,10,0,3,4,0,0,3,23,16,35,3,10,16,0,0,8.6,74.2,72.7,68.6,80.6,50,58.8,0,0,0,0,0,0,0,0,3,3,6,10,16,3,15,0,0,0,0,0,0,19,3,22,37,28,73,0,0,0,25,20,42,11,12,23
SSC40350,2517,2447,4964,596,232,827,224,365,595,61,37,97,279,193,476,1158,830,1988,1109,1390,2498,24.1,23.3,23.9,46,33.9,40,35,25.9,30.6,15,8,24,4,8,12,34,60,93,78,112,192,450,336,790,68,74,145,32,56,87,553,461,1020,2411,2309,4713,479,508,984,1597,1522,3120,1032,1050,2080
SSC40351,963,1205,2170,451,283,735,133,309,442,17,44,68,45,48,87,652,683,1329,281,476,759,6.9,7,6.5,67.7,56.7,61.2,62.4,52.8,57.4,57,67,123,26,54,80,168,245,415,84,109,192,178,98,276,13,10,27,20,27,42,209,136,343,973,1094,2061,185,235,418,631,729,1360,457,576,1034
SSC40352,101,112,218,49,22,75,22,46,68,4,4,9,3,0,3,78,78,149,20,30,51,3.8,0,2,77.2,69.6,68.3,74.3,64.3,69.7,0,4,4,0,3,4,12,23,32,10,11,24,35,15,48,0,5,5,0,0,0,36,24,54,108,115,223,9,13,21,82,85,162,32,43,72
SSC40353,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,3,4,3,0,0,0
SSC40354,11,3,11,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,27.3,0,27.3,36.4,0,36.4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3,0,3,3,3,0,3,0,0,3
SSC40355,11,10,23,5,0,4,3,4,10,0,0,0,0,0,0,12,3,16,3,4,8,0,0,0,109.1,30,69.6,72.7,40,60.9,0,0,0,0,3,3,0,0,0,3,0,3,5,0,9,3,0,0,0,0,0,8,3,7,15,15,27,0,0,0,14,6,26,0,3,3
SSC40356,10,4,12,3,0,3,0,4,4,0,0,0,0,0,0,10,4,8,3,0,3,0,0,0,100,100,66.7,30,100,58.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,4,10,10,16,3,0,3,6,3,8,4,5,7
SSC40357,61,64,124,27,14,36,9,23,34,0,4,4,0,0,3,34,37,76,17,23,43,0,0,3.9,55.7,57.8,61.3,59,64.1,59.7,0,0,3,0,0,0,8,10,15,0,12,14,18,14,25,0,0,0,3,0,4,21,13,30,60,72,134,9,5,10,57,62,119,9,12,22
SSC40358,48,51,102,19,17,37,4,10,19,0,0,0,3,0,3,24,32,57,19,15,32,12.5,0,5.3,50,62.7,55.9,47.9,52.9,54.9,0,0,0,0,0,0,0,3,3,5,10,17,9,3,12,0,0,0,0,3,3,14,4,20,51,55,101,5,8,15,30,34,63,19,17,38
SSC40359,1548,1608,3162,657,407,1064,228,414,647,29,50,75,69,52,118,977,930,1902,512,629,1144,7.1,5.6,6.2,63.1,57.8,60.2,59,54.2,56.5,68,80,150,33,57,95,267,306,572,144,179,319,362,135,496,11,17,30,30,33,58,402,178,584,1573,1598,3177,199,221,421,1184,1194,2374,528,567,1094
SSC40360,12,10,20,9,3,7,0,3,3,0,0,0,0,0,0,8,3,12,0,0,0,0,0,0,66.7,30,60,75,60,50,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,11,18,0,0,0,7,6,16,0,0,3
SSC40361,391,401,788,164,98,265,55,92,147,16,16,26,28,21,51,256,227,483,115,157,270,10.9,9.3,10.6,65.5,56.6,61.3,60.1,51.4,55.6,20,16,36,3,10,14,61,73,130,21,40,62,77,43,120,4,0,4,3,8,11,89,52,135,349,323,672,77,77,155,215,234,449,192,158,353
SSC40362,29,28,59,7,5,16,10,7,16,3,4,5,0,0,3,17,15,35,8,10,11,0,0,8.6,58.6,53.6,59.3,69,57.1,62.7,0,0,0,0,0,3,5,9,12,0,0,4,12,3,8,0,0,0,3,0,3,11,3,14,21,21,47,6,0,6,14,15,35,10,10,18
SSC40363,230,259,494,136,88,219,22,65,83,9,13,17,23,4,29,183,171,346,34,75,107,12.6,2.3,8.4,79.6,66,70,72.6,64.1,64.6,8,3,7,0,0,3,14,30,40,13,29,42,61,53,107,0,6,8,0,6,12,61,62,125,218,232,451,81,90,166,53,55,106,217,247,465
SSC40364,21,20,45,11,7,19,3,9,8,0,0,0,0,0,0,18,12,31,9,3,12,0,0,0,85.7,60,68.9,66.7,80,60,0,0,0,0,0,0,3,4,6,0,0,3,4,3,3,0,0,0,0,3,4,5,3,12,25,21,48,3,0,3,22,16,39,8,10,12
SSC40365,52,34,83,15,3,21,8,9,17,0,0,3,4,0,4,21,15,37,25,18,46,19,0,10.8,40.4,44.1,44.6,44.2,35.3,49.4,0,3,3,0,0,3,0,0,5,0,8,7,19,3,19,0,0,0,0,0,0,15,3,21,44,34,77,0,4,8,30,25,55,15,7,21
SSC40366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40367,1065,1298,2366,403,282,684,151,326,473,30,32,63,54,44,99,638,690,1332,373,527,902,8.5,6.4,7.4,59.9,53.2,56.3,54.8,49.3,51.6,45,41,91,23,37,55,131,188,321,80,117,197,251,143,399,16,20,33,18,32,47,284,199,479,960,1135,2096,215,247,463,646,716,1368,494,631,1129
SSC40368,20,20,38,15,9,18,3,4,5,0,3,3,0,0,0,20,15,34,4,0,6,0,0,0,100,75,89.5,90,80,68.4,0,0,0,0,0,0,0,7,7,0,0,0,6,3,8,0,0,0,0,0,0,6,3,8,23,17,43,0,0,0,16,8,27,6,9,16
SSC40369,116,84,199,39,19,49,17,11,31,3,0,4,20,8,26,71,35,108,40,47,81,28.2,22.9,24.1,61.2,41.7,54.3,50.9,35.7,42.2,0,0,0,0,0,0,3,8,6,11,12,23,26,8,29,0,0,3,3,0,6,30,7,39,98,71,175,25,18,39,67,54,113,55,41,101
SSC40370,173,150,327,66,30,101,16,39,59,4,0,9,12,7,16,106,79,182,60,64,123,11.3,8.9,8.8,61.3,52.7,55.7,49.7,46,51.7,0,0,0,0,0,0,0,3,4,0,9,11,45,25,73,0,3,5,3,6,7,44,37,85,180,158,338,19,20,38,118,93,208,66,75,140
SSC40371,245,27,272,14,9,26,7,9,17,0,0,0,0,0,0,24,22,42,214,10,228,0,0,0,9.8,81.5,15.4,8.6,66.7,15.8,0,0,0,0,0,0,0,5,3,3,3,6,13,3,15,0,0,0,0,0,3,10,3,19,43,27,68,5,3,10,43,32,67,11,4,11
