SSC_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SSC40379,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,4,0,0,0,11,5,7,3,7,12,5,0,0,41,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,10,3,9,9,5,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,8,7,7,19,15,10,0,0,71
SSC40380,19,4,20,13,0,0,66,0,8,9,5,7,6,0,0,27,13,40,34,37,33,21,5,0,193,3,3,6,19,14,12,0,0,59,8,9,13,7,19,3,4,0,59,0,4,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,13,6,16,11,6,22,11,7,0,79,0,0,3,0,3,4,3,0,10,6,9,11,4,7,14,4,3,65,30,84,95,85,94,77,17,3,494
SSC40381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
SSC40382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,4,3,0,12
SSC40383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,7,3,4,3,5,3,0,0,0,12,0,10,11,9,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,6,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,5,13,12,15,8,4,3,0,57
SSC40384,5,12,10,6,0,0,37,0,3,3,7,9,3,0,0,24,7,27,27,33,45,14,3,0,156,0,17,4,24,16,15,3,0,77,20,40,25,48,25,21,3,0,181,3,4,0,3,0,0,0,0,12,4,3,7,3,10,9,0,0,29,28,50,26,58,34,27,3,0,225,0,0,0,0,0,0,0,0,0,9,8,8,10,17,10,0,0,60,40,104,85,141,125,79,7,0,579
SSC40385,33,43,41,39,7,5,208,0,8,14,30,20,22,0,0,95,38,95,140,113,93,70,22,8,582,7,22,43,55,54,52,15,4,250,48,42,65,83,55,45,9,10,351,6,0,0,9,3,4,0,0,24,3,3,9,7,8,4,4,0,38,56,49,73,97,69,52,14,10,420,3,3,0,3,0,3,0,0,17,27,14,13,28,17,19,20,5,152,140,222,318,372,298,260,89,28,1726
SSC40386,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,3,3,10,8,7,0,0,32,0,5,3,3,15,12,0,0,41,0,9,6,14,9,9,0,0,51,3,3,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,5,3,6,10,13,16,9,3,0,64,0,0,0,0,0,0,0,0,0,7,3,3,0,11,3,3,0,30,7,24,24,28,50,28,7,0,176
SSC40387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,3,7,8,3,6,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,8,3,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,3,13,11,9,8,3,0,0,54
SSC40388,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,14,12,3,0,0,0,0,0,32,5,0,3,0,0,0,0,0,8,32,25,0,3,0,0,0,0,54,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,32,23,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,24,6,3,0,0,0,0,0,33,83,51,10,9,0,0,0,0,149
