SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC40871,9,13,24,122,142,260,0,0,0,17,15,25,4,3,8,233,255,490,0,0,0,41,70,116,3,0,3,0,0,0,23,20,42,0,0,0,0,0,0,3,4,7,7,13,21,0,0,5,0,0,0,65,71,140,17,11,29,3,3,7,531,615,1146,8,6,14,8,0,10,0,0,3,0,0,0,3,0,3,8,4,8,9,4,16,366,376,742,9,9,13,0,3,3,375,386,762,81,86,173,1030,1115,2140
SSC40872,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,13,0,0,3,0,0,0,17,18,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,25,0,0,0,0,0,0,19,9,25,0,0,0,32,23,56
SSC40873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,60,5,0,4,0,0,0,36,40,71,0,0,0,3,3,8,0,0,0,4,9,16,0,0,0,0,0,0,4,9,16,52,42,95,0,0,0,0,0,0,52,42,95,29,28,56,126,117,243
SSC40874,0,0,0,6,4,9,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,7,0,0,0,0,0,0,12,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,3,4,8,3,3,11,18,21,39
SSC40875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40876,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,17,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,13,0,0,0,0,0,0,8,3,13,4,0,5,25,17,38
SSC40877,0,0,0,13,9,19,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,22,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,25,0,0,0,0,0,0,16,8,25,4,8,15,47,30,75
SSC40878,0,0,0,5,7,5,0,0,0,0,0,0,0,0,0,18,19,37,0,0,0,0,0,0,0,0,0,0,0,0,5,7,14,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,0,0,0,3,9,13,3,4,4,0,0,0,40,49,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,31,0,0,0,0,0,0,23,10,31,3,16,21,61,73,136
SSC40879,0,0,0,93,112,207,0,0,0,6,6,10,0,0,0,34,43,78,0,0,0,0,0,0,0,0,0,0,0,0,22,28,46,0,0,0,0,3,4,3,7,11,3,3,6,0,3,3,0,0,0,114,146,264,10,11,18,0,0,0,287,367,648,0,0,0,6,3,9,0,0,0,0,0,0,6,0,3,0,0,0,3,4,4,194,143,331,0,3,3,0,0,0,194,147,340,41,50,95,525,573,1099
SSC40880,0,0,0,13,12,23,0,0,0,0,0,0,0,0,0,15,13,26,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,27,3,0,3,0,0,0,55,49,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,23,58,0,0,0,0,0,0,36,23,58,11,12,18,100,83,177
SSC40881,0,0,0,9,17,26,0,0,0,0,0,0,0,0,0,16,22,44,0,0,0,0,0,0,3,3,7,0,0,0,9,3,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,9,23,3,4,7,0,0,0,57,62,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,24,62,0,0,0,0,0,0,31,24,62,3,4,9,93,95,188
SSC40882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,3,3,7,0,0,0,8,8,18
SSC40883,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,16,0,0,0,0,0,0,11,3,16,3,0,3,25,17,43
SSC40884,6,10,14,106,159,267,0,0,0,18,24,40,0,0,0,145,184,330,0,8,4,28,22,49,0,0,0,0,0,0,21,22,45,0,0,0,0,0,4,4,4,11,6,11,26,0,0,0,0,0,0,51,95,143,24,29,52,0,0,0,407,567,973,4,5,10,3,7,13,3,0,6,0,0,0,3,3,4,3,3,8,5,3,7,310,317,629,3,0,3,6,5,9,318,316,635,81,85,167,823,998,1820
SSC40885,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,0,0,0,0,0,0,18,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,22,0,0,0,0,0,0,10,10,22,0,0,3,27,26,55
SSC40886,68,96,162,178,250,432,0,0,0,88,79,166,0,0,0,353,479,834,15,17,27,75,86,161,10,6,20,0,5,7,38,44,84,0,3,7,9,11,25,33,49,82,27,39,69,3,8,16,4,3,6,96,180,285,83,116,197,3,6,5,1022,1391,2414,92,102,197,136,131,266,0,0,0,0,0,0,29,36,61,35,28,64,61,61,122,928,905,1831,3,5,17,3,0,6,937,916,1855,217,233,452,2537,2930,5465
SSC40887,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,10,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,17,0,0,0,0,0,0,10,6,17,0,0,3,18,8,31
SSC40888,6,12,20,157,171,335,0,0,0,30,22,49,0,0,0,166,195,368,0,6,5,3,10,13,7,4,8,0,0,0,21,28,47,0,0,0,10,6,16,6,7,13,15,15,28,4,3,6,0,0,0,57,95,150,38,49,91,3,7,9,517,620,1131,3,0,5,0,5,7,0,3,5,0,0,0,0,0,0,3,8,10,3,8,10,604,609,1217,3,3,3,3,3,11,614,613,1234,114,126,238,1260,1387,2638
SSC40889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,3,4,3
SSC40890,0,0,0,6,3,10,0,0,0,3,0,4,0,0,0,12,3,8,0,0,0,0,0,0,0,0,0,0,0,0,31,41,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,16,5,4,6,0,0,0,67,65,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,71,0,0,0,0,0,0,32,33,71,14,6,23,117,110,227
SSC40891,51,74,125,199,266,461,0,0,0,45,64,106,0,0,0,404,455,862,4,3,11,51,55,108,15,13,22,3,4,6,34,49,89,0,3,6,14,18,32,29,43,74,32,33,69,3,8,14,3,8,16,139,187,319,73,89,162,16,23,39,1065,1329,2387,121,128,247,97,81,176,0,0,0,0,0,0,43,48,89,10,15,21,49,63,111,965,805,1769,10,11,17,10,10,19,983,825,1805,205,183,386,2573,2671,5245
SSC40892,23,44,64,339,397,735,0,0,0,59,76,133,0,0,0,576,631,1206,10,12,24,47,42,87,12,11,22,8,4,16,77,92,171,0,3,3,15,17,30,41,67,102,50,57,109,12,24,37,4,6,11,176,237,416,101,100,197,16,26,44,1536,1791,3323,48,40,85,65,47,114,0,0,0,0,0,0,23,25,51,14,15,27,33,43,78,1321,1192,2517,20,16,35,6,3,10,1349,1213,2556,223,253,474,3264,3435,6701
SSC40893,28,37,62,231,295,526,0,0,0,84,69,155,0,0,0,505,521,1031,7,6,11,51,54,107,6,14,22,15,14,26,95,105,197,5,4,3,15,18,31,53,58,114,19,35,56,7,19,32,5,3,9,178,189,368,83,79,166,12,5,15,1369,1498,2869,46,56,104,49,49,99,4,3,8,0,0,0,7,4,13,12,21,28,20,23,40,1077,895,1970,9,8,13,4,6,5,1082,904,1985,218,234,449,2819,2807,5624
SSC40894,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0,3,5,6,0,0,0,8,7,17
SSC40895,0,0,0,15,18,33,0,0,0,0,0,3,0,0,0,11,12,23,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,15,0,0,0,0,3,3,46,51,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,42,97,0,0,0,0,0,0,50,42,97,6,8,15,104,105,209
SSC40896,3,0,3,10,8,22,0,0,0,0,0,0,0,0,0,8,11,21,0,0,3,0,0,0,0,0,0,0,0,0,4,6,12,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,9,7,0,3,0,0,0,0,32,40,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,40,25,58,0,0,0,0,0,0,37,21,65,5,12,19,81,73,159
SSC40897,3,3,9,62,69,129,0,0,0,4,0,4,0,0,0,79,80,160,8,3,8,39,36,77,0,0,0,0,3,3,35,48,79,0,0,0,0,0,0,6,5,17,8,3,5,0,0,0,7,0,4,52,67,119,16,28,38,0,0,0,309,338,643,0,0,0,0,0,0,0,0,0,0,0,0,12,12,23,3,4,10,16,21,32,195,157,357,0,3,3,3,0,3,199,164,364,37,40,77,567,560,1124
SSC40898,0,0,0,10,7,21,0,0,0,0,0,0,0,0,0,15,22,37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,9,8,17,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,43,44,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,25,0,0,0,0,0,0,14,7,25,6,6,6,65,64,127
SSC40899,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40900,0,0,0,9,13,24,0,0,0,0,0,0,0,0,0,32,25,49,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,15,15,31,0,0,0,0,0,0,62,61,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,62,128,0,0,0,0,0,0,67,64,129,19,18,39,148,149,294
SSC40901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,12,0,0,0,0,0,0,8,7,9,0,0,0,15,12,27
SSC40902,0,0,0,3,4,11,0,0,0,0,0,0,0,0,0,10,13,23,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,6,12,14,9,0,6,0,0,0,33,34,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,20,56,0,0,0,0,0,0,34,20,56,6,3,7,71,62,133
SSC40903,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,4,3,5,0,0,0,8,6,11
SSC40904,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,0,0,0,8,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,3,3,10,0,0,0,12,10,22
SSC40905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40906,3,0,3,39,43,82,0,0,0,0,0,3,0,0,0,38,24,60,0,0,0,3,0,5,0,3,3,0,0,0,9,13,20,0,3,3,0,0,0,0,0,3,3,3,8,0,9,8,3,3,5,46,83,122,12,6,16,0,0,0,144,182,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,132,112,240,0,0,3,0,0,0,133,116,248,30,27,51,316,320,632
SSC40907,9,11,19,140,162,303,0,0,0,14,19,32,0,0,0,177,154,333,0,3,3,6,4,10,0,3,3,0,4,4,34,51,81,0,0,0,3,3,10,9,8,19,12,15,22,3,0,3,0,0,3,213,230,451,32,32,65,0,3,3,645,691,1337,5,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,407,355,763,3,4,9,0,3,3,409,359,771,115,105,214,1177,1168,2344
SSC40908,3,0,0,15,17,29,0,0,0,3,7,7,0,0,0,10,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,42,3,6,14,0,0,0,50,71,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,46,32,77,0,0,0,0,0,0,46,29,74,10,9,16,110,110,220
SSC40909,0,4,8,36,26,63,0,0,0,11,7,15,0,0,0,91,87,180,0,0,0,0,3,4,0,0,0,0,0,0,0,17,16,0,0,0,0,0,0,3,3,5,30,26,56,0,0,0,0,0,0,18,23,35,10,4,18,0,0,0,200,204,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,121,268,0,3,3,0,0,0,149,126,277,518,27,545,872,355,1226
SSC40910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,7,6,14,22,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,5,4,6,13,27,31,58
SSC40911,0,0,0,6,8,13,0,0,0,0,0,0,0,0,0,11,23,35,0,0,0,0,0,0,0,0,0,0,0,0,12,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,11,3,3,8,0,0,0,53,58,109,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,0,0,0,4,6,10,22,16,45,0,0,0,0,0,0,22,16,45,13,16,31,91,102,189
SSC40912,0,0,0,20,10,28,0,0,0,0,0,0,0,0,0,7,13,26,0,0,0,0,0,0,0,0,0,0,0,0,13,7,12,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,14,17,26,0,0,0,0,0,0,49,47,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,58,0,0,0,0,0,0,26,27,58,13,10,22,94,88,173
SSC40913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,20,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,35,21,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,22,0,0,0,0,0,0,9,15,22,0,0,0,38,38,76
SSC40914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,18,0,0,0,0,0,0,7,8,18,0,0,0,12,12,20
SSC40915,0,0,0,41,40,79,0,0,0,3,0,0,0,0,0,27,36,57,0,0,0,0,0,0,0,0,0,0,0,0,10,19,33,0,0,0,0,0,0,0,0,0,9,5,13,0,0,0,0,0,0,35,33,70,6,8,7,0,0,0,125,137,265,7,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,76,174,0,0,0,0,0,0,97,76,174,24,16,44,257,235,489
SSC40916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,9,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,7,8,17
SSC40917,89,129,216,1165,1418,2583,0,0,0,184,259,444,0,0,0,1505,1756,3262,40,48,84,112,125,240,48,74,124,33,44,77,174,216,386,14,10,21,67,67,132,117,167,283,106,138,246,36,44,78,22,36,62,621,796,1417,420,504,925,35,24,61,4693,5736,10426,63,64,132,100,74,179,4,3,5,0,0,0,22,13,38,57,81,136,83,100,174,5072,4570,9644,74,54,124,22,36,52,5162,4659,9824,1135,1045,2179,11329,11807,23140
SSC40918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
SSC40919,21,26,42,139,194,334,0,0,0,23,37,64,0,0,0,280,360,636,6,4,13,40,34,78,4,0,7,3,8,8,23,35,59,0,0,3,4,19,26,3,8,13,5,15,16,0,5,5,0,0,0,69,113,181,39,52,93,0,7,5,651,900,1549,25,35,63,29,35,63,0,3,7,3,0,4,11,6,22,3,9,8,15,17,37,571,574,1147,4,0,5,3,3,7,577,577,1161,139,152,294,1458,1747,3208
SSC40920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,7,16
SSC40921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,0,0,0,0,0,0,6,3,7,0,0,0,10,7,19
SSC40922,0,0,0,12,8,20,0,0,0,8,0,8,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,0,3,0,0,0,0,0,0,21,11,28,0,0,6,0,0,0,41,39,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,25,0,0,0,0,0,0,17,12,25,5,4,17,65,54,119
SSC40923,58,78,136,609,773,1382,0,0,0,154,176,327,31,33,64,803,983,1782,25,30,48,34,19,56,31,44,71,18,30,46,375,474,845,0,0,0,17,25,39,105,117,221,64,94,156,23,37,60,17,9,25,440,600,1036,225,260,488,40,50,90,3004,3733,6741,36,31,63,22,14,38,8,3,12,3,3,6,10,12,22,27,50,78,37,62,102,2753,2652,5411,29,13,44,29,25,56,2815,2693,5510,592,654,1245,6570,7273,13842
SSC40924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC40925,0,0,0,14,13,26,0,0,0,4,0,3,0,0,0,7,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12,3,3,3,0,0,0,36,34,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,40,39,79,0,0,0,0,0,0,43,39,74,5,6,15,81,76,163
SSC40926,3,0,3,6,12,20,0,0,0,0,7,3,0,0,0,9,5,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,7,0,0,0,24,26,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,4,7,20,20,39,0,0,0,0,0,0,20,20,36,4,0,3,51,54,102
SSC40927,0,0,0,4,3,10,0,0,0,0,0,5,0,0,0,5,9,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,24,22,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,56,0,0,0,0,0,0,28,32,60,3,0,8,57,56,111
SSC40928,0,0,0,9,15,17,0,0,0,0,0,0,0,0,0,8,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,21,0,0,0,0,0,0,28,38,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,30,0,0,0,0,0,0,14,16,30,9,0,10,58,51,110
