SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC40117,21,19,36,199,284,484,0,0,0,50,62,113,4,9,10,210,238,450,15,26,40,13,12,26,0,4,4,0,0,0,48,51,101,0,0,0,3,3,7,9,15,24,24,28,53,4,3,3,0,0,0,143,187,334,40,71,112,3,3,5,778,999,1778,3,0,3,5,8,14,3,4,7,0,0,0,0,3,5,13,14,28,11,17,29,1032,924,1953,16,15,29,4,8,12,1049,941,1990,169,151,320,2041,2139,4181
SSC40118,91,112,200,85,90,168,0,0,0,25,30,57,0,0,0,380,413,793,9,9,20,88,102,187,6,13,23,4,8,13,61,64,125,0,0,0,10,12,28,22,24,45,13,10,24,4,3,10,8,11,19,66,95,161,47,55,101,0,3,4,836,945,1781,95,105,201,591,294,893,0,0,0,0,0,0,39,30,74,4,9,9,51,38,86,553,488,1037,5,3,7,3,5,6,562,493,1048,231,196,429,2451,2177,4630
SSC40119,25,34,59,416,475,890,0,0,0,55,50,105,0,0,0,520,621,1141,3,7,11,22,31,52,4,15,19,10,11,25,54,78,129,3,0,8,17,12,32,90,85,176,37,33,69,7,11,14,10,10,21,172,205,374,126,146,272,5,3,3,1551,1801,3354,21,19,40,25,28,52,4,3,5,0,0,0,8,11,19,13,16,30,23,27,46,1543,1528,3071,13,11,28,3,11,17,1559,1558,3115,288,272,562,3489,3739,7229
SSC40120,0,0,0,31,29,59,0,0,0,3,3,13,3,0,4,23,25,46,0,0,0,0,0,0,0,0,0,3,5,6,14,15,30,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,10,12,19,3,5,14,5,0,6,103,102,208,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,62,133,0,0,0,0,3,3,71,66,134,17,19,32,192,191,381
SSC40121,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,4,6,10,11,22
SSC40122,0,0,0,23,24,46,0,0,0,0,5,9,0,0,0,21,16,40,0,0,0,0,0,0,0,0,0,0,0,0,6,3,15,0,0,0,3,0,3,0,0,0,3,3,4,0,0,0,0,0,0,12,12,31,7,6,7,0,0,0,86,73,158,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,57,40,95,0,0,0,0,0,0,57,40,95,27,15,46,168,135,307
SSC40123,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,12,5,13,0,3,0,0,0,0,0,0,3,0,0,0,4,3,7,0,0,0,3,0,5,0,0,0,0,0,3,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,28,18,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,26,0,0,0,0,0,0,15,12,26,3,0,3,41,40,77
SSC40124,0,0,0,21,25,41,0,0,0,0,3,3,0,0,0,27,29,55,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,5,14,0,0,3,0,0,0,0,0,0,15,17,30,12,3,11,0,0,0,86,91,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,56,132,0,0,0,0,0,0,67,56,132,13,11,23,175,157,329
SSC40125,0,0,0,3,6,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,16,0,0,0,0,0,0,11,5,16,0,0,3,15,20,35
SSC40126,0,0,0,8,6,11,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,7,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,3,4,0,0,4,14,21,31
