SSC_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SSC40561,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,4,6,9,11,3,8,4,7,10,4,3,3,10,0,10,9,3,11,4,0,4,17,0,13,6,0,6,8,0,8,3,0,3,9,0,9,18,0,18,0,5,3,108,25,134
SSC40562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,15
SSC40563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,3,0,3,0,0,0,3,0,3,8,0,8,3,0,3,8,0,4,3,0,3,3,0,3,3,0,3,0,0,0,6,0,3,0,0,4,44,10,57
SSC40564,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,20,3,24
SSC40565,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,3,9,3,5,0,0,0,3,0,6,9,0,9,3,0,3,3,0,3,9,0,11,0,0,0,0,0,0,0,0,0,0,0,3,7,0,7,0,0,0,44,15,58
SSC40566,0,0,0,0,0,0,0,4,10,0,3,4,0,3,3,0,5,5,9,0,8,7,8,11,3,5,9,12,4,14,0,3,3,3,0,3,3,4,8,3,0,3,3,0,3,0,0,3,0,0,0,20,0,20,5,4,12,75,46,121
SSC40567,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,7,0,7,4,0,4,4,0,4,3,0,4,0,0,3,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,35,9,40
SSC40568,3,3,7,5,3,4,0,20,16,3,22,22,12,46,52,9,32,40,18,16,35,20,17,35,39,18,57,32,12,45,22,19,42,34,3,38,55,19,71,47,0,47,39,0,39,42,3,46,130,0,131,69,0,69,3,9,15,578,237,811
SSC40569,3,3,4,3,0,4,6,9,12,0,11,11,19,47,57,21,17,40,36,23,57,39,24,60,76,24,106,58,21,78,67,13,81,79,20,100,108,12,125,109,0,109,65,0,65,49,0,49,78,0,73,97,3,104,5,3,11,917,236,1154
SSC40570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,19
SSC40571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12
SSC40572,0,0,0,4,4,10,5,14,17,3,27,34,26,66,89,23,43,70,96,26,120,66,24,89,87,23,113,79,3,80,40,4,48,27,7,33,52,3,54,18,0,23,12,0,12,9,0,10,10,0,10,60,8,61,16,8,21,640,261,905
SSC40573,4,9,13,3,3,3,3,9,10,0,15,14,9,21,32,5,31,33,16,16,32,21,18,38,26,24,51,36,11,53,18,21,34,29,10,42,45,13,58,35,0,34,45,0,45,23,11,35,129,0,129,56,3,56,0,9,10,510,218,722
SSC40574,3,0,3,0,0,0,3,3,3,0,8,8,3,5,12,5,5,10,14,4,23,10,7,16,17,9,28,21,3,25,9,3,17,15,0,12,33,7,34,22,0,25,18,0,18,13,3,17,39,0,39,38,0,42,3,3,4,265,71,337
SSC40575,0,0,0,0,0,3,0,6,6,0,0,0,0,6,10,5,6,7,5,5,7,4,6,14,9,5,19,11,6,13,4,7,7,5,4,3,12,3,9,12,0,12,7,0,7,11,5,17,34,0,34,17,0,17,0,3,3,134,61,190
SSC40576,15,18,39,14,7,17,11,42,51,13,64,76,30,118,147,38,49,84,112,45,159,66,44,114,100,45,148,85,26,113,65,30,96,64,19,81,114,7,129,69,5,70,47,0,43,26,5,31,35,0,34,84,4,91,19,21,34,1007,553,1563
SSC40577,0,7,8,4,3,7,0,12,14,0,20,26,8,44,51,7,10,15,41,13,53,15,17,24,20,17,41,24,9,31,27,6,38,14,0,18,31,10,33,26,0,30,11,0,11,8,0,6,11,0,11,24,0,29,9,12,20,278,182,459
SSC40578,9,19,24,6,10,16,10,44,55,4,82,87,24,116,147,30,73,107,92,64,159,79,71,153,104,77,184,91,39,132,91,42,135,81,41,128,180,34,215,154,7,156,129,0,126,97,40,138,216,4,220,169,13,179,12,35,46,1579,825,2404
SSC40579,0,12,15,4,4,7,4,44,53,6,44,52,12,52,59,20,32,50,36,16,51,27,34,61,41,34,75,44,17,61,25,16,46,33,7,43,84,22,107,72,0,70,49,0,49,33,3,38,100,3,102,85,4,86,6,22,26,691,370,1058
SSC40580,0,0,0,3,4,3,3,3,5,0,9,9,8,10,16,10,6,12,22,8,33,26,11,39,41,7,52,63,4,72,52,7,60,51,9,58,135,4,141,91,0,91,63,0,64,45,0,46,65,0,65,100,3,105,3,0,6,787,82,869
SSC40581,8,12,26,10,3,11,12,21,34,9,17,27,26,71,100,48,39,82,123,35,155,117,31,149,162,54,217,140,17,160,110,23,137,128,18,143,285,20,307,206,3,206,144,4,148,91,4,98,149,0,149,156,5,159,17,17,25,1926,411,2335
SSC40582,3,6,8,0,6,6,0,0,7,0,8,11,9,22,22,8,18,27,12,25,37,12,15,25,17,16,31,29,17,44,22,9,28,23,11,30,39,11,44,40,0,40,29,0,29,37,5,40,84,0,84,38,4,38,3,3,5,394,162,558
SSC40583,0,0,0,3,0,3,0,0,0,0,0,0,3,3,10,0,0,3,4,0,4,7,0,7,10,3,14,8,3,10,5,3,5,4,3,9,15,4,19,11,0,11,6,0,6,3,0,5,9,0,9,13,0,13,0,0,0,94,23,119
SSC40584,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,7,3,5,7,0,5,5,0,5,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,28,4,36
SSC40585,3,7,14,8,8,11,7,7,12,6,19,25,27,51,70,45,26,74,97,26,132,87,27,116,111,54,160,116,28,142,104,26,133,116,16,134,200,18,221,129,0,128,68,0,68,38,3,42,36,0,33,131,4,136,18,16,30,1337,343,1677
SSC40586,10,10,19,4,7,12,3,19,26,9,31,43,29,96,129,20,35,53,75,26,99,80,42,118,84,28,113,90,30,120,64,15,81,60,20,83,104,7,115,75,3,78,65,0,67,28,3,27,28,0,28,55,10,68,4,12,14,894,401,1290
SSC40587,0,3,3,4,0,3,0,4,8,0,13,13,9,80,86,11,33,43,52,11,62,15,8,25,22,3,30,20,0,17,4,0,4,13,3,14,13,0,14,4,0,4,3,0,3,0,0,0,3,0,3,11,0,11,6,11,13,194,171,362
SSC40588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,20
SSC40589,3,3,9,4,3,8,4,9,14,0,15,15,6,19,24,3,16,22,16,4,21,14,17,24,17,11,31,15,5,17,10,3,17,16,4,19,30,10,43,18,3,21,10,0,9,6,0,6,15,0,18,17,5,23,3,4,7,200,137,336
