SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC40767,0,0,3,40,55,29,26,54,24,220
SSC40768,136,49,284,1071,1357,605,371,1052,284,4736
SSC40769,0,0,0,9,33,11,6,3,10,67
SSC40770,0,0,0,4,10,8,6,8,6,46
SSC40771,0,0,4,56,65,28,27,27,12,218
SSC40772,0,0,0,3,6,8,3,3,3,24
SSC40773,0,0,3,14,33,12,23,15,10,103
SSC40774,0,0,0,75,148,90,60,100,43,509
SSC40775,0,0,0,12,7,5,3,6,9,34
SSC40776,0,0,0,3,6,7,7,0,4,27
SSC40777,0,0,0,11,14,6,4,10,0,38
SSC40778,0,0,0,31,44,41,20,29,8,174
SSC40779,0,0,0,76,97,72,54,38,17,361
SSC40780,0,0,0,38,57,20,14,24,23,174
SSC40781,26,3,54,429,588,271,154,260,54,1757
SSC40782,85,39,194,764,992,510,406,764,336,3767
SSC40783,3,3,14,122,182,107,63,109,58,645
SSC40784,6,5,18,102,124,50,63,88,33,457
SSC40785,0,0,5,0,0,0,3,7,13,24
SSC40786,0,0,0,3,3,0,0,8,8,22
SSC40787,8,3,16,335,446,252,176,229,173,1614
SSC40788,0,0,4,31,64,40,11,37,16,196
SSC40789,4,0,4,53,61,31,31,60,22,249
SSC40790,0,0,0,13,20,16,9,8,6,68
SSC40791,3,0,12,212,372,178,126,139,86,1114
SSC40792,3,0,6,72,118,64,60,94,40,449
SSC40793,0,0,0,9,30,12,13,14,10,88
SSC40794,0,0,0,3,4,0,0,6,0,14
SSC40795,0,0,0,14,10,10,6,5,5,50
SSC40796,0,0,0,0,0,3,0,3,0,12
SSC40797,171,37,371,1703,2127,928,615,1613,394,7379
SSC40798,0,0,0,0,0,0,0,0,0,0
SSC40799,44,14,72,187,249,139,134,225,98,1032
SSC40800,0,0,0,3,7,0,0,0,8,18
SSC40801,0,0,0,4,16,0,3,3,0,29
SSC40802,3,11,18,125,211,88,72,145,76,718
SSC40803,0,0,0,0,9,0,0,6,0,22
SSC40804,0,0,0,0,4,0,0,3,0,6
SSC40805,78,8,108,529,645,299,168,405,102,2153
SSC40806,0,0,0,3,6,6,0,4,0,21
SSC40807,0,0,0,15,12,0,6,8,3,37
SSC40808,0,0,0,0,0,0,0,0,0,4
SSC40809,0,0,0,17,15,7,9,0,6,59
SSC40810,20,0,31,258,332,133,100,199,37,1065
SSC40811,49,26,105,335,589,309,262,520,261,2269
SSC40812,0,0,3,23,28,17,25,25,19,125
SSC40813,23,11,52,614,708,307,300,1106,264,3297
SSC40814,0,0,0,3,6,4,0,4,3,19
SSC40815,0,0,6,14,14,5,6,10,11,53
SSC40816,0,0,4,17,21,19,23,9,0,85
SSC40817,0,0,0,14,23,7,3,3,0,55
SSC40818,0,0,0,11,23,6,5,17,6,59
SSC40819,26,15,68,463,586,217,155,464,104,1986
SSC40820,6,3,38,372,634,297,170,268,91,1835
SSC40821,155,28,274,720,905,450,264,849,208,3394
SSC40822,0,0,0,13,33,17,31,23,18,143
SSC40823,0,0,0,3,10,3,0,0,0,20
SSC40824,0,0,0,0,4,0,0,3,0,9
SSC40825,0,0,0,12,23,5,4,19,24,91
SSC40826,25,74,118,332,398,135,106,402,226,1605
SSC40827,0,0,0,3,0,0,0,0,0,4
SSC40828,0,0,4,19,13,16,14,18,5,87
SSC40829,0,0,0,6,15,4,3,38,14,85
SSC40830,10,5,22,127,141,71,30,83,28,487
SSC40831,0,0,0,0,6,0,0,0,0,5
SSC40832,6,3,19,211,294,129,91,166,76,966
SSC40833,0,0,0,5,20,5,14,21,4,63
SSC40834,0,0,0,0,0,0,0,0,0,0
SSC40835,67,8,93,2754,3016,1056,760,2484,585,10662
SSC40836,0,0,0,3,0,0,0,0,0,4
SSC40837,10,4,32,310,406,173,74,223,74,1256
SSC40838,0,0,0,0,5,3,0,0,0,12
SSC40839,0,0,0,3,12,3,0,0,0,15
SSC40840,70,15,115,293,412,306,193,379,134,1716
SSC40841,0,0,3,12,14,12,4,0,8,43
SSC40842,3,0,7,275,396,150,108,149,63,1148
SSC40843,104,28,202,654,945,484,349,618,269,3321
SSC40844,3,0,9,237,387,135,128,148,73,1110
SSC40845,10,0,19,239,232,128,89,198,77,966
SSC40846,3,0,0,61,96,31,19,51,13,269
SSC40847,4,0,10,59,65,40,44,39,29,281
SSC40848,54,21,133,406,523,231,158,349,122,1794
SSC40849,0,0,0,3,3,6,5,3,5,17
SSC40850,0,0,0,0,0,3,0,3,3,9
SSC40851,15,8,46,155,201,146,121,216,92,932
SSC40852,0,0,0,3,3,0,0,0,0,14
SSC40853,0,0,0,3,5,4,0,5,4,30
SSC40854,0,0,0,14,23,17,5,10,7,75
SSC40855,0,0,0,0,3,0,0,3,0,6
SSC40856,0,0,0,3,4,3,0,3,0,9
SSC40857,0,0,0,7,8,4,3,6,5,33
SSC40858,0,0,0,9,11,15,0,10,0,40
SSC40859,0,0,0,11,23,5,0,18,12,66
SSC40860,0,0,0,0,0,0,0,3,5,17
SSC40861,0,0,0,0,3,0,0,0,0,3
SSC40862,7,3,20,189,300,153,108,153,61,964
SSC40863,0,0,0,3,3,0,0,3,8,13
SSC40864,3,0,3,53,78,42,29,34,25,267
SSC40865,4,3,13,107,204,100,93,159,82,752
SSC40866,31,4,74,1069,1067,371,227,877,251,3851
SSC40867,0,0,0,3,9,0,0,3,6,17
SSC40868,0,0,0,5,16,3,7,12,0,49
SSC40869,0,0,0,15,21,14,3,27,9,96
SSC40870,59,79,201,719,1060,614,533,870,444,4236
SSC40871,16,3,30,462,518,291,154,223,85,1730
SSC40872,0,0,0,6,10,4,8,9,0,41
SSC40873,0,0,0,31,47,28,17,25,44,187
SSC40874,0,0,0,7,6,4,3,3,3,27
SSC40875,0,0,0,0,0,0,0,0,0,0
SSC40876,0,0,0,3,4,6,3,16,3,32
SSC40877,0,0,0,10,8,7,9,21,12,68
SSC40878,0,0,0,20,23,10,15,20,20,107
