SSC_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
SSC40462,0,3,3,0,0,0,0,0,3,14,32,105,103,111,96,59,24,34,4,576,0,3,0,0,0,0,0,0,0,5,4,0,0,0,0,0,3,6,0,13,0,3,5,9,19,20,15,10,0,86,0,0,0,0,6,0,0,5,0,20,0,9,3,4,16,28,14,27,0,97,0,4,0,7,6,12,3,4,0,33,3,41,22,33,22,8,11,4,0,143,0,33,10,6,6,8,0,8,0,75,0,4,6,9,11,6,4,7,3,47,3,0,0,0,9,6,0,0,0,22,0,0,4,4,16,7,0,11,0,45,0,4,0,3,0,4,0,0,0,18,3,13,3,8,9,19,3,12,0,70,4,3,7,4,5,3,7,0,0,38,5,3,13,7,19,17,12,8,0,88,9,6,22,20,16,19,10,17,0,118,11,31,35,46,32,11,7,4,0,172,0,3,3,0,0,0,0,6,0,17
SSC40463,0,5,5,4,5,4,4,4,5,38,58,263,222,250,273,160,87,82,21,1408,0,3,0,4,3,3,0,3,0,18,0,0,3,0,0,0,3,0,0,13,0,11,9,8,58,40,25,25,0,187,3,0,3,0,9,5,7,4,0,37,3,20,18,19,59,53,19,48,4,232,3,5,7,7,31,24,7,11,0,91,11,101,48,47,52,30,27,17,3,342,3,56,24,28,23,22,6,20,0,180,7,8,12,17,32,19,10,24,4,135,0,0,3,8,12,15,8,4,0,51,3,3,17,19,22,27,12,11,0,123,3,6,3,9,9,12,4,3,0,46,4,12,23,21,43,39,14,25,3,184,5,24,13,15,25,13,4,10,0,102,21,5,19,32,81,43,23,18,0,249,0,54,36,26,48,29,32,36,3,266,22,38,55,82,90,48,21,18,0,382,4,11,3,4,3,6,3,8,0,48
SSC40464,0,0,0,3,4,0,0,0,4,12,38,155,131,155,158,119,72,86,9,918,0,4,3,0,0,0,3,4,0,9,3,0,0,0,3,3,3,4,0,20,0,13,6,0,12,13,9,18,0,71,0,0,0,0,4,5,0,7,0,25,0,3,5,8,7,16,7,21,0,69,0,7,5,6,11,13,13,9,0,56,8,40,21,21,22,15,15,8,0,144,0,40,12,16,18,12,9,13,3,119,0,4,10,3,10,8,5,7,0,39,0,6,4,3,7,14,3,7,0,34,0,3,3,6,12,14,13,14,0,74,0,3,0,4,0,4,3,3,0,23,6,37,18,17,41,52,21,45,0,231,0,3,8,11,11,7,3,12,0,49,14,11,16,12,51,33,13,13,0,161,5,34,27,26,35,38,23,32,4,227,11,37,51,65,70,26,36,33,0,333,0,15,0,3,3,3,0,7,0,32
SSC40465,0,0,0,0,0,0,0,0,0,3,0,6,8,4,6,3,0,3,0,26,0,3,8,0,12,11,0,18,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SSC40466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40469,0,0,0,0,0,0,0,0,0,0,4,17,12,29,20,8,4,6,0,102,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,5,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,0,15,0,0,0,0,0,0,0,0,0,4,0,6,3,10,4,3,0,0,0,25,0,8,3,3,3,0,0,0,0,18,0,0,0,0,3,0,4,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,4,0,0,0,10,0,0,0,0,0,0,0,0,0,10,3,0,0,0,4,4,0,6,0,19,0,3,0,9,3,3,0,3,0,23,3,4,5,8,9,0,0,3,0,25,0,0,0,0,3,0,0,0,0,6
SSC40470,0,0,0,0,0,0,0,0,0,6,11,41,35,55,43,28,5,13,7,234,0,3,0,0,0,4,0,3,0,14,0,0,0,0,0,0,0,0,0,7,3,3,0,6,9,8,4,13,0,51,0,0,0,0,0,0,0,3,0,0,3,8,4,10,6,20,7,19,0,63,0,0,0,0,0,4,4,3,0,7,0,9,4,6,3,4,3,6,0,44,0,11,3,3,0,0,0,3,0,22,0,0,0,4,4,3,3,4,0,23,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,6,3,3,0,0,0,8,3,0,0,18,0,3,4,0,4,0,0,0,0,19,0,0,0,7,14,8,3,3,0,38,3,3,10,7,12,3,3,7,0,45,3,6,12,15,6,3,3,3,0,57,0,7,0,3,3,0,0,0,0,10
SSC40471,0,4,3,3,3,0,0,0,7,19,45,185,166,261,230,108,64,71,17,1160,9,3,3,3,14,12,3,7,3,52,3,0,0,0,0,5,0,11,0,24,4,11,10,21,54,55,41,22,5,223,0,0,3,0,6,4,3,6,0,24,5,10,14,28,36,55,35,38,3,218,3,0,3,3,16,17,10,13,0,63,9,58,46,55,36,25,25,36,3,283,4,60,25,25,15,3,7,8,0,150,0,8,5,12,13,18,15,34,0,92,0,3,0,4,6,4,3,3,0,26,3,5,4,8,15,16,9,8,0,59,0,3,0,3,11,7,12,3,0,39,0,8,4,14,22,7,6,12,0,72,0,12,11,18,17,10,7,7,3,85,7,5,10,21,61,49,19,8,0,177,13,25,34,44,54,26,20,43,0,263,16,37,52,94,76,24,19,15,3,339,0,12,6,3,5,0,0,0,0,27
SSC40472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40473,0,0,0,0,0,0,0,0,0,3,0,8,8,6,0,3,0,3,0,31,0,4,0,3,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SSC40474,0,0,0,0,3,0,0,0,3,8,20,87,89,95,107,61,39,35,8,547,3,0,6,10,9,7,0,7,0,34,0,0,0,0,0,0,0,3,0,8,0,10,9,9,28,22,10,7,0,105,0,0,0,0,0,3,4,0,0,8,3,3,5,8,29,20,6,28,0,102,0,3,0,3,10,4,0,3,0,19,3,27,18,24,24,8,10,10,3,133,0,25,7,14,4,3,3,3,0,70,3,4,4,9,8,13,5,12,0,54,0,0,0,3,0,0,0,3,0,6,0,0,6,0,3,3,4,0,0,18,0,3,0,0,3,3,7,8,0,23,0,5,0,5,10,14,0,13,0,45,0,5,10,9,10,3,3,7,3,48,0,5,6,5,34,23,9,11,0,94,3,9,14,5,21,19,15,14,0,99,0,12,22,33,35,18,5,4,0,132,3,0,3,3,0,0,0,0,0,10
SSC40475,0,0,0,0,3,0,0,0,0,7,3,37,18,28,45,18,6,5,0,164,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,12,3,4,0,33,0,0,0,0,0,0,0,0,0,3,0,4,0,3,4,3,3,4,0,27,0,0,0,0,8,3,0,6,0,17,0,5,8,10,9,5,7,5,0,51,0,12,0,7,3,5,0,0,0,28,0,0,0,0,0,3,7,0,0,7,0,3,0,3,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,9,0,0,0,4,6,0,3,0,0,17,0,0,0,0,9,0,3,0,0,20,3,3,0,8,3,0,0,0,0,23,3,7,5,10,12,3,3,4,0,43,0,3,0,0,0,0,0,0,0,3
SSC40476,0,0,0,0,0,0,0,0,0,0,3,4,4,0,3,0,5,3,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3
SSC40477,0,0,0,0,0,0,0,0,0,0,0,9,4,3,0,6,3,4,0,29,0,3,0,3,3,6,3,7,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
SSC40478,0,0,0,3,0,0,0,0,0,3,5,16,23,17,24,13,8,4,3,103,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,5,3,0,0,29,0,0,0,0,3,0,0,0,0,4,0,0,0,5,3,3,0,0,0,14,0,0,0,0,0,0,3,0,0,3,3,4,0,5,8,3,4,4,0,29,0,10,0,3,0,0,3,3,0,20,0,0,0,3,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,5,0,4,0,0,3,0,13,5,0,0,0,9,0,0,0,0,16,0,0,0,0,7,0,0,0,0,6,3,4,12,5,6,3,0,3,0,31,0,0,0,0,0,0,0,0,0,3
SSC40479,0,0,0,0,0,0,0,0,0,0,4,4,3,6,0,3,0,3,0,25,0,4,0,0,0,4,4,15,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SSC40480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40481,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40482,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,9,0,0,0,3,0,3,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,12,0,0,0,0,0,0,3,5,0,8,9,3,0,0,4,0,3,47,4,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40486,0,0,0,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40487,0,0,0,0,0,0,0,4,0,4,17,70,44,32,61,43,31,38,4,341,3,0,0,0,0,0,0,0,0,8,3,0,0,0,4,0,0,0,0,10,0,12,3,3,6,5,6,7,0,35,0,0,0,0,0,0,7,0,0,14,0,0,3,0,5,6,3,6,0,34,0,0,3,0,3,3,6,7,0,20,3,17,4,3,3,5,0,5,0,40,0,21,7,4,3,3,6,9,0,54,0,3,0,4,3,0,5,10,0,22,0,3,3,0,4,3,0,0,0,13,0,3,0,0,0,10,5,3,0,27,0,3,0,3,0,3,0,0,0,13,3,11,4,18,9,18,9,16,0,88,0,6,3,4,7,3,0,0,0,18,0,0,3,7,6,10,9,4,0,43,3,19,18,7,15,12,6,22,0,90,4,13,14,21,29,13,9,20,0,122,0,7,3,0,5,3,0,0,0,17
SSC40488,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40489,0,0,0,0,0,0,0,0,0,0,0,5,9,4,0,4,4,0,0,26,0,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
