SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC41127,0,15,25,7,8,51,3,50
SSC41128,0,3,10,0,3,19,0,19
SSC41129,0,3,6,6,5,24,0,21
SSC41130,83,284,179,71,21,641,45,685
SSC41131,55,247,153,29,12,497,14,514
SSC41132,0,0,9,6,3,22,0,20
SSC41133,0,3,3,3,3,11,0,11
SSC41134,0,0,5,0,4,12,0,13
SSC41135,0,3,5,8,6,22,0,22
SSC41136,0,7,11,5,3,30,0,31
SSC41137,3,19,56,26,12,122,0,128
SSC41138,0,0,4,6,0,7,0,7
SSC41139,0,3,10,5,4,18,0,19
SSC41140,0,3,3,3,0,10,3,12
SSC41141,0,0,3,0,0,3,0,3
SSC41142,0,0,0,0,0,0,0,0
SSC41143,0,4,4,7,7,21,0,21
SSC41144,0,15,18,7,4,38,0,37
SSC41145,0,12,12,8,9,36,0,36
SSC41146,0,0,3,7,5,21,0,21
SSC41147,0,0,6,8,11,24,0,24
SSC41148,0,10,18,5,0,31,0,33
SSC41149,15,71,99,55,28,262,21,281
SSC41150,18,17,7,0,0,37,0,38
SSC41151,0,0,4,6,3,11,0,11
SSC41152,0,3,4,6,8,14,0,14
SSC41153,211,907,581,148,80,1934,54,1992
SSC41154,167,516,464,131,39,1318,49,1365
SSC41155,0,4,3,5,0,11,0,11
SSC41156,0,4,0,0,0,7,0,9
SSC41157,0,14,7,0,9,35,0,36
SSC41158,10,10,6,0,0,30,4,33
SSC41159,0,0,0,0,4,7,0,7
SSC41160,0,4,7,6,3,26,0,26
SSC41161,3,50,56,15,11,133,3,135
SSC41162,0,0,0,0,0,0,0,0
SSC41163,0,0,5,3,3,15,0,15
SSC41164,0,3,7,0,0,14,0,9
SSC41165,0,6,9,10,0,22,0,22
SSC41166,0,3,13,3,5,27,0,27
SSC41167,0,3,11,8,0,18,0,23
SSC41168,0,3,9,3,3,20,3,19
SSC41169,0,0,0,3,0,4,0,4
SSC41170,0,13,26,16,9,56,0,58
SSC41171,218,1057,954,280,138,2649,82,2732
SSC41172,0,0,0,0,0,4,0,4
SSC41173,114,245,141,22,14,539,23,565
SSC41174,0,0,0,0,0,0,0,0
SSC41175,327,1060,740,232,83,2439,119,2562
SSC41176,118,574,523,191,68,1466,58,1527
SSC41177,0,0,4,0,0,9,0,9
SSC41178,34,194,194,55,31,507,22,529
SSC41179,0,0,0,0,0,0,0,0
SSC41180,43,403,300,70,36,847,35,884
SSC41181,3,0,5,8,10,29,0,28
SSC41182,6,62,58,21,12,162,8,174
SSC41183,0,3,4,0,0,4,0,4
SSC41184,3,78,99,35,14,222,4,227
SSC41185,0,4,7,3,5,26,0,26
SSC41186,0,10,14,4,0,27,0,27
SSC41187,390,1919,2039,598,232,5181,207,5388
SSC41188,8,85,111,55,29,290,15,306
SSC41189,3,43,30,19,3,99,0,102
SSC41190,0,9,13,3,0,29,3,33
SSC41191,3,29,38,14,3,97,3,96
SSC41192,82,448,411,135,41,1119,34,1146
SSC41193,29,312,465,129,61,1005,34,1042
SSC41194,0,6,7,10,0,19,3,22
SSC41195,11,14,3,3,0,37,3,41
SSC41196,123,592,510,184,93,1499,57,1555
SSC41197,194,484,285,75,31,1071,50,1118
SSC41198,0,10,6,3,3,25,0,25
SSC41199,3,56,51,28,5,148,9,153
SSC41200,9,94,85,27,13,227,3,237
SSC41201,12,87,89,26,19,236,18,259
SSC41202,28,256,243,72,45,639,18,653
SSC41203,0,0,0,0,0,0,0,0
SSC41204,0,33,28,4,10,79,4,83
SSC41205,0,0,0,0,0,3,0,3
SSC41206,410,1757,1843,528,255,4798,125,4922
SSC41207,0,5,17,20,11,56,0,56
SSC41208,51,39,7,0,0,105,0,107
SSC41209,0,0,0,4,0,5,0,5
SSC41210,0,4,8,3,7,19,0,19
SSC41211,0,7,5,3,0,12,0,15
SSC41212,0,0,0,0,0,0,0,0
SSC41213,0,5,5,3,3,20,0,17
SSC41214,0,3,28,14,6,52,0,52
SSC41215,0,0,9,4,0,9,0,9
SSC41216,3,3,6,7,4,27,0,28
SSC41217,4,0,10,0,3,25,5,26
SSC41218,126,386,227,60,25,826,32,857
SSC41219,0,0,0,0,0,0,0,0
SSC41220,27,175,187,76,47,509,20,532
SSC41221,0,3,8,3,0,18,0,18
SSC41222,0,7,33,7,5,55,5,60
SSC41223,0,8,22,11,7,43,3,47
SSC41224,0,3,0,6,7,21,0,26
SSC41225,0,6,0,0,3,8,3,9
SSC41226,0,4,11,4,15,35,0,40
SSC41227,0,16,22,15,13,70,0,68
SSC41228,0,28,17,12,6,61,0,67
SSC41229,45,549,890,307,132,1916,40,1959
SSC41230,0,5,6,10,6,37,0,35
SSC41231,0,8,15,10,14,52,0,52
SSC41232,0,0,0,0,0,0,0,0
SSC41233,0,27,71,29,7,131,4,138
SSC41234,0,17,29,19,12,81,0,79
SSC41235,154,782,612,161,68,1785,97,1879
SSC41236,4,60,95,39,36,229,6,233
SSC41237,4,22,60,30,14,127,5,132
SSC41238,8,96,178,102,58,435,20,453
SSC41239,122,291,184,61,16,676,25,699
SSC41240,76,726,724,249,94,1876,40,1911
SSC41241,51,307,295,100,44,798,22,827
SSC41242,0,20,24,7,5,57,0,61
SSC41243,123,624,442,104,49,1338,48,1390
SSC41244,112,705,567,171,69,1626,31,1654
SSC41245,69,201,132,41,9,461,25,483
SSC41246,174,647,459,159,72,1510,75,1580
SSC41247,51,291,315,88,79,817,23,843
SSC41248,5,62,102,80,37,285,10,297
SSC41249,0,3,3,3,0,10,0,10
SSC41250,22,169,130,50,36,403,27,430
SSC41251,14,154,171,61,21,423,15,436
SSC41252,4,39,37,18,10,112,3,111
SSC41253,0,0,0,0,3,4,0,4
SSC41254,0,22,31,22,12,81,3,87
SSC41255,0,10,20,16,3,54,0,52
SSC41256,0,12,16,10,3,35,0,38
SSC41257,0,0,3,0,6,6,0,6
SSC41258,0,0,0,0,0,0,0,0
SSC41259,0,3,3,0,0,14,0,14
SSC41260,41,177,196,60,24,503,4,507
SSC41261,0,10,18,14,11,59,4,60
SSC41262,3,20,31,8,4,59,0,55
SSC41263,186,548,419,122,54,1330,48,1373
SSC41264,3,49,118,63,64,297,17,314
SSC41265,28,172,224,77,45,544,10,554
SSC41266,176,1036,1105,323,138,2772,86,2861
SSC41267,0,10,21,10,12,49,0,51
SSC41268,26,315,568,162,73,1150,32,1177
SSC41269,146,475,410,110,50,1196,41,1236
SSC41270,25,153,188,58,19,448,6,453
SSC41271,0,3,12,9,6,29,0,31
SSC41272,8,3,3,0,0,15,0,15
SSC41273,3,80,58,23,25,191,8,200
SSC41274,0,0,3,0,0,3,0,3
SSC41275,452,1445,778,219,119,3014,161,3171
SSC41276,211,807,712,237,118,2084,93,2179
SSC41277,290,1435,1152,343,151,3376,111,3489
SSC41278,26,434,760,326,187,1736,28,1766
SSC41279,422,1476,1122,359,112,3484,149,3636
SSC41280,48,355,293,94,43,836,23,858
SSC41281,46,182,150,46,28,445,21,466
SSC41282,10,0,0,0,0,10,3,15
SSC41283,0,3,5,0,0,7,3,11
SSC41284,0,0,8,3,3,19,0,19
SSC41285,0,0,0,0,0,5,0,5
SSC41286,3,5,17,8,10,41,0,41
SSC41287,0,5,4,3,7,18,0,21
SSC41288,0,6,3,13,10,31,0,31
SSC41289,0,8,13,6,0,30,5,31
SSC41290,0,3,13,4,14,30,0,34
SSC41291,0,4,8,0,0,14,0,14
SSC41292,0,16,22,24,21,82,8,94
SSC41293,0,4,12,13,7,33,0,34
SSC41294,0,6,4,0,0,13,0,13
SSC41295,0,9,4,7,0,17,0,17
SSC41296,0,0,0,0,0,0,0,0
SSC41297,0,16,33,12,12,70,3,78
SSC41298,44,302,324,84,22,770,16,785
SSC41299,42,328,407,121,51,954,28,983
SSC41300,145,580,378,82,24,1207,46,1254
SSC41301,21,166,245,70,32,530,17,546
SSC41302,93,728,587,169,72,1650,57,1699
SSC41303,0,4,12,3,0,21,0,21
SSC41304,54,489,639,108,46,1335,22,1355
SSC41305,135,765,854,268,110,2128,74,2204
SSC41306,0,0,0,0,0,0,0,0
SSC41307,465,1713,1340,399,162,4078,153,4230
SSC41308,34,288,440,162,54,977,26,1000
SSC41309,0,5,3,3,4,19,0,19
SSC41310,0,30,30,8,3,78,0,76
SSC41311,4,16,29,15,7,78,0,80
SSC41312,0,8,14,7,3,34,0,34
SSC41313,61,170,174,47,11,468,10,481
SSC41314,27,319,391,147,59,939,31,968
SSC41315,0,8,54,25,20,106,4,117
SSC41316,91,414,392,115,45,1047,29,1075
SSC41317,214,755,570,165,77,1779,71,1847
SSC41318,28,182,146,42,19,409,10,418
SSC41319,0,0,11,12,10,34,0,33
SSC41320,0,7,23,7,11,48,0,48
SSC41321,0,6,18,8,3,41,0,43
SSC41322,4,3,7,0,0,14,0,14
SSC41323,0,8,15,14,11,48,0,48
SSC41324,0,3,8,3,0,12,0,12
SSC41325,24,559,1134,331,178,2221,38,2258
SSC41326,0,0,3,0,4,10,0,12
SSC41327,0,3,7,7,9,25,0,27
SSC41328,0,5,12,3,8,26,0,26
SSC41329,0,3,0,0,0,3,0,3
SSC41330,0,3,3,0,0,11,0,11
SSC41331,0,23,49,19,9,100,5,105
SSC41332,0,7,5,7,5,19,3,20
SSC41333,145,352,254,56,26,832,41,877
SSC41334,139,415,280,91,18,940,53,989
SSC41335,6,21,43,13,12,97,9,104
SSC41336,3,84,64,29,8,197,10,204
SSC41337,0,0,3,5,11,22,0,22
SSC41338,61,203,123,39,10,425,23,451
SSC41339,216,829,799,232,115,2196,83,2275
SSC41340,74,436,358,108,28,1006,31,1039
SSC41341,0,3,3,0,3,11,0,11
SSC41342,0,6,7,3,3,22,0,26
SSC41343,175,776,597,151,42,1743,51,1789
SSC41344,0,23,46,25,10,106,4,109
SSC41345,9,29,44,18,11,114,3,119
SSC41346,0,0,0,0,0,0,0,0
SSC41347,0,5,4,5,5,22,0,22
SSC41348,0,13,17,7,4,40,0,40
SSC41349,0,3,9,3,7,20,0,20
SSC41350,0,42,73,34,31,184,3,188
SSC41351,3,59,119,37,31,255,3,259
SSC41352,0,0,3,3,5,8,0,8
SSC41353,60,544,624,226,86,1542,28,1572
SSC41354,39,303,268,49,22,677,14,692
SSC41355,14,171,282,69,30,563,12,577
SSC41356,0,4,3,3,0,10,0,13
SSC41357,0,0,0,0,0,5,0,5
SSC41358,3,23,11,3,0,44,0,45
SSC41359,0,0,8,3,3,17,0,17
SSC41360,103,444,372,94,39,1055,29,1080
SSC41361,64,254,208,52,19,597,8,606
SSC41362,66,393,486,147,79,1171,17,1187
SSC41363,0,0,8,3,4,13,0,13
SSC41364,0,22,77,20,19,137,9,139
SSC41365,11,88,109,29,23,256,4,261
SSC41366,0,3,0,5,5,15,0,15
SSC41367,0,0,8,0,0,7,0,7
SSC41368,0,0,0,0,0,0,0,0
SSC41369,48,161,124,27,16,374,13,385
SSC41370,0,3,10,7,3,25,0,25
SSC41371,46,340,491,124,86,1084,28,1106
SSC41372,16,195,322,130,78,740,32,766
SSC41373,7,26,32,16,18,100,0,104
SSC41374,3,24,80,24,12,149,6,153
SSC41375,0,0,3,3,3,8,0,8
SSC41376,0,0,0,0,0,6,0,6
SSC41377,0,0,11,5,0,17,0,17
SSC41378,0,5,4,0,0,15,0,11
SSC41379,0,3,17,6,9,39,6,42
SSC41380,4,92,203,62,33,399,7,405
SSC41381,0,0,5,0,0,5,0,5
SSC41382,90,798,990,348,180,2407,80,2489
SSC41383,14,168,213,71,30,495,27,521
SSC41384,0,0,4,3,3,15,0,14
SSC41385,0,0,0,0,0,7,0,7
SSC41386,0,0,0,0,0,0,0,0
SSC41387,0,0,0,0,0,0,0,0
SSC41388,126,457,318,90,28,1012,43,1057
SSC41389,0,11,4,0,0,15,0,15
SSC41390,3,42,102,43,33,219,7,228
