SSC_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC40998,0,3,4,0,0,0,7,3,0,19,0,0,8,4,4,0,0,0,0,17,0,0,3,0,3,0,3,5,0,18,0,0,3,0,0,0,0,0,0,5,0,0,0,4,3,0,0,0,0,15,0,3,0,3,0,0,3,0,0,9,0,0,0,0,0,0,3,5,0,9,0,3,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,14,21,13,15,10,12,12,0,100
SSC40999,3,3,0,3,0,0,5,7,0,16,0,0,3,0,3,0,0,0,0,9,0,3,0,0,3,3,0,4,0,14,0,0,3,7,4,0,0,0,0,19,0,0,4,3,3,4,0,0,0,15,0,3,0,0,3,0,0,0,0,12,3,3,0,0,3,10,3,10,0,34,3,4,5,0,14,9,0,7,0,54,0,0,0,0,0,0,0,0,3,3,9,16,18,19,37,27,11,25,3,170
SSC41000,0,3,0,3,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,0,3,3,0,0,12,0,32
SSC41001,0,0,0,0,0,7,4,5,0,19,4,0,7,5,9,7,6,9,0,41,0,0,4,3,5,8,10,6,0,35,5,0,9,11,3,0,0,0,0,30,3,0,3,8,9,3,3,0,0,30,0,3,5,0,3,3,0,0,0,16,3,4,4,0,0,5,18,12,0,42,0,13,0,4,0,4,0,3,0,32,0,0,0,0,0,0,0,0,0,0,12,27,34,40,25,34,40,36,4,251
SSC41002,11,23,19,21,70,80,50,97,17,386,17,24,20,56,45,40,34,81,3,325,18,29,16,24,108,113,59,58,8,431,8,29,48,69,25,17,12,9,4,233,7,49,32,53,60,30,26,24,0,277,15,78,43,49,31,43,20,25,7,319,8,7,11,14,38,34,27,26,7,169,21,99,47,86,255,113,47,39,8,727,0,3,0,8,3,4,0,0,10,33,117,346,248,374,637,475,277,352,64,2894
SSC41003,0,0,0,0,0,0,0,15,0,21,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,7,0,20,0,34
SSC41004,0,3,0,3,4,3,0,7,0,15,3,3,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,8,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,12,5,10,7,4,6,12,0,62
SSC41005,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,10
SSC41006,0,0,0,0,0,0,7,4,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,3,3,3,3,0,6,4,5,5,5,8,41
SSC41007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,10
