SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC41459,46,1679,658,250,1624,0.7,1270,2
SSC41460,55,1200,560,185,1227,0.7,863,2
SSC41461,47,1300,514,238,1375,0.8,1125,2.3
SSC41462,44,0,774,0,1874,1,1625,3
SSC41463,44,1950,893,310,2536,0.9,1958,2.6
SSC41464,38,1517,658,245,1581,0.8,1366,2.8
SSC41465,46,0,687,0,0,0.3,1087,0
SSC41466,38,0,824,20,0,0,1125,1.6
SSC41467,0,0,0,0,0,0,0,0
SSC41468,48,1582,644,448,1974,0.8,1906,2.8
SSC41469,0,0,0,0,0,0,0,0
SSC41470,30,0,825,0,1625,1,1624,3
SSC41471,43,2167,900,0,2124,1,1562,1.5
SSC41472,36,1733,658,285,1621,0.8,1277,2.4
SSC41473,32,470,515,90,1194,0.9,1089,2.9
SSC41474,39,2167,816,320,2339,0.8,1627,2.3
SSC41475,44,2340,1033,340,3424,0.8,2540,2.6
SSC41476,0,0,0,0,0,0,0,0
SSC41477,50,2019,623,265,1593,0.7,1478,2.7
SSC41478,43,1733,797,320,2101,0.8,1818,2.7
SSC41479,44,1833,719,330,2059,0.8,1653,2.6
SSC41480,47,0,725,0,1687,0.6,1625,3.1
SSC41481,47,2000,783,413,2369,0.8,1795,2.6
SSC41482,51,0,762,0,0,0,0,0
SSC41483,44,2000,673,353,1917,0.8,1475,2.5
SSC41484,40,1500,555,305,1389,0.8,1208,2.5
SSC41485,28,0,687,0,0,0,0,0
SSC41486,60,0,514,200,1125,0.7,900,1.6
SSC41487,48,1500,687,220,2100,0.8,1609,2.5
SSC41488,32,0,866,0,1666,0.9,1874,2.7
SSC41489,57,1207,482,240,1042,0.7,765,2
SSC41490,47,2239,747,110,2100,0.8,1875,2.7
SSC41491,39,1781,525,250,1537,0.9,1195,2.7
SSC41492,44,1625,692,315,1666,0.7,1448,2.5
SSC41493,41,958,640,100,1292,0.9,1024,2.1
SSC41494,47,0,850,0,2124,0.7,1375,1.8
SSC41495,49,953,504,170,1159,0.7,869,2.2
SSC41496,53,1925,577,160,1449,0.7,1125,2.1
SSC41497,61,758,477,165,1041,0.6,820,1.5
SSC41498,45,2000,817,338,2314,0.8,1642,2.2
SSC41499,40,1733,602,350,1834,0.8,1487,2.7
SSC41500,44,834,735,130,1625,0.7,1375,2.8
SSC41501,28,0,899,0,0,0,725,1
SSC41502,53,1192,455,220,995,0.7,791,2.1
SSC41503,44,1083,431,200,1011,0.8,911,2.4
SSC41504,36,2167,900,200,2249,0.9,1187,2.6
SSC41505,0,0,0,0,0,0,0,0
SSC41506,57,0,762,0,0,0,0,2
SSC41507,53,0,550,90,1333,0.7,1125,2
SSC41508,28,0,374,0,0,0,0,0
SSC41509,55,779,630,0,1312,0.7,875,2.2
