SSC_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC40417,3,0,0,7,4,11,37,30,24,117,0,0,0,0,3,0,0,0,0,4,12,3,18,16,13,18,26,16,15,136,70,152,330,249,276,244,205,137,62,1730
SSC40418,0,3,0,3,3,7,17,11,0,41,0,0,3,0,0,0,0,0,0,5,3,14,24,10,8,12,4,13,4,86,49,188,374,189,177,192,103,51,15,1338
SSC40419,0,0,0,3,3,19,38,55,31,150,0,0,0,0,0,0,3,0,0,7,13,3,22,15,23,24,17,40,36,194,130,234,465,522,567,505,365,284,118,3187
SSC40420,0,0,0,0,0,0,7,3,0,11,0,0,0,0,0,0,0,0,0,0,8,0,0,15,12,8,7,0,0,49,16,12,49,55,60,41,29,3,0,258
SSC40421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,7,12,5,7,0,0,29
SSC40422,0,0,0,0,0,7,6,9,19,40,0,0,0,0,0,0,0,0,0,4,0,3,12,12,5,4,3,8,11,69,32,61,194,155,104,114,76,73,83,889
SSC40423,0,3,0,0,0,5,6,12,9,35,0,0,0,0,0,0,0,0,0,6,3,3,5,5,10,3,15,7,0,55,25,62,122,135,184,186,92,44,20,863
SSC40424,0,0,0,0,3,13,21,18,13,68,0,0,0,3,3,0,0,0,0,4,9,9,17,28,12,21,26,20,0,140,96,208,407,513,479,447,447,166,32,2794
SSC40425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9
SSC40426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,5,4,6,0,0,0,30
SSC40427,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,4,0,21,0,13,21,31,36,54,20,11,0,177
SSC40428,0,0,9,0,3,9,58,89,92,260,0,0,0,0,5,5,5,11,7,30,3,8,5,19,8,17,25,28,18,143,38,137,297,277,259,275,273,233,153,1936
SSC40429,3,0,8,29,28,63,73,66,32,298,0,3,12,18,28,35,31,27,11,155,21,22,35,38,49,34,34,32,12,270,127,315,607,602,543,466,307,190,67,3221
SSC40430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,13,0,0,3,14,10,12,7,8,0,58
SSC40431,0,3,14,19,29,39,112,194,107,509,0,3,3,11,3,11,19,39,13,112,18,32,44,55,54,52,62,56,34,403,156,385,1026,839,834,602,478,462,232,5017
SSC40432,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,15,3,8,22,44,36,55,45,13,3,234
SSC40433,0,0,0,0,8,8,22,39,27,105,0,0,0,0,0,0,4,3,7,15,0,0,9,3,7,4,4,6,0,40,42,123,226,197,187,127,112,96,57,1177
SSC40434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,6,12,9,0,0,43
SSC40435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,6,4,14,8,13,0,0,52
SSC40436,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,20,0,3,6,6,17,34,42,18,3,133
SSC40437,0,0,0,0,0,0,0,11,3,16,0,0,0,0,0,0,0,3,0,3,4,5,7,5,9,10,7,0,0,50,27,62,102,79,98,134,84,45,20,641
SSC40438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC40439,0,0,3,3,9,14,57,42,38,161,0,0,0,0,0,3,9,3,0,14,14,18,32,67,77,55,57,30,8,362,265,588,942,1325,1520,1433,1182,355,158,7766
SSC40440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,9,7,3,14,20,25,26,19,6,0,124
SSC40441,0,0,0,0,0,4,7,0,0,11,0,0,0,0,0,0,0,0,0,0,4,3,0,3,9,5,5,0,0,25,10,11,5,37,48,41,38,9,0,192
SSC40442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40443,0,0,8,4,19,26,95,112,60,312,0,0,5,3,6,4,10,22,3,52,7,13,32,15,26,15,22,23,16,176,117,279,652,662,685,492,438,337,146,3814
SSC40444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,10,6,0,0,35,8,4,9,12,8,28,17,0,0,89
SSC40445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,14
SSC40446,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,7,13,24,3,3,0,56
SSC40447,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,15,3,6,24,20,41,43,27,14,3,180
SSC40448,0,0,0,0,0,4,12,16,6,41,0,0,0,0,0,4,0,3,0,7,5,4,14,6,12,15,8,7,3,79,38,98,236,230,183,183,84,49,18,1108
SSC40449,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,3,0,0,21,7,26,43,35,80,66,53,13,5,316
SSC40450,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,10
SSC40451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,3,17,7,3,0,41
SSC40452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11
SSC40453,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,0,0,6,0,13,8,14,0,0,45
SSC40454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8,3,8,0,0,37
SSC40455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC40456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,4,16,13,6,15,6,4,0,63
SSC40457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,17
SSC40459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
SSC40460,0,0,4,3,3,14,25,19,25,94,0,0,0,0,0,0,0,0,0,4,12,8,13,15,19,9,15,6,11,111,61,130,308,295,294,270,147,55,44,1612
SSC40461,0,0,0,0,0,4,5,0,3,15,0,0,0,0,0,0,0,0,0,3,0,3,4,8,9,3,9,0,0,44,16,47,115,144,143,84,74,18,4,654
SSC40462,0,0,3,4,3,4,26,60,64,157,0,0,0,0,0,3,0,0,3,7,5,5,8,17,25,22,18,17,25,142,76,122,253,294,385,364,227,260,185,2159
SSC40463,0,0,3,9,11,40,154,186,50,453,0,0,0,3,5,6,17,25,13,70,12,20,33,26,43,29,44,70,17,306,159,381,640,726,976,685,780,546,152,5049
SSC40464,0,0,3,0,3,12,23,48,37,134,0,0,0,0,4,0,7,0,0,16,10,5,19,13,35,31,34,43,58,253,95,247,458,510,556,495,470,334,291,3460
SSC40465,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,5,8,11,10,14,28,11,3,0,100
SSC40466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10
SSC40467,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,9
SSC40468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC40469,0,0,0,0,0,8,16,13,14,48,0,0,0,0,0,0,0,0,0,0,0,0,3,11,10,8,19,13,8,76,11,32,56,49,78,105,111,73,40,551
SSC40470,0,0,0,0,0,0,9,7,0,23,0,0,0,0,0,0,0,0,0,0,7,3,0,13,24,16,9,4,0,90,35,57,46,133,190,123,64,31,5,688
SSC40471,0,0,3,9,12,19,73,68,66,245,0,0,0,0,0,0,0,0,3,7,20,14,37,37,55,66,46,46,27,352,160,344,537,561,777,775,567,359,228,4316
SSC40472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40473,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,9,0,4,14,20,12,12,16,7,0,92
SSC40474,0,0,0,8,10,9,33,39,22,124,0,0,0,0,0,0,0,0,0,3,5,14,15,13,37,32,27,23,10,178,77,209,265,264,399,348,241,168,62,2040
SSC40475,0,0,0,0,8,9,20,25,5,69,0,0,0,0,0,0,0,3,0,8,3,9,10,7,21,19,13,8,3,99,28,62,124,94,137,148,98,47,21,763
SSC40476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,8,22,25,8,0,0,67
SSC40477,0,0,0,0,0,0,7,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,16,3,6,5,21,27,33,31,12,0,133
SSC40478,0,3,0,3,9,5,15,9,0,43,0,0,4,0,0,3,0,0,0,15,4,3,11,5,4,4,9,3,0,37,25,39,86,85,78,52,98,40,9,510
SSC40479,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,3,11,4,16,23,14,7,0,87
SSC40480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,7
SSC40481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,12,8,0,4,0,0,26
SSC40482,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,10,7,0,5,0,33
SSC40483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,7
SSC40484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,9
SSC40485,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,3,16,3,3,0,0,0,39,3,13,37,63,33,23,3,0,0,171
SSC40486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,4,5,0,0,28
SSC40487,0,0,3,0,4,6,9,9,3,33,0,0,3,3,4,0,0,0,0,8,0,7,10,22,22,22,9,9,7,98,36,125,188,182,203,223,157,93,23,1238
SSC40488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,3,0,0,12,0,0,0,20
SSC40489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,3,15,11,23,9,4,0,72
SSC40490,4,3,6,17,15,27,48,27,26,177,0,0,5,7,8,9,6,3,0,42,11,11,28,40,30,37,38,13,17,217,105,235,549,558,438,376,343,142,71,2822
SSC40491,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,11,8,19,17,8,0,0,72
SSC40492,0,0,0,0,0,3,24,10,0,41,0,0,0,0,0,0,0,0,0,3,3,5,10,4,4,12,14,4,3,54,16,34,68,61,104,123,129,48,9,591
SSC40493,3,0,8,0,0,11,21,18,15,73,0,0,0,0,6,3,0,3,0,15,3,9,36,22,22,18,14,15,4,144,84,249,428,422,423,390,228,96,53,2360
SSC40494,0,0,0,0,3,7,10,3,3,32,0,0,0,0,0,0,6,0,0,5,0,5,3,6,11,0,9,3,0,36,14,27,74,111,111,91,93,35,6,567
SSC40495,4,0,0,0,0,0,9,8,8,32,0,0,0,0,0,4,0,0,0,6,8,8,7,11,16,12,14,16,51,147,63,104,143,216,240,258,224,121,109,1483
SSC40496,0,0,0,0,0,0,0,3,4,14,0,0,0,0,0,0,0,0,0,0,3,3,0,10,9,8,11,14,3,65,44,92,162,284,259,227,249,167,34,1513
SSC40497,0,0,0,0,0,0,13,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,4,3,0,22,6,4,32,37,66,53,48,15,0,277
SSC40498,0,0,0,0,3,8,12,10,3,33,0,0,0,0,0,0,0,0,0,0,5,4,0,9,7,7,0,3,0,32,19,35,55,83,115,103,57,21,5,485
SSC40499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40500,0,0,4,0,3,8,26,32,28,97,0,0,0,0,0,0,0,3,0,5,9,14,47,42,47,66,52,40,19,343,71,189,490,405,369,547,501,273,166,3013
SSC40501,0,0,3,0,3,7,11,29,18,74,0,0,0,0,0,3,0,0,3,11,3,10,39,31,13,30,18,29,19,194,80,239,510,510,505,563,349,198,99,3066
