SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC40063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,5,0,0,5,0,28
SSC40065,3,3,3,0,8,3,5,6,0,37,3,3,3,3,0,3,3,3,0,18,35,119,87,112,121,122,98,119,3,819
SSC40066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SSC40067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,6,3,4,14,3,43
SSC40068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,10,0,25
SSC40069,0,4,10,8,18,20,0,9,0,78,5,8,3,3,8,3,3,5,8,46,53,179,169,200,340,244,160,179,17,1541
SSC40070,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,11,6,14,13,3,14,0,69
SSC40071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,0,14
SSC40072,3,12,3,3,16,3,0,4,0,45,3,8,0,7,7,7,0,6,3,35,39,130,108,159,217,190,89,139,16,1081
SSC40073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,5,7,0,36
SSC40076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,3,3,3,9,3,6,0,33
SSC40077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,4,0,14
SSC40078,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,0,0,3,0,9,12,25,12,32,22,18,25,23,0,165
SSC40079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,3,0,19
SSC40080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,5,0,0,3,0,20
SSC40081,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,35,61,19,29,23,35,18,49,6,271
SSC40082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8
SSC40083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,12,0,3,5,0,25
SSC40084,0,7,9,4,8,9,0,7,0,38,0,5,6,8,0,6,3,7,7,36,28,191,141,143,174,183,129,219,11,1223
SSC40085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40086,0,8,4,0,5,3,4,0,0,27,0,4,3,0,0,3,0,4,6,21,30,161,96,79,82,76,38,38,24,622
SSC40087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,4,4,3,8,0,35
SSC40088,4,17,7,9,4,11,9,11,0,66,3,5,7,7,3,9,4,11,8,64,93,306,223,274,359,352,213,301,22,2154
SSC40089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,4,3,14,0,35
SSC40090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,3,3,14,0,33
SSC40091,0,13,4,0,5,5,7,4,0,42,0,9,5,3,4,6,0,3,8,32,41,182,123,127,199,164,94,147,14,1075
SSC40092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC40093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
SSC40094,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,4,8,11,14,3,11,0,71
SSC40095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SSC40096,0,12,4,7,8,14,3,12,0,58,3,12,0,8,10,8,0,5,11,54,60,151,122,202,367,241,148,196,25,1507
SSC40097,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,4,13,14,3,10,11,4,23,3,85
SSC40098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,4,14,0,32
SSC40099,0,10,9,10,7,6,0,0,0,40,0,3,0,0,5,3,3,3,8,29,31,116,89,112,142,136,90,137,8,860
SSC40100,0,0,4,5,5,3,0,4,0,28,0,6,4,6,4,6,3,4,13,35,32,74,67,91,191,119,66,67,17,733
SSC40101,0,3,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,3,0,9,5,20,20,15,25,20,10,18,0,137
SSC40102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40103,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,8,8,9,4,12,0,46
SSC40104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,5,10,6,13,0,50
SSC40106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,19
SSC40107,0,3,3,3,8,6,0,8,0,29,0,3,0,3,3,0,0,3,3,19,33,81,68,89,106,117,53,86,12,644
SSC40108,3,4,0,3,3,6,0,0,0,22,3,0,0,3,12,4,0,6,3,44,43,94,81,101,229,161,82,97,14,912
SSC40109,3,8,3,4,7,0,0,3,0,29,0,9,0,5,6,4,3,0,0,32,39,146,93,137,208,144,96,120,8,992
SSC40110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,17
SSC40111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,3,3,0,0,15
SSC40112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,10,0,24
SSC40113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,7,0,29
SSC40114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,3,0,8,3,5,0,27
SSC40115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,14
SSC40116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,3,12,0,8,0,30
