SSC_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SSC40430,13,0,0,0,0,0,0,13
SSC40431,570,55,10,12,0,0,0,645
SSC40432,31,5,0,0,0,0,0,32
SSC40433,152,8,5,0,0,0,0,164
SSC40434,5,0,0,0,0,0,0,5
SSC40435,3,0,0,0,0,0,0,3
SSC40436,3,0,0,0,0,0,0,3
SSC40437,108,0,0,0,0,0,0,112
SSC40438,0,0,0,0,0,0,0,0
SSC40439,1265,109,54,11,0,0,4,1448
SSC40440,22,3,3,0,0,0,0,27
SSC40441,25,0,0,0,0,0,0,31
SSC40442,0,0,0,0,0,0,0,0
SSC40443,575,41,18,3,0,0,0,636
SSC40444,4,0,0,0,0,0,0,4
SSC40445,5,0,0,0,0,0,0,5
SSC40446,11,0,0,0,0,0,0,11
SSC40447,29,0,0,0,0,0,0,28
SSC40448,163,8,3,0,0,0,0,171
SSC40449,50,3,0,0,0,0,0,51
SSC40450,0,0,0,0,0,0,0,0
SSC40451,3,0,0,0,0,0,0,3
SSC40452,0,0,0,0,0,0,0,0
SSC40453,5,0,0,0,0,0,0,5
SSC40454,6,0,0,0,0,0,0,4
SSC40455,0,0,0,0,0,0,0,0
SSC40456,9,0,0,0,0,0,0,11
SSC40457,0,0,0,0,0,0,0,3
SSC40458,3,0,0,0,0,0,0,3
SSC40459,0,0,0,0,0,0,0,0
SSC40460,246,26,20,0,0,0,0,294
SSC40461,104,12,3,0,0,0,0,121
SSC40462,293,28,14,0,0,0,0,335
SSC40463,736,49,11,5,0,0,0,805
SSC40464,401,20,6,4,0,0,3,429
SSC40465,10,0,0,0,0,0,0,10
SSC40466,0,0,0,0,0,0,0,4
SSC40467,0,0,0,0,0,0,0,0
SSC40468,0,0,0,0,0,0,0,0
SSC40469,40,3,0,0,0,0,0,44
SSC40470,114,17,3,0,0,0,0,134
SSC40471,481,60,23,8,0,0,4,576
SSC40472,0,0,0,0,0,0,0,0
SSC40473,14,0,0,0,0,0,0,13
SSC40474,220,23,15,0,0,0,0,258
SSC40475,49,14,4,0,0,0,0,67
SSC40476,12,0,0,0,0,0,0,12
SSC40477,12,0,0,0,0,0,0,14
SSC40478,73,3,5,0,0,0,0,77
SSC40479,4,0,3,0,0,0,0,8
SSC40480,0,0,0,0,0,0,0,0
SSC40481,3,0,0,0,0,0,0,0
SSC40482,3,0,0,0,0,0,0,8
SSC40483,0,0,0,0,0,0,0,0
SSC40484,0,0,0,0,0,0,0,0
SSC40485,0,0,0,0,0,0,0,0
SSC40486,3,0,0,0,0,0,0,4
SSC40487,109,5,5,0,0,0,0,120
SSC40488,3,0,0,0,0,0,0,4
SSC40489,11,0,0,0,0,0,0,11
SSC40490,341,15,14,7,0,0,0,376
SSC40491,8,0,0,0,0,0,0,10
SSC40492,53,3,4,4,0,0,0,68
SSC40493,319,17,6,4,0,0,0,347
SSC40494,58,4,0,3,0,0,0,61
SSC40495,226,20,3,0,0,0,0,251
SSC40496,237,28,7,0,0,0,0,269
SSC40497,42,3,3,0,0,0,0,52
SSC40498,76,12,0,0,0,0,0,84
SSC40499,0,0,0,0,0,0,0,0
SSC40500,154,16,5,0,0,0,3,176
SSC40501,374,25,15,8,0,0,0,419
SSC40502,554,52,12,0,0,0,4,626
SSC40503,171,3,5,0,0,0,0,187
SSC40504,535,47,13,0,0,0,0,602
SSC40505,12,0,0,0,0,0,0,12
SSC40506,217,7,4,0,0,0,0,230
SSC40507,247,13,11,0,0,0,0,266
SSC40508,38,3,7,0,0,0,0,40
SSC40509,97,9,4,3,0,0,0,114
SSC40510,152,10,5,0,0,0,0,161
SSC40511,1188,108,54,9,0,0,6,1361
SSC40512,24,0,0,0,0,0,0,25
SSC40513,10,0,0,0,0,0,0,5
SSC40514,0,0,0,0,0,0,0,0
SSC40515,301,13,9,3,0,0,0,324
SSC40516,103,15,3,0,0,0,0,120
SSC40517,141,14,6,0,0,0,0,164
SSC40518,47,7,8,0,0,0,0,56
SSC40519,36,12,7,0,0,0,0,54
SSC40520,0,0,0,0,0,0,0,0
SSC40521,33,0,0,0,0,0,0,33
SSC40522,3,0,0,0,0,0,0,3
SSC40523,4,0,0,0,0,0,0,4
SSC40524,613,35,15,0,0,0,0,673
SSC40525,22,0,0,0,0,0,0,26
SSC40526,5,0,0,0,0,0,0,9
SSC40527,8,0,0,0,0,0,0,10
SSC40528,287,19,8,3,0,0,0,330
SSC40529,57,10,3,0,0,0,0,72
SSC40530,139,11,10,3,0,0,0,164
SSC40531,3,0,0,0,0,0,0,3
SSC40532,1099,104,46,7,0,0,3,1265
SSC40533,495,30,22,7,3,0,6,566
SSC40534,8,0,0,0,0,0,0,12
SSC40535,0,0,0,0,0,0,0,0
SSC40536,82,10,6,0,0,0,0,99
SSC40537,12,0,3,0,0,0,0,11
SSC40538,296,34,36,0,0,0,8,370
SSC40539,230,23,22,6,0,0,5,294
SSC40540,0,0,0,0,0,0,0,0
SSC40541,25,0,0,0,0,0,0,27
SSC40542,248,24,10,0,0,0,0,280
SSC40543,16,0,3,0,0,0,0,21
SSC40544,14,0,3,0,0,0,0,18
SSC40545,0,0,0,0,0,0,0,0
SSC40546,0,0,0,0,0,0,0,0
SSC40547,14,0,0,0,0,0,0,18
SSC40548,1553,105,62,17,3,4,3,1751
SSC40549,0,0,0,0,0,0,0,0
SSC40550,4,0,0,0,0,0,0,7
SSC40551,0,0,0,0,0,0,0,0
SSC40552,62,9,4,0,0,0,0,72
SSC40553,3,0,0,0,0,0,0,3
SSC40554,11,0,0,0,0,0,0,12
SSC40555,145,10,3,0,0,0,0,157
SSC40556,5,0,0,0,0,0,0,5
SSC40557,4,0,0,0,0,0,0,4
SSC40558,1233,102,70,7,3,0,10,1421
SSC40559,10,0,0,0,0,0,0,7
SSC40560,0,0,0,0,0,0,0,0
SSC40561,48,4,0,0,0,0,0,58
SSC40562,3,0,0,0,0,0,0,5
SSC40563,16,0,4,0,0,0,0,18
SSC40564,3,0,0,0,0,0,0,3
SSC40565,11,0,0,0,0,0,0,14
SSC40566,17,4,0,0,0,0,0,24
SSC40567,13,0,0,0,0,0,0,16
SSC40568,284,10,5,0,0,0,0,301
SSC40569,432,25,17,5,0,0,3,476
SSC40570,4,0,0,0,0,0,0,4
SSC40571,3,0,0,0,0,0,0,5
SSC40572,184,12,19,3,0,0,7,225
SSC40573,257,13,4,0,0,0,0,277
SSC40574,121,12,7,0,0,0,0,138
SSC40575,62,6,0,0,0,0,0,65
SSC40576,399,25,11,3,0,0,0,433
SSC40577,112,6,4,4,0,0,0,126
SSC40578,679,43,17,8,0,0,3,744
SSC40579,297,27,8,0,0,0,0,328
SSC40580,425,33,26,7,0,0,3,494
SSC40581,819,70,24,4,0,0,0,921
SSC40582,201,13,0,6,0,0,0,220
SSC40583,36,4,0,3,0,0,0,42
SSC40584,15,0,0,0,0,0,0,14
SSC40585,517,67,35,5,0,0,3,625
SSC40586,379,21,9,11,0,0,0,419
SSC40587,36,3,0,0,0,0,3,41
SSC40588,7,0,0,0,0,0,0,7
SSC40589,57,6,3,0,0,0,0,69
SSC40590,0,0,0,0,0,0,0,0
SSC40591,12,0,0,0,0,0,0,10
SSC40592,80,10,8,0,0,0,0,98
SSC40593,9,3,0,0,0,0,0,7
SSC40594,52,8,0,0,0,0,0,64
SSC40595,312,31,9,4,0,0,0,356
SSC40596,3,0,0,0,0,0,0,3
SSC40597,0,0,0,0,0,0,0,0
SSC40598,7,0,0,0,0,0,0,7
SSC40599,25,0,0,0,0,0,0,25
SSC40600,0,0,0,0,0,0,0,0
SSC40601,682,52,28,8,3,0,3,780
SSC40602,4,0,0,0,0,0,0,4
SSC40603,0,0,0,0,0,0,0,0
SSC40604,0,0,0,0,0,0,0,0
SSC40605,68,3,7,3,0,0,0,76
SSC40606,267,21,9,0,0,0,0,293
SSC40607,11,0,0,0,0,0,0,12
SSC40608,3,0,0,0,0,0,0,3
SSC40609,54,5,0,0,0,0,0,58
SSC40610,329,36,29,0,0,0,0,397
SSC40611,173,9,0,0,0,0,0,187
SSC40612,15,0,0,0,0,0,0,20
SSC40613,789,62,44,11,0,0,3,910
SSC40614,53,0,3,0,0,0,0,57
SSC40615,0,0,0,0,0,0,0,0
SSC40616,3,0,0,0,0,0,0,3
SSC40617,0,0,0,0,0,0,0,0
SSC40618,31,3,3,0,0,0,0,31
SSC40619,0,0,0,0,0,0,0,0
SSC40620,0,0,0,0,0,0,0,0
