SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC40424,451,895,9,48,41,186,13,50,253,962,311,1246,31,123,34,116,81,251,143,488,452,1742,4,20,8,33,3,8,39,112,57,175,10,40,21,42,57,130,89,214,154,390,9,15,1064,3038
SSC40425,0,3,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
SSC40426,4,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,6,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16
SSC40427,26,52,0,3,3,20,0,0,12,48,18,73,3,10,3,11,3,9,11,25,23,94,0,4,0,0,0,3,0,8,3,16,0,0,0,0,0,0,0,0,9,21,0,0,63,167
SSC40428,245,487,0,3,16,75,6,11,121,443,140,536,10,37,22,72,45,134,70,245,214,786,0,0,9,37,0,3,24,54,36,95,4,14,17,44,35,58,55,121,90,216,21,48,572,1536
SSC40429,293,592,10,68,57,268,18,69,261,1001,343,1415,25,105,55,196,73,232,155,539,496,1956,0,7,18,58,3,21,66,198,92,283,17,56,25,56,91,209,131,316,223,591,31,67,1040,3202
SSC40430,8,11,0,0,0,6,0,4,4,28,12,38,0,0,0,0,0,4,0,4,13,35,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,3,4,5,0,0,20,58
SSC40431,606,1196,10,59,64,298,17,66,360,1340,451,1761,24,115,56,182,118,372,199,670,645,2428,7,30,24,102,7,31,107,262,145,426,13,29,39,91,157,341,212,464,354,887,47,93,1655,4609
SSC40432,48,92,0,4,3,17,3,9,20,69,25,98,3,4,3,4,3,11,7,28,32,125,0,0,0,0,0,0,3,10,3,10,0,0,0,0,3,11,3,11,6,15,0,0,86,229
SSC40433,148,292,3,13,11,45,5,18,89,343,111,426,8,35,14,53,32,98,54,182,164,605,0,3,3,4,0,0,15,43,21,62,5,15,9,21,22,43,34,78,55,138,6,18,371,1052
SSC40434,5,10,0,0,0,6,0,0,6,20,4,23,0,0,0,0,0,10,0,10,5,30,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,14,51
SSC40435,4,11,0,0,0,0,0,0,3,11,3,11,0,0,0,0,3,6,3,6,3,13,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,9,26
SSC40436,27,46,0,0,0,4,0,0,5,9,3,18,0,0,0,0,0,3,0,3,3,16,0,0,0,0,0,0,0,5,0,5,0,0,0,4,0,0,4,3,6,12,0,0,34,77
SSC40437,74,145,0,5,9,55,0,7,48,183,61,251,4,33,12,51,28,81,48,162,112,415,0,0,0,0,0,0,3,6,3,10,0,5,4,7,10,18,11,23,13,30,3,5,197,594
SSC40438,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40439,1154,2281,16,79,154,688,35,142,652,2478,855,3384,132,553,172,589,290,907,589,2050,1448,5435,7,24,26,80,3,11,103,279,137,387,16,58,32,71,116,234,170,360,301,745,33,70,2936,8531
SSC40440,13,28,0,0,3,18,0,0,12,40,12,60,0,3,3,16,6,23,10,40,27,91,0,0,0,0,0,0,4,9,4,9,0,0,0,3,0,4,0,3,4,10,0,0,50,141
SSC40441,32,67,0,8,10,29,3,7,18,68,28,115,0,3,4,7,3,9,9,22,31,131,0,0,0,3,0,0,0,5,3,5,0,0,0,0,0,7,0,7,3,9,0,0,73,211
SSC40442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40443,510,1011,9,53,60,267,10,48,340,1323,419,1690,39,156,60,201,118,388,214,742,636,2434,0,4,9,17,4,16,64,167,76,199,13,56,20,46,95,195,123,296,203,502,23,44,1366,3981
SSC40444,11,29,0,0,0,0,0,0,4,15,4,15,0,0,0,3,0,4,3,3,4,18,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,19,48
SSC40445,0,0,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
SSC40446,8,15,0,0,0,4,0,0,6,22,3,20,0,4,3,4,0,0,7,11,11,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,55
SSC40447,26,46,0,7,3,16,0,0,16,73,26,97,0,4,0,7,3,7,7,20,28,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,5,12,3,12,0,0,60,177
SSC40448,128,241,0,3,4,30,0,0,113,405,117,441,5,35,22,79,21,72,55,184,171,625,0,0,5,12,0,0,27,61,29,70,0,3,0,3,20,40,24,48,49,119,10,21,361,1007
SSC40449,49,101,0,7,8,32,0,8,20,79,27,122,3,11,7,19,14,47,22,83,51,198,0,0,0,0,0,0,4,5,4,5,0,4,0,5,0,4,0,11,8,13,0,3,108,311
SSC40450,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,14
SSC40451,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21
SSC40452,4,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
SSC40453,5,18,0,0,0,0,0,0,3,14,3,14,0,0,0,0,0,3,0,3,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,13,38
SSC40454,7,18,0,0,0,0,0,0,5,26,5,26,0,0,0,7,0,0,0,7,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,49
SSC40455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40456,10,18,0,0,0,6,0,0,4,26,8,31,0,0,0,4,0,0,0,4,11,34,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,3,0,11,0,0,22,61
SSC40457,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SSC40458,0,5,0,0,0,0,0,0,3,14,3,14,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
SSC40459,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SSC40460,239,457,4,42,36,170,5,31,174,690,222,936,6,38,21,60,45,137,68,227,294,1167,0,11,13,45,0,8,29,89,48,148,5,19,10,19,31,57,42,96,93,244,6,15,624,1891
SSC40461,55,107,0,5,24,107,4,9,61,232,89,347,3,15,13,48,7,29,25,91,121,442,0,0,0,0,0,3,16,33,12,32,3,11,7,20,11,19,25,47,36,83,4,7,215,639
SSC40462,291,570,4,20,33,166,11,33,168,639,211,859,23,106,30,112,65,200,124,417,335,1269,0,0,3,11,3,7,22,50,25,79,13,37,13,24,44,98,68,162,93,233,7,11,729,2090
SSC40463,727,1437,5,29,69,318,17,84,355,1365,450,1793,75,319,90,319,193,624,356,1263,805,3056,0,5,9,33,4,3,63,152,73,188,13,40,23,53,114,244,154,333,226,525,24,48,1784,5067
SSC40464,408,797,5,29,45,203,6,12,242,922,292,1169,26,116,57,193,55,171,135,481,429,1654,0,3,8,24,0,3,50,129,59,157,12,29,26,55,37,74,70,162,133,322,10,28,991,2795
SSC40465,19,30,0,0,0,3,0,0,4,26,8,30,0,0,0,5,5,14,9,17,10,48,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,3,7,3,10,0,0,32,85
SSC40466,3,3,0,0,0,6,0,0,0,7,4,12,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
SSC40467,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
SSC40468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40469,70,147,0,0,6,26,3,8,19,88,30,118,0,6,4,13,7,24,15,49,44,163,0,0,0,3,0,0,7,36,8,40,3,6,4,6,4,9,11,23,22,61,3,7,145,380
SSC40470,81,166,10,38,18,73,4,22,49,218,80,349,3,19,18,66,26,88,54,174,134,518,0,0,0,4,0,3,12,36,15,42,3,7,3,7,11,28,14,33,27,74,0,0,247,759
SSC40471,672,1328,8,60,56,267,18,91,269,1041,353,1459,34,147,52,177,137,420,223,746,576,2199,4,17,9,39,11,31,75,208,103,290,15,36,22,52,81,171,119,260,216,552,14,37,1478,4119
SSC40472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40473,14,27,0,9,0,5,0,0,7,41,11,49,0,0,0,0,0,9,0,9,13,55,0,0,0,0,0,0,3,8,3,8,0,0,0,4,0,0,0,4,3,6,0,5,30,96
SSC40474,247,487,9,39,23,87,14,66,100,385,142,573,26,111,31,102,57,182,110,398,258,966,0,0,6,14,0,0,55,124,57,138,3,12,20,55,56,111,83,177,138,313,8,21,649,1794
SSC40475,82,161,3,26,0,3,3,20,37,145,47,194,3,6,0,3,17,62,24,76,67,268,0,0,6,17,3,13,28,64,32,101,8,20,11,21,28,48,43,89,70,191,7,12,228,636
SSC40476,14,29,0,0,0,3,0,0,3,9,3,16,0,0,4,6,3,8,5,14,12,27,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,3,3,3,3,7,0,3,27,66
SSC40477,23,43,0,0,3,7,0,3,7,28,9,38,0,0,0,7,3,15,9,21,14,55,0,0,0,0,0,5,3,8,3,10,0,0,0,3,0,0,0,3,5,15,0,0,40,117
SSC40478,62,123,3,17,7,28,3,19,42,151,55,214,5,16,3,14,15,59,29,90,77,309,0,6,3,10,0,0,15,28,14,45,3,8,6,15,8,25,18,42,36,91,0,0,174,522
SSC40479,15,32,0,0,0,8,0,0,8,32,11,34,0,0,0,0,0,3,0,3,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,3,7,0,0,27,80
SSC40480,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,4,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SSC40481,3,3,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,9,0,11,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,3,3,10,0,7,8,25
SSC40482,3,6,0,0,0,12,0,0,3,13,3,23,0,0,0,0,0,3,0,3,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,6,0,0,16,39
SSC40483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,3
SSC40485,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
SSC40486,6,15,0,0,0,4,0,0,0,7,0,6,0,3,0,3,0,0,3,10,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26
SSC40487,178,343,0,0,12,67,0,12,62,225,79,304,3,25,14,55,25,70,48,151,120,455,0,0,5,8,0,0,14,35,18,39,0,6,5,10,8,19,15,27,31,72,12,20,338,890
SSC40488,4,3,0,0,0,3,0,0,3,10,4,14,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,6,21
SSC40489,16,23,0,0,0,3,0,0,11,38,9,44,0,0,0,4,0,0,0,4,11,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,5,8,0,0,27,78
SSC40490,321,636,7,26,41,206,7,34,226,868,280,1132,14,76,31,109,49,172,101,356,376,1486,3,18,11,23,3,21,67,172,87,237,17,45,26,52,73,164,108,262,197,492,15,29,905,2646
SSC40491,4,7,0,3,3,11,0,0,4,10,6,24,0,9,0,0,0,5,0,11,10,36,0,0,0,3,0,0,3,3,0,5,0,0,0,0,0,0,0,0,3,10,0,3,15,51
SSC40492,115,231,0,3,7,42,3,16,34,136,46,204,3,12,3,7,12,42,21,61,68,262,0,0,6,13,0,3,9,36,20,58,0,0,0,0,11,15,7,17,24,72,3,8,206,569
SSC40493,254,504,0,18,28,132,0,3,211,784,244,932,23,96,30,113,55,172,106,380,347,1318,0,5,9,22,0,3,34,81,46,117,9,33,24,46,36,78,72,153,113,271,23,48,740,2136
SSC40494,64,127,0,0,0,17,0,16,34,118,36,145,0,4,3,14,17,49,25,73,61,213,0,0,4,12,0,4,7,22,14,36,0,0,4,14,20,35,25,46,35,90,3,10,171,438
SSC40495,194,384,0,9,40,165,3,11,111,429,155,614,10,47,45,162,41,127,99,331,251,938,0,0,3,11,0,3,20,60,23,70,3,7,12,33,20,34,32,79,63,149,9,21,514,1494
SSC40496,239,464,0,16,26,111,6,20,143,550,177,696,18,73,30,91,47,125,92,291,269,989,0,4,9,26,0,0,25,61,28,90,3,6,11,25,20,33,32,71,65,156,6,18,579,1624
SSC40497,52,106,0,8,4,22,3,8,28,109,37,150,3,8,3,12,6,28,15,52,52,199,0,0,0,14,0,0,3,5,5,20,0,0,0,0,4,5,4,5,10,26,0,0,111,328
SSC40498,84,162,0,0,8,41,0,15,48,183,56,244,3,16,11,27,15,46,29,82,84,326,0,0,0,3,0,5,15,34,12,41,0,0,0,0,0,6,0,6,13,47,0,0,182,531
SSC40499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40500,460,875,3,21,15,75,3,14,101,364,125,472,11,38,21,70,24,82,57,186,176,650,0,0,4,15,0,0,33,81,40,93,3,14,16,36,34,65,52,113,94,206,26,46,751,1788
SSC40501,422,830,3,23,36,172,8,35,224,845,274,1071,29,131,46,157,67,204,144,496,419,1566,0,0,10,27,0,4,44,107,59,136,11,30,16,36,49,95,79,170,135,304,17,40,996,2744
SSC40502,771,1511,3,27,49,205,6,28,367,1323,420,1589,32,107,78,262,97,295,203,659,626,2248,0,0,17,42,3,14,86,195,103,246,12,27,34,69,78,172,122,269,229,520,45,95,1673,4374
SSC40503,286,553,0,13,8,47,3,14,104,378,116,458,15,51,29,99,27,95,68,243,187,699,0,4,3,7,0,3,21,59,27,73,3,13,16,33,32,60,51,111,81,183,9,25,566,1451
SSC40504,590,1165,5,32,54,233,10,44,343,1270,415,1588,36,146,65,231,87,253,190,628,602,2215,0,0,16,57,4,15,75,176,101,249,9,36,26,56,82,177,119,271,215,520,31,66,1440,3969
SSC40505,6,16,0,0,7,23,0,0,9,28,11,52,0,0,0,4,0,3,0,5,12,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,76
SSC40506,229,446,0,3,50,202,0,5,127,479,182,688,8,43,28,86,14,49,56,185,230,874,0,0,9,26,0,0,39,86,45,112,0,5,29,67,16,32,49,103,90,215,13,19,566,1555
SSC40507,233,456,3,12,36,170,7,17,133,485,175,677,10,46,47,173,36,106,95,323,266,1002,0,0,3,15,0,4,17,40,19,55,0,5,18,31,22,42,37,77,62,135,12,21,570,1615
SSC40508,56,106,3,12,9,43,0,5,12,53,30,107,0,0,0,7,13,50,14,52,40,162,0,0,0,3,0,3,0,5,5,15,0,0,0,0,10,19,10,19,13,31,0,0,112,299
SSC40509,123,252,0,0,9,54,3,22,62,233,76,306,6,30,7,31,23,72,43,132,114,444,0,0,3,10,0,0,10,38,14,50,0,0,4,12,19,40,21,45,35,95,5,5,275,786
SSC40510,221,423,0,3,16,77,3,8,102,400,127,493,6,36,5,21,21,72,37,131,161,622,0,0,5,15,0,0,20,44,20,58,3,12,7,20,36,79,47,107,71,171,14,32,464,1242
SSC40511,1160,2296,16,83,158,736,47,192,599,2341,825,3348,115,472,150,529,268,832,538,1829,1361,5177,0,4,35,114,16,51,153,381,206,550,31,106,58,120,124,263,216,489,417,1041,20,39,2955,8554
SSC40512,47,87,0,0,3,12,0,0,15,59,21,70,0,3,0,3,3,12,3,19,25,92,0,0,0,4,0,0,0,7,3,14,0,0,0,3,5,10,3,15,7,26,0,3,81,204
SSC40513,8,13,0,0,0,0,0,0,5,29,5,29,0,0,0,0,0,8,0,8,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,43
SSC40514,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
SSC40515,317,618,3,21,19,82,3,26,212,783,239,906,20,76,37,129,34,106,91,306,324,1212,0,5,4,10,3,6,33,65,35,83,7,14,12,29,29,62,51,108,87,192,17,39,748,2064
SSC40516,385,760,0,7,3,30,0,13,59,235,72,285,7,15,8,20,37,115,50,154,120,442,0,0,3,21,0,6,28,75,37,104,0,3,5,16,30,61,40,82,78,180,11,19,586,1398
SSC40517,358,709,3,13,10,63,0,4,108,419,126,489,5,13,11,35,27,75,41,122,164,613,0,0,6,18,5,15,37,92,48,130,3,11,4,9,33,65,36,87,90,216,6,13,623,1553
SSC40518,193,388,4,13,7,35,0,9,28,118,40,174,3,7,3,12,13,30,19,50,56,225,0,0,0,8,4,10,16,33,17,53,0,3,3,3,20,30,19,39,42,93,3,7,288,707
SSC40519,162,319,0,3,3,24,0,0,30,113,37,142,4,5,3,14,13,43,20,58,54,198,0,0,3,11,0,3,23,50,23,58,4,9,3,6,18,35,23,59,53,114,3,10,272,640
SSC40520,3,3,0,0,0,0,0,4,0,10,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19
SSC40521,26,47,0,0,0,16,0,6,10,52,17,70,3,7,7,12,11,39,19,62,33,137,0,0,0,4,0,0,0,0,3,3,0,7,0,0,3,8,5,18,6,24,0,3,69,203
SSC40522,0,0,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,0,3,6,22
SSC40523,12,22,0,0,0,0,0,0,4,21,4,21,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,42
SSC40524,691,1363,9,35,74,314,9,25,341,1312,426,1687,43,172,68,234,136,406,244,813,673,2504,0,5,9,27,4,29,65,150,78,205,14,39,19,43,77,167,112,253,193,456,27,54,1583,4374
SSC40525,19,31,0,0,4,14,0,3,10,45,16,58,0,7,4,6,6,16,9,25,26,85,0,0,0,3,0,0,3,3,0,10,0,0,0,0,3,7,3,7,5,15,0,3,46,134
SSC40526,11,24,0,0,0,0,3,7,6,12,8,20,0,0,0,0,3,7,3,7,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,49
SSC40527,9,15,0,4,0,0,0,0,7,14,8,25,0,0,4,4,0,0,4,4,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40
SSC40528,252,495,5,18,23,93,4,19,235,847,264,981,9,45,20,68,33,94,59,206,330,1186,4,14,10,39,3,9,56,141,73,205,7,21,15,27,54,117,76,170,141,373,16,26,729,2084
SSC40529,44,79,0,3,11,43,0,0,41,141,54,193,3,19,10,29,6,17,22,67,72,255,0,0,4,9,0,3,3,10,10,20,0,0,4,11,3,5,7,18,14,40,0,0,126,373
SSC40530,130,256,3,13,17,91,0,10,88,337,107,452,5,28,12,46,29,93,51,169,164,618,0,0,0,0,0,3,12,27,15,34,0,0,5,3,6,14,11,23,25,53,0,4,317,937
SSC40531,7,22,0,0,0,0,0,0,3,5,3,5,0,0,0,0,0,3,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27
SSC40532,846,1653,15,62,167,725,34,153,629,2450,837,3392,84,365,135,469,202,638,420,1468,1265,4861,11,42,35,114,12,44,163,412,217,613,25,69,43,103,129,272,193,448,415,1064,30,62,2558,7640
SSC40533,358,720,6,54,64,285,17,64,226,879,306,1276,44,180,62,209,160,500,261,893,566,2163,0,11,7,38,3,9,38,99,53,150,12,38,9,19,35,83,60,139,114,292,12,21,1048,3195
SSC40534,11,22,0,3,3,6,0,0,3,14,5,33,0,3,0,0,0,3,0,5,12,42,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,4,0,4,3,8,0,0,24,72
SSC40535,3,4,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19
SSC40536,94,188,3,11,5,28,4,25,48,167,57,240,11,34,10,27,25,72,36,131,99,372,0,0,8,20,0,0,13,28,15,45,0,0,3,8,10,12,14,20,31,68,3,6,230,633
SSC40537,10,20,0,0,0,5,0,0,5,20,5,30,0,0,4,7,3,5,6,13,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,20,61
SSC40538,438,869,4,19,39,169,20,77,188,738,246,995,14,57,32,102,82,246,126,408,370,1404,0,9,16,54,3,20,115,312,135,392,10,27,27,50,83,172,115,251,256,641,12,30,1084,2947
SSC40539,330,657,3,40,16,75,14,55,130,521,172,692,14,61,20,68,83,271,123,402,294,1100,9,42,22,62,11,33,103,273,138,412,10,26,26,62,112,245,148,333,288,748,18,34,928,2535
SSC40540,4,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,5,21
SSC40541,53,99,0,0,0,8,0,0,10,54,13,56,3,8,7,25,7,17,18,47,27,101,0,0,0,0,0,0,4,18,4,18,0,3,4,8,7,6,11,23,18,36,3,10,95,246
SSC40542,326,644,5,49,36,159,4,14,144,574,195,789,11,53,36,122,40,130,93,303,280,1095,0,5,4,10,0,0,23,71,29,78,9,23,16,27,34,60,54,114,79,195,0,3,692,1936
SSC40543,14,22,3,15,0,6,0,0,11,42,18,59,0,5,4,9,0,3,6,19,21,79,0,0,3,3,0,0,0,5,3,9,0,0,0,0,0,3,0,3,3,7,0,3,35,111
SSC40544,21,43,0,16,4,26,0,0,8,32,15,75,0,0,0,0,4,13,4,13,18,88,0,0,0,3,0,0,0,3,3,10,0,0,0,3,0,3,3,7,4,11,0,0,43,135
SSC40545,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SSC40546,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40547,27,47,0,0,0,0,0,8,8,36,12,40,0,4,0,5,0,9,8,18,18,57,0,3,0,0,0,0,0,3,3,4,0,0,0,0,0,3,0,3,3,10,0,0,42,116
SSC40548,1460,2868,34,163,157,700,60,249,812,3059,1057,4174,132,520,204,674,359,1127,691,2327,1751,6500,6,18,34,116,12,48,159,399,211,581,32,88,54,121,162,354,249,560,458,1141,21,52,3690,10557
SSC40549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40550,11,31,0,0,0,8,0,0,3,13,3,18,0,0,0,12,0,3,7,14,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,4,0,0,27,65
SSC40551,4,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13
SSC40552,68,136,0,5,8,36,0,3,38,163,50,209,4,10,10,21,12,38,22,74,72,280,0,0,3,8,3,18,12,35,16,63,0,0,10,21,13,23,22,41,37,107,0,3,186,526
SSC40553,3,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
SSC40554,7,14,0,0,3,11,0,0,3,25,5,34,0,0,0,0,0,4,0,4,12,40,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,3,3,0,0,17,57
