SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC41283,7,9,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,4,3,0,0,11,23
SSC41284,6,15,0,0,0,3,0,0,4,15,3,16,0,4,0,0,4,14,6,17,13,38,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,3,0,0,20,56
SSC41285,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SSC41286,18,26,3,15,0,4,0,0,7,28,10,47,0,7,0,0,9,18,9,27,21,74,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,0,0,0,3,8,0,0,38,109
SSC41287,9,10,0,0,0,5,0,0,3,9,3,20,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,3,8,0,0,15,35
SSC41288,8,17,0,0,0,5,0,0,3,20,7,18,0,4,0,0,6,11,9,23,11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,20,64
SSC41289,13,20,0,4,0,0,0,0,7,26,5,28,0,4,0,0,0,0,0,4,8,34,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,4,0,4,7,11,0,0,23,60
SSC41290,10,14,0,0,0,6,0,0,14,58,12,65,0,3,0,0,3,7,3,13,16,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,90
SSC41291,11,14,0,0,0,0,0,0,0,5,0,5,0,7,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29
SSC41292,32,62,0,7,9,30,7,19,17,79,33,137,7,15,7,18,3,7,13,46,45,177,0,0,0,3,0,0,6,12,4,16,0,0,0,0,0,0,0,0,4,16,0,0,85,258
