SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC41042,0,27,181,125,70,57,18,4,6,485,0,15,163,95,63,35,16,0,0,393,0,4,150,117,55,33,3,0,0,368,0,3,85,111,60,29,3,0,0,285,0,0,73,107,72,30,3,0,0,293,0,0,22,54,36,15,0,0,3,128,13,17,61,44,38,20,14,31,32,271,339,424,1370,1028,685,506,364,144,95,4957
SSC41043,0,0,8,6,8,12,3,0,0,37,0,0,0,3,8,3,3,0,0,22,0,0,0,3,13,4,3,0,0,19,0,0,0,7,7,3,0,0,0,19,0,0,3,8,17,3,0,0,0,24,0,0,0,0,7,0,0,0,0,12,5,0,8,3,8,3,5,0,0,31,39,23,50,59,109,70,55,15,4,418
SSC41044,0,29,142,69,78,81,37,18,6,465,0,15,127,62,54,55,33,14,0,359,0,10,94,66,45,50,28,3,0,304,0,0,65,45,51,46,15,4,0,235,0,4,85,95,86,71,38,14,0,388,0,0,32,91,91,66,36,11,0,333,18,31,118,59,66,56,51,45,35,474,221,450,1166,812,720,778,640,314,131,5241
SSC41045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
SSC41046,0,0,29,32,38,28,16,4,3,152,0,4,26,16,23,18,19,0,0,103,0,0,20,13,28,23,5,3,0,99,0,0,17,22,24,18,3,7,0,84,0,0,12,27,33,17,11,0,0,102,0,0,3,12,20,17,8,0,0,54,11,9,6,3,11,25,15,14,4,98,290,115,208,264,318,364,336,189,65,2143
SSC41047,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,13,0,3,17,8,12,5,3,0,0,50
SSC41048,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,0,0,0,0,22
SSC41049,3,24,118,81,113,91,46,16,0,491,0,11,78,69,75,70,17,5,0,321,0,4,52,53,57,46,3,3,4,229,0,0,16,33,34,24,7,0,0,119,0,0,25,40,40,26,11,0,0,139,0,0,0,4,11,4,3,4,4,30,39,4,36,38,32,45,57,21,19,297,390,268,753,721,766,822,791,455,222,5184
SSC41050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,3,3,8,5,0,0,0,28
SSC41051,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,5,0,4,12,3,0,0,0,29
SSC41052,0,4,68,63,57,35,13,0,0,241,0,9,43,46,39,27,0,0,0,171,0,4,25,29,19,21,8,0,0,95,0,0,16,16,13,14,4,0,0,64,0,0,11,17,13,5,0,0,0,55,0,0,0,3,0,5,0,0,0,14,14,12,16,12,22,21,22,10,3,129,148,145,363,367,353,332,329,107,20,2170
SSC41053,0,13,23,19,27,36,9,0,0,128,0,0,13,11,13,15,0,0,0,59,0,3,11,7,8,5,5,0,0,43,0,0,0,3,3,3,0,0,0,15,0,0,0,5,7,3,0,0,0,14,0,0,0,0,3,4,0,0,0,11,11,5,20,14,17,20,26,20,3,126,94,124,236,211,245,261,279,113,18,1580
SSC41054,0,4,20,7,19,9,3,3,0,71,0,0,4,10,6,13,3,0,0,37,0,0,3,3,10,12,3,0,0,37,0,0,3,4,7,9,4,0,0,25,0,0,3,13,15,11,0,0,0,42,0,0,0,4,14,11,4,0,0,41,10,0,0,7,11,13,9,10,0,56,55,48,74,84,144,146,116,46,7,711
