SSC_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SSC40001,62,70,126,393,361,747,53,49,108,96,100,193,541,507,1049,274,240,512,45,46,93,77,76,152,398,363,761,9,18,26,13,15,22,32,23,49,34,43,76,0,0,0,87,88,176,124,183,302,35,51,83,16,30,45,45,81,125,0,0,0,218,341,563,9,4,12,21,23,40,0,0,0,26,27,53,165,174,337,1502,1563,3067
SSC40002,30,25,59,95,94,193,24,27,52,15,19,39,137,145,277,68,76,145,22,11,32,40,33,75,129,120,245,72,69,146,57,79,139,14,19,28,33,65,102,3,0,3,180,236,421,1476,1678,3159,528,451,977,40,56,98,125,142,264,8,6,13,2170,2337,4511,57,61,122,31,45,78,0,0,0,86,107,199,1158,690,1850,3897,3664,7563
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,9,0,8,0,0,0,0,4,9,6,8,17,0,4,7,0,0,0,0,3,3,3,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,13,20,33
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
SSC40006,9,6,13,31,30,67,34,53,88,3,5,13,74,86,157,30,40,65,13,17,28,3,5,9,47,54,102,0,3,8,4,5,5,0,0,0,9,7,11,0,0,0,12,12,29,8,20,30,0,8,12,0,4,3,7,12,22,0,0,0,26,42,65,0,0,3,0,0,6,0,0,0,5,3,9,40,43,78,211,248,453
SSC40007,10,9,14,41,40,75,21,21,41,3,6,16,63,63,131,17,19,39,15,12,28,9,7,12,45,37,77,8,3,8,3,3,8,3,3,7,10,15,21,0,0,3,22,23,44,14,21,34,0,16,18,0,8,7,16,20,33,0,0,0,33,58,93,0,0,0,0,11,7,0,0,0,3,11,13,30,46,76,203,240,447
SSC40008,30,21,50,135,134,273,17,30,52,40,44,85,196,215,411,32,46,82,9,18,30,63,63,133,107,136,242,0,0,3,3,3,6,12,0,11,3,6,14,0,0,0,14,14,28,41,45,84,15,18,36,9,4,12,15,35,48,0,0,0,74,103,181,0,0,3,7,3,15,0,0,0,4,8,15,73,77,148,505,575,1075
SSC40009,3,3,7,4,6,9,12,11,22,15,10,29,25,26,52,6,8,11,0,0,3,8,10,15,15,16,23,0,0,3,0,0,0,0,0,0,0,5,3,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,22,16,39,72,67,144
SSC40010,78,80,156,401,387,787,106,125,228,96,98,194,600,610,1205,233,223,451,34,31,69,54,71,129,321,324,647,15,21,32,8,30,31,21,25,42,25,54,83,0,0,3,70,128,203,46,45,92,20,37,58,3,9,20,21,62,81,0,0,0,86,160,245,10,14,26,12,38,46,0,0,0,18,50,75,438,438,877,1611,1791,3408
SSC40011,0,0,0,7,4,11,0,0,0,0,0,0,7,4,11,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,19,19,19,37
SSC40012,3,10,12,27,36,61,36,38,73,8,5,18,71,75,148,21,8,28,25,31,58,7,3,12,54,44,101,0,0,3,5,3,8,3,4,6,5,4,11,0,0,0,16,12,27,44,32,80,3,10,16,0,3,4,7,9,17,0,0,0,60,64,118,0,4,6,4,3,7,0,0,0,7,12,16,38,52,92,252,270,522
SSC40013,11,4,8,28,21,55,0,3,4,3,7,10,32,25,61,7,15,22,3,0,4,4,0,9,14,15,32,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,21,21,44,82,73,160
SSC40014,0,4,3,8,0,14,0,0,0,3,6,5,8,6,18,3,4,4,0,0,0,0,3,3,4,4,10,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,6,14,27,30,50
SSC40015,3,0,3,5,4,11,0,0,0,0,0,0,5,4,11,3,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,12,11,25
SSC40016,0,0,0,0,0,3,0,0,0,0,0,5,3,3,6,3,0,3,0,0,3,0,0,0,3,3,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,29,25,19,45
SSC40017,8,3,10,23,22,44,0,0,0,0,0,0,23,22,44,17,13,29,0,0,0,0,0,0,17,13,29,3,0,4,0,0,0,0,0,0,3,0,3,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,3,4,9,17,29,52,74,76,145
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40019,3,0,4,7,11,17,0,0,0,0,0,0,7,11,17,4,4,11,0,0,0,0,0,0,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,16,31,27,35,64
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40021,0,0,0,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,6,12
SSC40022,0,0,3,11,3,15,0,0,0,0,0,0,11,3,15,7,5,10,0,0,0,0,0,0,7,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,15,50,53,29,83
SSC40023,3,0,4,13,9,23,0,0,0,0,0,0,15,9,20,3,12,9,0,0,0,0,0,0,3,12,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,17,12,27,33,37,75
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40025,0,0,0,0,0,0,0,0,0,0,0,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12
SSC40026,95,108,207,307,260,560,156,150,302,61,69,129,518,474,993,129,135,265,103,110,213,45,42,83,276,287,563,20,35,55,19,39,60,15,20,35,42,57,99,3,0,3,96,150,245,43,74,124,26,25,49,4,8,15,24,37,64,0,0,0,97,152,251,17,19,32,14,42,58,0,0,0,28,60,93,258,270,528,1379,1503,2880
SSC40027,0,0,0,0,3,4,3,0,3,0,0,4,7,8,12,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,12,24
SSC40028,0,0,0,3,3,5,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15
SSC40029,17,18,33,60,67,132,0,0,0,51,36,82,111,105,215,50,40,89,0,0,0,8,22,33,57,60,117,3,0,3,0,3,3,11,8,17,3,10,17,0,0,0,14,25,36,7,10,17,3,4,7,0,0,0,5,9,19,0,0,0,11,25,43,0,3,4,3,3,4,0,0,0,3,5,9,46,58,104,268,294,556
SSC40030,18,12,28,42,30,77,35,22,60,3,5,5,81,58,143,14,20,39,10,19,30,4,3,8,28,42,68,7,4,9,3,8,11,3,0,5,4,10,11,0,0,0,20,21,38,17,23,41,3,15,19,0,0,0,6,7,11,0,0,0,31,43,70,0,9,8,0,6,6,0,0,0,3,14,14,35,78,113,218,262,475
SSC40031,12,29,42,68,74,147,43,32,80,88,61,152,199,168,372,26,28,56,31,49,82,64,35,100,119,119,235,3,3,4,0,0,0,10,10,16,7,15,25,0,0,0,20,24,47,20,25,46,0,0,4,3,3,6,0,10,10,0,0,0,25,43,72,0,0,4,5,6,10,0,0,0,9,10,12,76,75,149,463,462,927
SSC40032,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,10,4,13
SSC40033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40035,0,0,0,0,0,0,0,0,0,5,4,11,8,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,16
SSC40036,0,0,0,3,0,7,4,0,4,0,0,0,8,0,13,3,4,3,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,9,18,11,26
SSC40037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3
SSC40038,3,4,7,31,30,63,0,0,0,0,0,0,36,33,66,23,18,38,0,0,0,0,4,4,20,21,40,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,4,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,3,3,35,35,76,104,101,201
SSC40039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,4
SSC40040,4,3,8,5,3,12,8,13,20,0,0,0,20,12,35,15,15,31,0,0,0,0,0,0,15,11,29,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,3,3,9,11,17,52,49,96
SSC40041,0,4,6,17,12,29,0,0,0,0,0,0,17,12,29,11,11,14,0,0,0,0,0,0,11,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,12,26,51,40,92
SSC40042,0,3,3,3,8,8,0,0,0,0,0,0,3,8,8,7,3,11,0,0,0,0,3,4,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,19,24,38
SSC40043,14,17,29,75,61,132,25,19,46,12,13,30,116,94,208,37,47,83,12,13,18,8,8,13,51,58,114,15,6,20,6,15,21,3,3,8,16,20,33,0,0,0,41,45,93,77,81,157,46,54,100,8,7,16,17,37,53,0,0,0,145,186,330,6,11,19,9,13,22,0,0,0,15,23,36,87,80,170,479,506,986
SSC40044,0,0,0,6,0,6,0,0,0,4,3,7,11,10,15,5,3,14,0,0,0,3,0,3,12,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,13,25,37,38,41,82
SSC40045,5,8,14,25,19,42,3,5,9,0,3,3,28,29,56,9,7,17,0,5,8,0,0,3,14,14,28,0,0,3,4,3,7,3,0,3,0,5,5,0,0,0,10,8,19,22,29,47,8,3,12,4,4,3,6,9,18,0,0,0,40,49,81,4,0,3,4,4,7,0,0,0,4,6,10,25,36,60,120,144,266
SSC40046,3,0,4,17,15,26,0,3,8,6,4,5,20,21,46,6,8,17,3,3,11,3,4,9,17,21,36,3,0,4,0,0,3,3,0,4,0,0,3,0,0,0,5,3,10,9,14,19,0,0,0,0,0,0,0,3,3,0,0,0,9,20,32,3,0,3,0,0,3,0,0,0,0,0,3,27,17,37,81,87,169
SSC40047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,11
SSC40048,49,49,103,232,226,453,136,138,271,31,21,57,395,389,783,138,122,268,149,131,281,25,39,68,312,297,606,13,15,29,11,11,16,19,12,28,22,39,63,0,0,3,71,74,138,150,167,323,27,37,69,21,24,50,34,66,101,0,0,0,240,301,536,3,8,13,21,23,40,0,0,0,22,28,54,134,112,244,1217,1251,2471
SSC40049,21,11,29,48,51,98,57,57,111,3,11,15,109,120,225,37,36,67,20,27,47,3,5,12,63,66,123,8,6,11,9,11,19,5,3,3,8,19,24,0,0,0,26,31,60,31,44,76,13,10,20,0,3,9,9,12,29,0,0,0,57,75,136,5,6,14,11,7,14,0,0,0,18,16,27,57,60,118,345,374,722
SSC40050,9,0,9,27,17,40,0,0,0,3,0,3,25,17,45,14,8,26,0,0,0,3,3,8,15,13,32,3,0,3,0,3,3,3,5,4,0,3,3,0,0,0,7,9,14,0,3,3,0,0,0,0,0,0,0,6,6,0,0,0,0,10,11,0,0,0,0,0,3,0,0,0,0,5,4,30,46,76,89,96,189
SSC40051,0,0,7,14,8,24,4,4,10,8,8,14,30,20,44,10,6,16,3,3,4,8,7,12,21,21,40,3,3,3,3,0,3,0,0,0,0,3,3,0,0,0,3,8,9,17,9,31,7,4,9,6,0,6,3,3,5,0,0,0,28,22,47,0,0,0,0,0,0,0,0,0,0,0,0,7,8,19,95,77,169
SSC40052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,9
SSC40053,0,0,0,15,0,12,0,0,0,0,0,0,15,0,12,0,3,6,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,16,10,30
SSC40054,0,3,3,0,3,0,0,0,3,0,0,0,5,3,7,0,5,8,0,0,0,5,0,5,4,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,12,9,18,24,22,48
SSC40055,0,3,3,3,3,4,0,0,0,0,3,3,4,5,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,18
SSC40056,0,0,0,3,6,10,0,0,0,0,0,3,5,10,15,4,3,4,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,14,14,24,42
SSC40057,0,0,0,4,0,3,0,0,0,0,3,3,6,4,10,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,21
SSC40058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
SSC40060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40061,18,13,28,56,45,102,0,0,3,27,34,61,85,84,165,34,26,62,0,0,3,20,28,47,52,52,107,0,0,0,0,0,0,4,3,6,11,3,14,0,0,0,11,10,21,0,5,8,0,3,3,0,0,0,3,4,9,0,0,0,7,13,17,0,0,0,0,7,7,0,0,0,5,4,6,65,63,128,244,240,485
SSC40062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
SSC40063,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
SSC40064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4
SSC40065,10,20,26,36,23,65,3,6,12,39,30,74,84,66,149,19,21,43,3,3,10,24,24,53,53,51,106,0,0,0,0,3,3,3,0,10,3,16,19,0,0,0,8,20,29,14,11,32,0,7,5,4,3,7,7,15,19,0,0,0,32,38,67,0,0,0,0,3,4,0,0,0,0,3,7,42,49,96,233,240,475
SSC40066,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,11
SSC40067,0,0,0,4,3,5,0,0,0,0,0,0,4,3,5,3,3,7,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,15
SSC40068,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,8
SSC40069,22,14,34,96,92,186,22,41,67,10,26,41,137,160,295,62,64,122,10,24,36,7,17,29,83,99,182,8,7,13,4,3,5,9,3,13,10,15,33,0,0,0,31,29,62,14,37,55,13,16,22,0,3,6,11,20,28,0,0,0,41,73,113,3,3,4,10,8,16,0,0,0,6,9,22,99,85,184,420,461,888
SSC40070,0,0,0,0,4,9,0,0,0,0,0,0,4,6,8,4,5,4,0,3,3,0,0,0,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,12,11,29
SSC40071,0,0,0,0,0,0,0,3,5,0,0,0,0,3,5,3,3,8,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13
SSC40072,16,15,29,104,83,186,22,12,40,5,9,16,135,106,237,76,71,148,0,0,0,0,0,5,80,72,150,0,3,4,0,8,8,6,5,14,6,9,20,0,0,0,18,19,36,3,4,5,3,8,10,0,0,0,3,8,16,0,0,0,13,16,29,0,0,3,0,7,10,0,0,0,5,8,14,110,128,235,369,361,732
SSC40073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
